Area Name,Present Age,Total Women,Total Ever MarriedWomen,Persons
ahmadabad,20-24,327492,219131,208433
ahmadabad,25-29,310745,279861,445354
ahmadabad,15-19,303635,66978,34475
gandhinagar,20-24,66091,49284,44237
gandhinagar,25-29,59529,55530,92458
gandhinagar,15-19,62975,20261,6009
dohad,20-24,86390,69884,95344
dohad,25-29,75416,72232,177866
dohad,15-19,99253,22594,14297
banaskantha,20-24,132494,109135,109684
banaskantha,25-29,115821,112561,241796
banaskantha,15-19,144143,34572,10658
sabarkantha,20-24,103112,76867,77788
sabarkantha,25-29,90562,86032,163958
sabarkantha,15-19,108066,21336,8220
amreli,20-24,68720,38568,38434
amreli,25-29,54034,48817,95100
amreli,15-19,81592,8552,4140
surendranagar,20-24,74582,53312,62193
surendranagar,25-29,65840,62079,131442
surendranagar,15-19,84770,14454,6337
porbandar,20-24,24337,15929,14620
porbandar,25-29,23094,20616,35844
porbandar,15-19,26621,3499,1376
bharuch,20-24,64509,45299,48129
bharuch,25-29,61074,56330,101308
bharuch,15-19,66651,10956,5508
mahesana,20-24,94530,67020,57996
mahesana,25-29,80107,75232,126583
mahesana,15-19,92597,22056,7396
bhavnagar,20-24,126146,83901,94129
bhavnagar,25-29,106709,99415,210249
bhavnagar,15-19,148428,21317,10705
junagadh,20-24,120927,67976,63804
junagadh,25-29,105097,92873,166645
junagadh,15-19,135943,13009,5965
patan,20-24,59281,45002,41909
patan,25-29,50613,48087,91620
patan,15-19,62242,15127,4919
tapi,20-24,0,0,0
tapi,25-29,0,0,0
tapi,15-19,0,0,0
surat,20-24,275300,200721,195778
surat,25-29,276197,260520,436527
surat,15-19,229401,42523,19277
thedangs,20-24,9817,7939,11077
thedangs,25-29,8587,8057,19496
thedangs,15-19,9499,2433,1441
jamnagar,20-24,97971,60904,57239
jamnagar,25-29,86655,78437,138617
jamnagar,15-19,102722,12164,5011
vadodara,20-24,175274,125558,131846
vadodara,25-29,169519,155674,269279
vadodara,15-19,166640,35991,17097
gujarat,20-24,2641722,1865938,1905007
gujarat,25-29,2409892,2234284,4075043
gujarat,15-19,2658485,526394,232255
narmada,20-24,23925,18294,21855
narmada,25-29,21713,20204,42347
narmada,15-19,26660,5531,2988
panchmahals,20-24,97182,79139,93702
panchmahals,25-29,86799,83290,175347
panchmahals,15-19,105974,26751,12853
valsad,20-24,72150,52297,55884
valsad,25-29,70150,64600,114675
valsad,15-19,67716,14338,7405
kheda,20-24,97657,77680,81067
kheda,25-29,87486,82744,151189
kheda,15-19,98135,33425,12446
anand,20-24,91255,68772,70111
anand,25-29,82089,76706,136332
anand,15-19,87941,24816,9368
navsari,20-24,57929,37204,36954
navsari,25-29,53951,48100,78402
navsari,15-19,56837,8739,4473
kachchh,20-24,90928,66534,69556
kachchh,25-29,82411,77812,154339
kachchh,15-19,90879,13795,5559
rajkot,20-24,174144,108419,99236
rajkot,25-29,158533,144114,233654
rajkot,15-19,169985,23764,10535
