Area Name,Present Age,Total Women,Total Ever MarriedWomen,Persons
ahmadabad,20-24,334314,221405,209865
ahmadabad,25-29,319659,286282,447552
ahmadabad,15-19,306572,69165,37827
gandhinagar,20-24,66050,48805,43320
gandhinagar,25-29,59921,55674,90750
gandhinagar,15-19,62518,20209,6115
dohad,20-24,88661,71219,97133
dohad,25-29,77627,74157,180805
dohad,15-19,101748,23407,15298
banaskantha,20-24,135549,110618,110828
banaskantha,25-29,118769,115214,244781
banaskantha,15-19,148171,34767,11000
sabarkantha,20-24,103848,76509,77685
sabarkantha,25-29,91985,87097,164255
sabarkantha,15-19,109006,21629,8627
amreli,20-24,70076,38151,37586
amreli,25-29,54843,49132,93513
amreli,15-19,81417,8611,4377
surendranagar,20-24,75837,53409,62003
surendranagar,25-29,67371,63299,131936
surendranagar,15-19,85752,14436,6502
porbandar,20-24,24434,15901,14425
porbandar,25-29,23248,20681,35462
porbandar,15-19,26597,3594,1450
bharuch,20-24,65457,45350,47998
bharuch,25-29,61495,56466,100156
bharuch,15-19,67651,11558,6071
mahesana,20-24,95145,66263,57153
mahesana,25-29,81103,75813,125272
mahesana,15-19,92615,21833,7664
bhavnagar,20-24,129208,84121,93396
bhavnagar,25-29,108890,101011,210141
bhavnagar,15-19,150795,21296,11208
junagadh,20-24,122129,67122,62195
junagadh,25-29,106542,93300,163805
junagadh,15-19,136511,13199,6368
patan,20-24,59682,44818,41677
patan,25-29,51369,48648,91303
patan,15-19,62697,15065,5100
tapi,20-24,0,0,0
tapi,25-29,0,0,0
tapi,15-19,0,0,0
surat,20-24,281024,202814,195584
surat,25-29,282043,265372,436124
surat,15-19,232527,44493,20818
thedangs,20-24,10069,8070,11397
thedangs,25-29,8747,8178,19666
thedangs,15-19,9819,2530,1603
jamnagar,20-24,99402,61295,56896
jamnagar,25-29,88495,79753,138271
jamnagar,15-19,102596,12400,5292
vadodara,20-24,177015,125701,131611
vadodara,25-29,171508,156840,267854
vadodara,15-19,168142,37078,18106
gujarat,20-24,2687757,1878121,1907141
gujarat,25-29,2460190,2271615,4078248
gujarat,15-19,2688893,538807,247108
narmada,20-24,24319,18404,21921
narmada,25-29,21748,20153,41728
narmada,15-19,27427,5852,3295
panchmahals,20-24,98844,79712,94103
panchmahals,25-29,88484,84679,176369
panchmahals,15-19,108024,27332,13418
valsad,20-24,73314,52781,56206
valsad,25-29,70882,65093,114249
valsad,15-19,69281,15151,8015
kheda,20-24,98256,77665,80851
kheda,25-29,88363,83352,150530
kheda,15-19,99051,33605,12991
anand,20-24,91856,68801,69807
anand,25-29,83034,77334,135692
anand,15-19,88453,25108,9759
navsari,20-24,58283,37255,36739
navsari,25-29,54234,48162,77233
navsari,15-19,57057,9383,4979
kachchh,20-24,94050,68717,71447
kachchh,25-29,85830,80920,158290
kachchh,15-19,92211,14334,5909
rajkot,20-24,177778,110046,99322
rajkot,25-29,163647,147969,234046
rajkot,15-19,169955,25231,11352
