Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1097374,867878,1104198,324705,1150448,1112032,33398,2346,1032,1314,569927,52983,910819,913165,123144,133139,915244,10054,90097,859396,940,23821,15237,898,306217,307115,173032,41948,1883638,15910087,874783,1049034,6934,4419,5053,85610,1050504,6535,438498,505309,12024
Bagalkote,42968,33559,36041,18104,27044,46157,1787,21,10,11,18566,162,41577,41598,1537,9983,41549,214,2385,38771,954,176,40,22,18469,18491,4537,393,64421,563093,36704,48419,0,0,0,565,41517,14,4368,2879,196
Bangalore Rural,14891,12607,14033,2609,14294,15553,374,3,1,2,5435,175,8735,8738,1461,2168,8688,48,744,8553,953,870,442,48,3933,3981,4012,392,55628,577165,8349,9238,133,18,30,6075,13652,24,11002,32665,25
Bangalore Urban,155302,106447,214412,31081,215463,122634,3722,11,5,6,56742,950,106494,106505,17544,12062,105568,1454,11081,98258,926,2281,3239,129,38235,38364,20780,19137,280672,2309363,105180,132495,890,673,686,9604,146932,22,42529,77908,1366
Belgaum,99638,81476,97924,40522,100116,159413,4004,23,16,7,42210,591,76645,76668,6793,11404,76212,846,6720,71191,949,2106,598,133,25716,25849,13364,3053,73922,451398,81506,99748,501,244,338,8678,93149,9,22818,22136,593
Bellary,57917,51604,61075,15224,58481,62311,1877,177,40,137,34459,1136,43791,43968,7231,5529,43349,691,2967,40649,934,640,695,56,17103,17159,8601,706,95950,654506,37669,52463,89,47,90,7695,53657,361,10880,9146,481
Bidar,37490,27537,31890,14738,39961,47788,1111,110,49,61,25124,7200,32651,32761,2841,3105,33208,237,2817,30704,876,680,253,59,9047,9106,8727,221,29701,185437,29224,36331,608,380,288,2593,33346,28,7570,2653,431
Bijapur,56874,44330,44776,11732,69973,39277,1401,24,12,12,27071,3107,43546,43570,1947,3141,44075,288,2892,41873,984,425,93,0,10400,10400,5522,106,87724,644900,39282,52474,373,135,188,4869,49688,143,7006,10095,551
Chamrajnagar,12013,10681,11720,1313,11973,7332,229,24,7,17,7796,95,9217,9241,2178,759,9189,54,1003,8944,915,256,212,5,3686,3691,2292,71,34334,487938,9063,9351,0,0,0,153,13281,136,5251,8630,63
Chikkaballapur,18455,17009,16804,1113,18422,15645,478,27,6,21,12408,172,15771,15798,4114,2244,15622,139,1799,15580,898,486,403,53,6936,6989,5864,163,60256,432312,15006,15361,7,0,9,394,18391,945,7406,11321,203
Chikmagalur,14111,11656,15883,1762,11249,18452,138,16,6,10,8906,55,12948,12964,3222,3067,12946,75,1264,12862,962,580,166,10,4348,4358,2219,406,32738,388663,12744,13062,2,1,9,900,14467,0,5388,14375,93
Chitradurga,26962,21794,27025,8508,22864,32023,1226,54,13,41,15122,454,20518,20572,4978,3649,20658,240,2758,20328,941,795,955,9,7211,7220,5447,234,83656,772285,19001,21432,12,4,21,1287,27282,119,4553,6283,296
Dakshina Kannada,30667,22511,25265,5699,23024,27334,281,17,11,6,8715,29,33167,33184,3390,8198,33198,302,4239,29272,934,1022,420,23,3852,3875,2346,1335,51079,557933,31358,33421,54,38,1,1408,31969,12,73587,68736,493
Davanagere,33094,25445,38622,13679,32151,29080,134,8,3,5,23144,3915,30301,30309,5612,1555,30349,245,3804,28176,924,1630,1716,18,13220,13238,4605,2293,65435,425318,30139,34150,418,281,269,2462,36812,244,8921,16563,696
Dharwad,35679,29394,36310,13672,35305,38050,1672,5,5,0,21762,538,36381,36386,5134,5862,35661,749,2958,33905,910,344,338,73,9631,9704,9117,504,46334,373829,35983,35663,6,3,5,3111,36998,0,23609,32334,700
Gadag,21237,18718,20914,9131,17292,19824,538,50,50,0,12772,377,17984,18034,2563,2857,17875,192,1503,17405,956,575,46,8,6274,6282,6861,936,73202,615589,17632,18465,0,0,0,656,19111,800,7041,5934,169
Gulbarga,62942,40968,58091,23341,63792,51682,1710,298,121,177,36157,14660,52854,53152,4761,3738,53076,665,4886,48908,963,575,355,4,19562,19566,4565,1289,30023,173856,46922,76021,1180,705,888,8048,59502,167,1639,5140,868
Hassan,22343,18460,21663,5675,21417,18959,222,51,13,38,14975,5227,21682,21733,4313,4274,21741,73,1080,20390,947,785,352,30,7239,7269,4811,528,46621,448286,21102,21418,0,0,0,1360,23088,41,12866,16314,524
Haveri,31911,27915,28059,16116,29416,38237,1380,14,8,6,16501,804,22370,22384,2883,2646,22189,257,2011,20652,951,824,381,2,11255,11257,6895,297,71817,435469,22024,29169,318,162,237,2131,29973,526,3554,4082,203
Kodagu,7740,5970,7698,1009,7832,6887,99,34,11,23,5985,189,6841,6875,1353,358,6824,73,740,5988,974,376,115,28,1893,1921,2255,63,35209,419933,6737,7141,0,0,0,789,7561,1421,2642,7415,76
Kolar,23334,19534,19933,3042,29844,41330,735,40,17,23,15029,933,21419,21459,4062,4009,21550,153,3207,19954,945,607,376,10,6823,6833,8794,90,55144,346098,20481,20954,20,18,28,4011,24922,11,12203,7510,279
Koppal,31969,29053,29537,15652,31597,52623,2487,258,47,211,23339,1065,28032,28290,3246,1494,27980,393,4610,25478,958,510,323,9,10151,10160,5358,266,39656,392745,27498,34361,182,159,267,2049,28536,754,4382,5683,423
Mandya,22050,17972,16740,3295,14765,19766,105,13,4,9,10608,177,17589,17602,3071,3770,17556,135,1416,16887,912,770,403,14,7052,7066,6788,272,43754,323718,17443,18408,0,0,0,733,22342,13,12329,27025,326
Mysore,38592,32589,37540,4277,37482,25983,1028,3,3,0,24360,91,41925,41928,4885,10026,41597,460,3562,41111,946,1252,629,24,14326,14350,3839,3626,94958,664574,42707,40620,2,1,12,980,40751,0,74158,28804,846
Raichur,51736,43473,47293,22488,53098,37988,3167,383,254,129,26932,2387,45237,45620,2066,4668,45556,620,4548,44639,925,504,259,6,14956,14962,4145,570,30357,250646,43482,52079,153,43,98,74,43110,179,5842,9437,856
Ramanagar,14048,12014,14272,4012,14145,8609,231,6,5,1,4094,3,8768,8774,1182,1715,8768,10,716,8767,948,271,349,10,3701,3711,2593,782,27298,352769,8674,10469,0,0,0,10,13236,0,4370,7295,68
Shimoga,24755,21330,23985,8799,24001,26600,256,10,10,0,18931,589,26988,26998,7494,3624,26896,278,2572,26474,952,925,534,14,8272,8286,4926,507,75528,565983,24924,25973,0,0,0,3261,27099,138,15820,31071,433
Tumkur,34807,27482,31565,9046,26000,25823,480,50,9,41,17356,146,31015,31065,7681,9053,30761,132,3235,28238,925,932,642,24,9108,9132,6735,415,76983,695867,27540,31539,0,0,0,3396,36259,119,10293,6682,393
Udupi,15714,15160,15144,2424,18889,16004,325,13,5,8,4309,141,14245,14258,2116,4974,14268,108,1926,12791,945,576,93,22,5336,5358,2209,2757,45011,583613,13352,14439,194,150,100,1242,15804,9,27373,14518,83
Uttara Kannada,20726,16697,29275,6068,29687,23644,819,23,12,11,11290,743,20822,20845,2992,2983,20999,181,2597,19992,966,926,616,33,5420,5453,2649,443,44860,462171,18973,20689,78,29,63,2733,21154,23,7511,10539,161
Yadgir,37409,24493,30709,10574,50871,37024,1382,580,279,301,19829,6872,21306,21886,494,224,27336,742,4057,22656,954,1122,194,22,3062,3084,2176,93,31367,354630,24084,33681,1714,1328,1426,4343,26915,277,1587,2136,129
