,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
Hazaribagh,44610,26294,58.9,31312,30069,9594,70.2,88.9,39879,89.4,22832,169,22.5,0.4,1164,622,542,53.4,28975,27070,93.4,4802,3515,73.2,33777,75.7,34941,96.7,98.4,3.3,1981,1289,9.7,6.8,26.8,85.8,14.2,15426,17867,1325.3,51.1,35868,102.7,381,98.9,35126,97.9,4074,11.6,34886,97.3,868,9.1,23.3,15460,34.7,10877,24.4,4867,10.9,28,0.1,5547,0,12.4,,,44,1,476,98,25.7,98,2,59.4,40.6,0.2,11,2275,2286,0.5,99.5,,,,,,2286,0,100,0,80.3,19.5,0.2,,100,100,100,0,0,0,0,0,1,10,4055,,44.4,6.2,63.9,2238,1799,18,41815,6498,224266,2105,6,66,,0,15870,27572,40270,18001,76.9,112.3,50.2,0,0,0,40495,38419,37947,38016,0,106,37565,5.6,80.3,84.8,106,1,152,99.4,90.9,4,0,0,15,0,0,0,4,82,448,3758,328,0,0,0,0,33880,0,67.1,11.6,42.1,1.3,39688,690355,35736,726091,5.5,48,7084,0.7,1,2.1,4.9,6933,1,6,1.2,27.6,1.1,1.1,2,0.2,186,2.7,1.6,1.6,1.6,0.5,0,0,,
Jamtara,23756,14487,61,21581,17900,3334,90.8,89.4,18415,77.5,8721,94,59.9,0.9,280,43,237,15.4,15389,14877,96.7,3328,3217,96.7,18717,78.8,18997,98.5,98.8,1.5,64,120,1,0.4,3.6,82.2,17.8,1651,13155,589.6,69.2,18832,99.1,282,98.5,18498,98.2,1475,8,18102,96.1,943,0.2,12.1,5148,21.7,4106,17.3,619,2.6,1,0,2114,0,8.9,,,12,0,458,34,6.9,82.4,17.6,100,0,0.1,2,817,819,0.2,99.8,,,,,171,648,20.9,79.1,0,95.7,3.5,0.7,,78.1,100,100,1,0,1,0,0,0,9,3492,19,38.6,8.8,81.1,2144,1354,13,20445,1596,74522,458,41,2,,0,7094,14079,21217,13064,74.8,112.7,69.4,4,17,15,20760,19880,19610,20804,0,110.5,20638,1.9,90.9,57.4,29,0,19,97.2,94.2,11,5,5,9,5,5,22,6,45,53,772,46,0,0,0,0,17151,0,83.8,17.4,37.3,0.5,14437,325248,4497,329745,4.4,70,427,14.1,0,0,1.4,2284,0.7,1.3,0.2,4,0.2,0.2,0,0,113,5.3,0,3.5,2.7,3.5,0.9,,,
Khunti,14515,5858,40.4,9155,12672,925,63.1,93.7,10451,72,6703,169,31.6,0.9,490,80,410,16.3,9441,9226,97.7,712,648,91,10153,69.9,10643,95.4,96.1,4.6,240,80,3.2,2.5,11.2,93,7,983,7063,200.6,66.4,10566,99.3,188,98.3,10377,98.2,878,8.5,10372,98.2,919,0.8,10,4717,32.5,2966,20.4,345,2.4,26,0.2,1908,20,13.1,55,,22,0,603,0,0,,,,,0,49,431,480,10.2,89.8,,,,,0,480,0,100,0,94.9,5.1,0,,100,100,,0,0,0,0,0,0,11,5456,248,19.5,11.3,92.2,4584,1065,55,17691,2429,83658,538,0,0,,0,6479,7688,11506,5025,72.8,108.9,47.6,0,0,4,12405,12314,12354,13095,0,123.9,13073,-13.8,84.9,124.7,0,0,4,99.9,97.4,0,0,0,5,0,0,0,1,10,1344,1426,88,0,0,0,0,11485,0,66.2,14.2,32,0.5,10647,336200,4704,340904,3.1,240,7627,3.1,1,0.4,1.4,1053,0.3,1.7,0.2,9.8,0.3,0.3,1,1.8,99,1,0,7.1,1,1,0,,,
Kodarma,20906,10424,49.9,16575,16595,3837,79.3,97.7,14590,69.8,11466,46,5.5,0.2,43,12,31,27.9,13835,12647,91.4,4495,1770,39.4,18330,87.7,18373,99.8,99.8,0.2,581,2606,17.4,4.2,58,75.5,24.5,2012,6796,4679.1,37,18236,99.3,243,98.7,15859,87,764,4.8,14717,80.7,814,1.1,30.7,8877,42.5,5102,24.4,0,0,0,0,509,8,2.4,0,,14,0,245,164,40.1,98.2,1.8,100,0,0.8,18,3524,3542,0.5,99.5,,,,,328,3214,9.3,90.7,0.1,84.5,14.7,0.7,100,95.8,64.9,16,0,0,0,0,0,4,41,2750,,42.1,8.4,43.7,1574,1158,18,20742,3779,135091,892,35,0,,0,4761,12243,19651,7917,67.1,107.8,43.4,25,1,23,18913,18135,17991,17325,0,95,17300,11.8,84.3,59.2,0,0,7,99.1,91.8,107,0,0,0,0,0,29,1,4,32,307,80,0,0,0,0,14894,0,92.4,3.8,25,0.1,6389,355124,11688,366812,1.7,579,308,65.3,0,0,3.2,881,0.2,1.3,2.1,34.5,0.8,1.2,1.4,0.1,57,1.8,5.3,1.8,1.8,0,0,20,,
Latehar,27690,12692,45.8,14585,14785,4882,52.7,71,7186,26,14891,157,28.9,1,1315,279,1036,21.2,15822,14173,89.6,372,260,69.9,16194,58.5,17509,92.5,94.1,7.5,92,0,0.6,0.6,0,97.7,2.3,6030,8248,458.6,47.1,17316,98.9,277,98.4,16631,96,1049,6.3,16823,97.2,917,2.5,5.1,4032,14.6,4790,17.3,1916,6.9,28,0.1,10153,9,36.7,11.1,,39,0,390,58,12.9,62.1,37.9,100,0,0.2,86,1981,2067,4.2,95.8,,,,,0,2067,0,100,1.8,95.7,2,0.5,100,100,100,100,0,0,0,0,0,4,19,3126,0,26.2,5.2,60.2,2270,819,37,17873,2092,98633,743,5,0,,0,9233,8469,18588,5586,48.9,107.3,32.3,158,20,127,19550,19435,18937,18686,0,107.9,18766,-0.5,79.4,90.4,14,0,0,98,92,60,0,7,0,0,0,33,1,27,333,356,75,0,0,0,0,14623,0,72.9,20.8,42.3,0.3,18647,450719,10795,461514,4,550,1442,27.6,95,17.3,2.3,6032,1.3,2.4,0.4,8.7,2,1.5,6.4,1.1,137,3.6,8,5.1,0,2.2,0,,,
Lohardaga,16638,8558,51.4,14382,12669,1513,86.4,85.2,12809,77,11124,353,54.4,2.9,38,15,23,39.5,11400,7220,63.3,691,50,7.2,12091,72.7,12129,99.7,99.8,0.3,293,352,5.3,2.6,50.9,94.3,5.7,2747,9234,7228.9,76.1,12058,99.4,127,99,11928,98.9,1754,14.7,11870,98.4,954,3,76.5,7848,47.2,7945,47.8,788,4.7,32,0.2,2059,0,12.4,,,19,0,527,131,19.9,89.3,10.7,100,0,0.8,52,760,812,6.4,93.6,,,,,112,700,13.8,86.2,0,58.9,39.3,1.7,,100,62.5,100,0,0,0,0,0,0,6,4038,0,23.3,8.3,83.3,3087,942,9,32531,2262,148194,598,25,2,,0,6399,8649,11874,6774,71.7,98.5,56.2,38,28,56,13151,12762,12830,12959,0,107.5,12848,-9.1,90.6,66.4,65,0,636,99,89.7,611,0,0,0,0,0,4,4,4,389,1302,350,0,0,0,0,10623,0,74.4,14.6,44.5,0.9,12765,308595,3507,312102,4.1,900,513,63.7,0,0,1.1,7130,2.3,2.6,2.3,11,0.4,1.6,0.8,2.7,120,3.3,2.5,2.5,5.8,8.3,0,9,,
Pakur,34012,14451,42.5,25806,23210,6203,75.9,86.5,22784,67,7568,3,0.7,0.8,2836,707,2129,24.9,16198,15582,96.2,4622,3785,81.9,20820,61.2,23656,88,91,12,42,562,2.9,0.3,12.2,77.8,22.2,4069,12513,143.5,52.9,23797,100.6,287,98.8,21881,91.9,1249,5.7,22253,93.5,907,0.4,0,7003,20.6,3485,10.2,457,1.3,109,0.3,3328,3,9.8,0,,65,0,243,9,3.6,100,0,100,0,0,13,1542,1555,0.8,99.2,,,,,136,1419,8.7,91.3,0,99.7,0.3,0,,91.2,100,,0,0,0,0,0,0,11,4050,0,36.9,9.2,72.3,2403,1496,151,35636,2240,130582,1225,317,125,,0,4057,15280,27974,9833,64.2,117.6,41.3,221,41,127,27000,26030,25691,26204,0,110.1,25982,6.3,96.7,99,179,1,181,102.1,84,31,2,1,0,0,0,4,1,22,72,401,22,0,0,0,0,21835,0,87.1,7.3,0,0,16941,262872,712,263584,6.4,42,2229,1.8,42,100,0.3,241,0.1,2.7,2.3,10.5,0.3,1.1,0.7,0.4,164,1.8,4.3,4.9,10.4,7.9,0,84,,
Palamu,58572,43418,74.1,44065,36886,10946,75.2,81.7,47575,81.2,30104,494,37.5,0.9,1519,993,526,65.4,35889,31316,87.3,11113,2892,26,47002,80.2,48521,96.9,98.9,3.1,899,3471,9.3,2.5,31.2,76.4,23.6,14967,26665,985.3,55,48219,99.4,701,98.6,46776,97,1809,3.9,42862,88.9,961,2,65.2,10620,18.1,17238,29.4,1003,1.7,0,0,3738,0,6.4,,,72,2,190,150,44.1,66,34,100,0,0.3,56,20942,20998,0.3,99.7,,,,,15833,5165,75.4,24.6,0,99.2,0.6,0.2,,24.1,77,100,0,0,0,0,0,0,0,6283,38,50.3,8.8,23.1,3066,3160,95,24213,3304,97350,561,0,0,,0,26737,32616,49623,21690,67.6,102.9,45,33,0,0,47030,45854,44953,44210,0,91.7,43565,10.9,69.1,91.6,1,0,0,98.3,95,27,1,0,0,0,0,1,0,3,89,329,6,0,0,0,0,39454,0,61.4,6.1,35.7,0,60417,892680,24965,917645,6.6,1985,2432,44.9,9,0.5,2.7,6281,0.7,5.3,1.6,9.5,2.5,2,3.8,0.2,195,16.4,2.1,2.1,0,1,0,0,,
Pashchimi Singhbhum,47567,17960,37.8,36891,39082,3738,77.6,90,33520,70.5,31540,193,25,2.3,3049,1101,1948,36.1,32210,31016,96.3,2561,1655,64.6,34771,73.1,37820,91.9,94.8,8.1,128,726,2.5,0.4,28.3,92.6,7.4,10954,31329,359.3,82.8,37704,99.7,741,98.1,36064,95.7,2941,8.2,35835,95,950,2,32.9,24169,50.8,14648,30.8,3696,7.8,38,0.1,2984,6,6.3,1166.7,,63,0,1365,434,24.5,94.5,5.5,98,2,0.9,195,1097,1292,15.1,84.9,,,,,59,1233,4.6,95.4,46,52.1,1.5,0.3,98,96,0,100,1,0,1,0,0,0,5,10964,116,37.9,12.9,89.6,6683,4190,207,53348,12443,206303,2967,13,18,,0,18023,23026,38057,15910,61.1,100.9,42.2,0,0,14,38624,38439,38304,39200,0,104,39034,-3,96.7,60.8,14,0,115,99.1,92.5,6,5,25,4,2,0,35,3,57,1850,639,43,0,0,0,0,28255,0,73,16.4,40.9,1.4,23905,875541,21716,897257,2.7,259,8950,2.8,2,0.8,2.4,5577,0.6,3.1,0.4,9.8,0.3,0.3,1,3.8,445,4.9,2.7,2.5,3.4,3.4,0.2,71,,
Purbi Singhbhum,54824,26453,48.3,51587,34437,7673,94.1,76.8,42990,78.4,24479,1150,65.8,2.7,1412,621,791,44,21852,16351,74.8,16789,8238,49.1,38641,70.5,40053,96.5,98,3.5,2156,6272,21.8,9.9,37.4,56.6,43.4,2401,27646,170,69,39638,99,571,98.6,38452,97,4029,10.5,36885,93.1,941,4.1,20.8,28634,52.2,14647,26.7,2321,4.2,177,0.3,10147,133,18.5,9.8,,35,0,2076,250,26.1,90,10,34.1,65.9,0.5,43,4603,4646,0.9,99.1,,,,,1817,2829,39.1,60.9,78.5,11.2,8.5,1.8,57.5,94.6,47.1,66.7,0,0,0,0,0,8,77,6101,837,58.3,16.3,59.9,3294,3600,44,33904,1917,171646,7753,50,0,,0,11207,36994,40724,25101,93.3,102.7,63.3,776,285,366,42510,41491,41769,49746,0,125.5,49692,-22.2,71.8,37.4,55,0,1198,99.5,85.9,63,22,47,0,0,0,25,5,88,254,1102,290,0,0,0,0,30066,0,58,22.1,40.1,0.8,104462,1569705,26372,1596077,6.5,8931,110041,7.5,830,9.3,1.7,12574,0.8,3.4,0.6,29.4,0.3,0.5,0.5,1.1,285,4.6,1.8,2.1,2.1,5.6,0,15749,,
