,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
Burhanpur,21204,12814,60.4,17634,19174,712,83.2,93.8,21015,99.1,17637,134,5.5,2.1,1730,131,1599,7.6,12775,1268,9.9,658,123,18.7,13433,63.4,15163,88.6,89.5,11.4,808,343,8.6,6.3,52.1,95.1,4.9,3133,3845,181.1,25.4,15000,98.9,216,98.6,14313,95.4,2760,19.3,13865,92.4,919,16.3,16.4,20396,96.2,14489,68.3,33,0.2,16,0.1,3847,112,18.1,0,,38,0,316,2,23.1,100,0,2.1,97.9,0,14,4178,4192,0.3,99.7,,,,,63,4129,1.5,98.5,78.7,13.3,7.8,0.2,99.8,98.6,85.5,57.1,0,0,0,0,0,1,14,4670,66,46.7,17.1,53,2517,2182,37,71973,1073,182786,60,21,1,,0,14721,12817,17521,12243,85.4,116.8,81.6,29,15,14,17883,17436,17540,17808,0,118.7,17662,-1.6,119,103.9,57,0,964,96.4,87,100,59,5,0,0,0,7,1,7,343,2943,1465,0,16934,14820,13616,15694,0,67.9,13.7,41.6,0.7,48572,546579,65512,612091,7.9,251,1151,17.9,0,0,10.7,6379,1,4.2,5.4,27.2,0.4,2,0.1,0,417,4.3,14.1,3.4,0.7,1,0.2,658,,
Chhatarpur,57777,34206,59.2,37743,37985,6583,65.3,77.1,52645,91.1,32761,2792,85.3,1.4,2954,1481,1473,50.1,33838,3407,10.1,4207,271,6.4,38045,65.8,40999,92.8,96.4,7.2,1288,1896,8.4,3.8,45.1,88.9,11.1,2623,332,88.8,0.8,40525,98.8,718,98.3,40125,99,5087,12.7,39533,97.6,915,9,54.5,51679,89.4,25469,44.1,0,0,0,0,9805,12,17,83.3,100,27,14,225,485,69.5,100,0,94.7,5.3,0.8,31,8869,8900,0.3,99.7,,,,,186,8714,2.1,97.9,92.4,0,7.6,0.1,100,,72.4,100,0,0,0,0,0,0,30,12237,5,49.1,17.7,57.9,6022,6005,215,86466,577,394103,0,110,16,,0,31514,36890,38720,34117,91,95.5,84.2,0,0,0,43735,41768,41840,42460,0,104.8,42476,-9.7,104.6,80.6,26,0,208,94.6,87.1,1080,14,31,20,0,0,89,0,33,116,3064,2479,0,41661,37894,36342,39219,0,81.8,30,37.5,1.3,82030,896629,48342,944971,8.7,2001,2036,49.6,228,11.4,5.1,10749,1.1,4.4,0.1,20.6,0,0.1,0.4,0,840,8.8,8.3,3.7,0.2,3.1,0.1,6668,,
Chhindwada,39156,28613,73.1,30192,29630,5309,77.1,89.2,37208,95,36746,188,9.5,1.8,1692,63,1629,3.7,29541,7437,25.2,1374,568,41.3,30915,79,32607,94.8,95,5.2,2684,811,11.3,9.1,59,95.6,4.4,2371,7580,140.1,23.2,32137,98.6,614,98.1,30847,96,2686,8.7,29820,92.8,916,8.4,42.2,33078,84.5,29362,75,0,0,0,0,10339,25,26.4,0,,56,0,523,214,29.9,93.5,6.5,96,4,0.5,90,8826,8916,1,99,,,,,12,8904,0.1,99.9,78.8,8.8,12.2,0.1,99.9,100,100,100,0,0,0,1,3,1,6,11402,0,76.6,29.6,56.1,2599,8734,69,52090,212,177456,997,61,16,,0,32666,29533,31151,27468,91.9,96.9,85.5,50,41,56,34866,34830,34740,33408,12,104,33817,-7.2,102.4,93.9,2,0,23,97.1,88.4,360,138,16,1,6,0,75,10,19,270,6596,2876,12,29571,27426,25823,31894,10,57.8,22.6,39.7,0.6,119653,1376006,107735,1483741,8.1,1307,11569,10.2,62,4.7,7.3,8473,0.6,3.9,0.6,35.5,0.2,0.4,0.2,0.5,700,4.7,4.7,4.6,0.1,1,0.1,6557,,
Damoh,40967,24603,60.1,24831,18603,11053,60.6,72.4,36588,89.3,22611,604,44.7,2.1,1279,545,734,42.6,22262,1682,7.6,543,4,0.7,22805,55.7,24084,94.7,97,5.3,983,358,5.9,4.4,65.9,97.6,2.4,3890,10601,304.1,44,24088,100,239,99,23772,98.7,2685,11.3,23170,96.2,918,7,40.1,36303,88.6,25058,61.2,882,2.2,0,0,12851,5,31.4,40,,36,0,533,239,39.1,72.4,27.6,69.9,30.1,0.6,25,7570,7595,0.3,99.7,,,,,21,7574,0.3,99.7,93.5,2.4,3.4,0.6,100,99.5,92.3,100,0,0,0,0,0,0,15,14070,4,47.6,30.1,64.9,7370,6704,0,126907,148,449683,880,94,8,,0,27378,22755,25388,21004,94.5,105.4,87.2,17,18,9,27254,26781,26284,30659,19,127.4,30897,-20.8,124.6,91.1,10,0,2,99.7,92.9,726,6,68,0,0,0,11,0,31,160,2292,879,19,24189,21608,20338,24104,29,68.1,18.3,56,0,70453,573322,36232,609554,11.6,369,1665,18.1,48,13,5.9,3072,0.5,2.9,1.7,10.9,0.3,1,0.2,0,572,4.7,0.3,1.9,0.2,1.4,0,4454,,
Datia,15198,9996,65.8,11448,12205,1226,75.3,88.4,14747,97,26803,250,46.6,2.2,870,0,870,0,10871,8,0.1,,,,10871,71.5,11741,92.6,92.6,7.4,277,,2.5,2.5,,100,0,587,739,67.5,6.3,11620,99,177,98.5,11620,100,2339,20.1,11620,100,891,8.7,69.6,14616,96.2,10284,67.7,0,0,0,0,10289,2,67.7,100,,11,2,230,296,56.3,100,0,100,0,1.9,2,2843,2845,0.1,99.9,,,,,,2845,0,100,95.4,2.4,2,0.2,100,100,100,100,1,0,1,0,0,2,0,3620,,37.2,12.4,56,2224,1345,51,28962,423,169628,50,62,4,,0,7113,10700,12313,10256,92.1,106,88.3,2,1,0,13170,12698,12186,12574,0,108.2,12557,-2.1,108.7,105.4,1,0,69,99.7,95.2,1415,214,22,0,4,0,26,10,83,168,4001,1623,0,12769,11241,9685,11141,0,61,17.3,46.8,0.4,61927,666537,38092,704629,8.8,647,5467,10.6,318,49.1,5.4,6092,0.9,2.2,0.2,39.9,0.1,0.1,0.7,0,391,6.1,7.7,2.8,0,2,0.3,1150,,
Dewas,35744,27019,75.6,28674,28655,5021,80.2,94.2,32867,92,29281,685,46.4,1.3,386,69,317,17.9,22203,223,1,2394,0,0,24597,68.8,24983,98.5,98.7,1.5,1363,725,8.5,6.1,30.3,90.3,9.7,1349,2783,349.5,11.1,24807,99.3,291,98.8,24668,99.4,3390,13.7,24379,98.3,923,2.2,39.8,30861,86.3,27228,76.2,0,0,0,0,10570,20,29.6,85,,24,0,452,590,56.6,98,2,100,0,1.7,53,6097,6150,0.9,99.1,,,,,,6150,0,100,75.8,11.7,11.7,0.9,100,100,100,100,0,0,0,0,2,0,29,6670,,29.9,9,52,4576,1993,101,36856,177,332494,414,41,1,,0,11712,25176,26371,22512,101.5,106.3,90.7,0,0,0,32116,32192,31659,32237,0,130,32070,-22.2,141.8,91.7,4,0,56,98.7,76.2,175,100,0,0,0,0,8,5,20,22,3674,737,0,29584,25867,23917,30153,0,67.1,16.5,65.2,0.4,85757,946260,48295,994555,8.6,1515,7658,16.5,142,9.4,4.9,12037,1.2,1.7,0.9,24.6,0.2,0.4,0.1,0,360,2.8,3.1,5.6,0.6,1.9,0,2394,,
Dhar,57699,36403,63.1,38395,27295,25139,66.5,90.9,52447,90.9,36557,528,19.3,1,4455,798,3657,17.9,32602,3600,11,1541,113,7.3,34143,59.2,38598,88.5,90.5,11.5,920,790,5,2.8,51.3,95.5,4.5,3242,19736,72.8,51.1,38092,98.7,614,98.4,37712,99,4206,11.2,37098,97.4,926,4,56.4,45322,78.5,31000,53.7,273,0.5,0,0,22438,2,38.9,0,,51,2,1014,1466,64.7,99.5,0.5,78.8,21.2,2.5,18,8957,8975,0.2,99.8,,,,,1214,7761,13.5,86.5,89.6,4.8,3.8,1.8,86.6,94.7,74.8,80,0,0,0,0,0,0,0,12802,47,36.8,14.4,58.9,7936,4716,197,106291,0,655419,215,137,26,,0,37557,32468,37514,30897,85.2,98.5,81.1,0,0,0,46905,45533,45951,46964,0,123.3,47059,-25.2,125.1,110.2,1,0,0,98.8,94,379,29,26,5,0,0,19,6,2,146,3205,601,0,43219,38176,34687,42262,0,59.5,19.8,44.2,0.2,154254,1543560,38927,1582487,9.7,1633,15242,9.7,127,7.8,2.5,13900,0.9,3.6,0.5,32.4,0.2,0.3,0.4,0.1,737,8.4,7.1,11.4,0.8,1.2,0,6357,,
Dindori,21676,18482,85.3,15098,13386,7455,69.7,96.1,19719,91,18442,1025,50.5,1.1,1360,377,983,27.7,10013,928,9.3,,,,10013,46.2,11373,88,91.4,12,107,,1.1,1.1,,100,0,1039,1059,76.4,9.3,11166,98.2,316,97.2,11146,99.8,1646,14.8,10874,97.4,928,5.6,42.8,14430,66.6,14242,65.7,0,0,0,0,8272,33,38.2,97,100,14,1,2389,209,8,100,0,100,0,1,16,4408,4424,0.4,99.6,,,,,,4424,0,100,99.3,0.1,0.5,0.1,100,100,100,100,1,0,1,0,0,0,17,6962,,46.7,32.5,61.1,3701,3252,9,50801,468,277302,0,50,11,,0,35910,9618,10632,8966,86.1,95.2,80.3,0,0,0,15743,15695,15670,17935,0,160.6,17965,-68.7,156.4,103.4,0,0,0,99.7,99.6,110,11,40,0,0,0,8,2,0,42,2853,531,0,12724,11277,10042,14874,0,68.3,19.2,51.8,1.1,35877,372910,33947,406857,8.8,17,3610,0.5,1,5.9,8.3,3401,0.8,2.5,0.7,24.5,0.2,0.4,0.1,0.3,436,5,5.7,5,0.5,0.2,0,,,
Guna,35284,19927,56.5,25620,26393,5393,72.6,90.1,33579,95.2,10336,142,28.6,1.6,975,175,800,17.9,23582,1925,8.2,1597,343,21.5,25179,71.4,26154,96.3,96.9,3.7,648,1237,7.5,2.7,77.5,93.7,6.3,1217,12786,124.8,48.9,25858,98.9,362,98.6,25260,97.7,4035,16,24292,93.9,925,4.9,67.8,30469,86.4,21397,60.6,280,0.8,19,0.1,3914,2,11.1,0,,13,4,274,74,26.5,100,0,74.7,25.3,0.2,20,5701,5721,0.3,99.7,,,,,35,5686,0.6,99.4,95.8,0.7,3.4,0.1,99.6,92.9,94.8,100,0,0,0,0,0,12,0,2970,7,66.1,8.3,34.2,992,1964,21,58449,344,166948,167,270,29,,0,10619,25258,24189,24703,97.7,93.5,95.5,10,24,22,30342,28547,28270,28686,16,111,28819,-18.6,111.4,127.7,52,0,322,98.7,82.2,804,110,58,32,4,6,12,12,6,48,1593,437,16,28442,25440,24062,25959,0,62.2,29.9,56.3,1.2,83812,741747,47795,789542,10.6,1475,1635,47.4,673,45.6,6.1,21109,2.7,1.1,1.7,14.3,0.3,0.9,0.6,0,769,8.7,20,3.4,0.4,1,0,5270,,
Gwalior,49642,29095,58.6,30117,30792,8049,60.7,78.2,45136,90.9,39551,2624,77.5,2.8,858,77,781,9,31306,2028,6.5,8433,67,0.8,39739,80.1,40597,97.9,98.1,2.1,4857,4818,24.3,15.5,57.1,78.8,21.2,543,946,63.3,2.3,40113,98.8,983,97.6,35794,89.2,4787,13.4,32673,81.5,909,13.2,24,35798,72.1,24550,49.5,0,0,0,0,12969,8,26.1,25,,16,0,1012,2791,79.6,96.6,3.4,70.6,29.4,5.6,258,6411,6669,3.9,96.1,,,,,248,6421,3.7,96.3,82,3.9,12.3,1.9,99.6,69.8,86.4,68.3,0,0,0,0,4,0,38,6713,65,51,10.9,50.4,3130,3460,188,79594,2332,413206,356,123,2,,0,21211,35608,40321,28830,88.8,100.5,71.9,6,0,0,37405,35847,35170,39113,0,97.5,38403,3,94.1,78.3,27,0,540,98.7,67.9,1212,171,45,0,0,0,105,1,7,285,3513,900,0,35157,31234,27300,32462,0,81.5,12.6,84.5,0.5,43280,1222873,76696,1299569,3.3,3589,6198,36.7,114,3.2,5.9,23180,1.8,2.3,0.5,15.9,0.1,0.2,1.2,0,338,4.1,1.2,3.3,0.3,0.9,0,16192,,
