,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
Dhule,47011,38794,82.5,40310,26175,20952,85.7,100.2,45462,96.7,34765,1647,100,0.7,320,263,57,82.2,26797,15767,58.8,12901,9908,76.8,39698,84.4,40018,99.2,99.9,0.8,671,450,2.8,2.5,3.5,67.5,32.5,282,17507,88.1,43.7,39923,99.8,134,99.7,39750,99.6,4876,12.3,39649,99.3,965,0.3,51.3,38938,82.8,22548,48,1796,3.8,5,0,898,21,1.9,4.8,,13,0,295,679,69.9,99.9,0.1,99.1,0.9,1.4,125,7080,7205,1.7,98.3,,,,,65,7140,0.9,99.1,9.9,86.9,2.7,0.4,100,98.9,100,100,0,0,0,0,4,0,0,7584,515,37.4,10.6,52.9,4711,3352,36,78250,1538,262383,1104,0,0,,0,16302,39448,43199,32265,98.8,108.2,80.8,0,0,0,43775,42240,42354,41447,0,103.8,41447,4.1,102.9,56.3,0,0,1,100,92.3,15,16,83,0,0,0,18,3,7,15,505,241,0,0,0,0,38710,0,58.3,22.7,30,0,62357,1072793,102808,1175601,5.3,938,2459,27.6,226,24.1,8.7,6574,0.6,4.2,1,40.9,0.9,0.9,0,0,467,6.6,7.7,13.1,0,12.6,0,2322,,
Gadchiroli,20397,17426,85.4,18189,12301,5971,89.2,89.6,19216,94.2,20205,583,100,2.5,1064,794,270,74.6,16235,8158,50.2,676,83,12.3,16911,82.9,17975,94.1,98.5,5.9,1974,207,12.9,12.2,30.6,96,4,1015,12617,95.4,70.2,17738,98.7,386,97.9,17623,99.4,4587,26,17479,98.5,937,18.4,14.6,19308,94.7,14216,69.7,835,4.1,38,0.2,1865,1,9.1,0,,12,5,926,256,38.9,91.4,8.6,43.4,56.6,1.3,2736,3466,6202,44.1,55.9,,,,,8,6194,0.1,99.9,0,94.7,4.8,0.4,,100,100,46.7,0,0,0,18,0,0,1,3039,30,48.8,9.1,33.1,1548,1492,29,21870,1268,243699,478,66,11,,0,21151,16204,17558,14020,91.4,99,79,0,0,0,17249,17047,17093,16256,37,91.9,16225,7.4,90.9,90.7,0,0,132,99.9,88.9,327,62,174,0,0,0,14,7,0,213,1491,292,37,46,38,23,18278,40,62.7,22.4,37.2,0.9,94161,1337291,150157,1487448,6.3,4117,6672,38.2,1996,48.5,10.1,12931,0.9,5.1,0.3,42.6,0.2,0.3,0.1,0.6,494,9.3,9.9,4.9,0.2,1,0,,,
Gondiya,20451,18274,89.4,18579,13967,6451,90.8,99.8,14857,72.6,26133,277,74.7,3,35,22,13,62.9,16009,4962,31,1857,606,32.6,17866,87.4,17901,99.8,99.9,0.2,3409,1112,25.3,21.3,59.9,89.6,10.4,28,17130,80,95.7,17723,99,287,98.4,17528,98.9,3269,18.7,14027,79.1,932,15.5,44.6,16567,81,15738,77,0,0,0,0,721,0,3.5,,,12,0,782,311,32.8,99,1,81.4,18.6,1.5,1463,7183,8646,16.9,83.1,,,,,737,7909,8.5,91.5,0,90.9,9.1,0,,93.6,51.2,100,2,0,2,6,8,0,0,3049,8,41,7.8,26.1,1789,1254,14,21766,531,178119,0,28,4,,0,16884,16459,19531,10554,92.9,110.2,59.5,0,0,0,19370,19202,19276,17987,0,101.5,17809,7.9,102.2,78.9,0,1,6,100,90.4,33,23,9,0,0,0,4,7,5,4,458,91,0,0,0,0,18729,0,68.2,14.2,40,0.9,78317,1341939,229645,1571584,5,8721,8539,50.5,1948,22.3,14.6,19734,1.3,2.2,0.4,65.4,0.7,0.5,0,0.1,395,21,17.5,2.5,0,0.3,0,392,,
Hingoli,22764,18713,82.2,20139,13685,8693,88.5,98.3,18870,82.9,18967,427,50.8,0.9,118,30,88,25.4,14022,8216,58.6,4405,1213,27.5,18427,80.9,18545,99.4,99.5,0.6,1425,867,12.4,10.2,19.7,76.1,23.9,96,7275,81.4,39.2,18502,99.8,189,99,18395,99.4,1748,9.5,18115,97.9,925,6.8,33.8,18701,82.2,11248,49.4,690,3,0,0,7664,1,33.7,0,,5,0,414,101,60.9,100,0,15.7,84.3,0.4,23,5822,5845,0.4,99.6,,,,,651,5194,11.1,88.9,11.2,83.7,4.9,0.2,75.4,90.2,95.8,100,0,0,0,0,32,0,0,4679,118,51,17,45.1,2396,2388,13,24553,329,352135,700,46,0,,0,12613,14685,20768,11572,79.4,112.2,62.5,0,0,0,23361,22631,22148,20874,0,112.8,20788,-0.5,111.5,103.2,0,0,4,100,94,211,70,43,0,0,0,5,6,58,0,664,391,0,0,0,0,20809,0,63.9,25.1,61.3,0.1,78804,863730,93266,956996,8.2,2625,21870,10.7,1127,42.9,9.7,7888,0.8,1.6,0.8,56.4,0.5,0.6,0,0,189,3.2,21.2,1.6,0,0.5,0,564,,
Jalgaon,77919,64650,83,66094,44528,29502,84.8,95,75171,96.5,65362,1267,55.5,0.5,192,159,33,82.8,32724,17768,54.3,36322,,0,69046,88.6,69238,99.7,100,0.3,2359,3487,8.5,7.2,9.6,47.4,52.6,192,33928,100,49,68870,99.5,482,99.3,68423,99.4,3308,4.8,67863,98.5,910,5.2,38.1,46928,60.2,37582,48.2,1778,2.3,0,0,5332,0,6.8,,,20,0,528,623,81.7,98.6,1.4,26.5,73.5,0.8,40,18993,19033,0.2,99.8,,,,,5647,13386,29.7,70.3,1.6,84.4,12.2,1.7,100,73.1,42.5,100,0,0,0,0,22,0,0,12252,579,29.1,10.9,40.3,8758,3999,74,122873,180,329987,0,46,4,,0,26774,56533,76306,27026,82.1,110.8,39.2,0,0,0,78952,78928,76894,71163,0,103.3,70604,6.7,98,79.6,1,0,0,100,93.5,186,17,9,0,0,0,21,0,27,13,570,327,0,0,0,0,67563,0,63.2,22.2,41,0.2,158331,2443680,148543,2592223,6.1,3511,6145,36.4,476,13.6,5.7,24043,0.9,7.9,0.9,37.3,0.5,0.7,0,0,665,5.7,6.9,2.3,0,4.4,0,7600,,
Jalna,44035,35903,81.5,40322,31355,10531,91.6,95.1,36325,82.5,40157,500,48.4,0.4,40,9,31,22.5,18156,11650,64.2,13193,6807,51.6,31349,71.2,31389,99.9,99.9,0.1,549,3575,13.2,3,27.1,57.9,42.1,9,21340,22.5,68,31153,99.2,331,98.9,30217,97,2768,9.2,30302,97.3,938,1.2,28.1,30739,69.8,18292,41.5,0,0,0,0,6831,0,15.5,,,8,0,665,284,54.1,94.4,5.6,36.3,63.7,0.6,128,7980,8108,1.6,98.4,,,,,1311,6797,16.2,83.8,9.9,87.8,2.2,0.1,32.9,90.9,20.8,87.5,0,0,0,0,19,0,3,8294,505,36.9,16.9,52,5665,3089,45,16754,924,83330,0,60,5,,0,29711,32179,42699,19880,103.3,137.1,63.8,0,0,0,41997,39986,39490,37577,0,120.6,37542,12,110.3,81,0,0,177,99.9,94.5,33,2,0,0,0,0,0,0,35,7,649,465,0,0,0,0,35356,0,65.5,23.1,40.3,0.2,101893,1387680,169902,1557582,6.5,3054,6653,31.5,142,4.6,10.9,15851,1,2.6,0.4,41.2,0.7,0.5,0,0,150,1.3,20,4,0,0,0,3432,,
Kolhapur,64971,54001,83.1,57632,42640,20070,88.7,96.5,65350,100.6,64877,1516,60.5,1.5,12,6,6,50,22048,2722,12.3,25180,1709,6.8,47228,72.7,47240,100,100,0,4687,11403,34.1,21.3,45.3,46.7,53.3,12,36024,100,76.3,47042,99.6,256,99.5,46576,99,4338,9.3,46150,98.1,897,1.5,46.6,49344,75.9,28047,43.2,14019,21.6,62,0.1,11060,9,17,0,,32,0,621,1857,92.1,89.3,10.7,25.8,74.2,2.9,315,18396,18711,1.7,98.3,,,,,4345,14366,23.2,76.8,33.7,56.2,9.2,1,80.8,75.2,65.2,100,0,0,0,0,32,0,3,22049,2038,14.3,14.3,56.3,20813,3166,108,323396,399,614471,1723,59,5,,0,17926,56578,62576,29581,120.3,133,62.9,0,0,0,57795,57840,61209,60392,956,130.4,60368,3.5,132.1,62.5,2,2,15,100,89.8,71,6,10,0,0,0,12,4,3,3,1596,707,956,733,619,337,58091,371,62.2,11.3,47.4,0.4,210420,2828581,201056,3029637,6.9,18305,20261,47.5,584,3.2,6.6,32608,1.1,1.4,1,62.4,0.7,0.9,0,0,452,16.4,13.7,2.9,0,0.7,0,3365,,
Latur,48697,37281,76.6,39094,22731,19655,80.3,87,40681,83.5,44618,3370,78.9,1,70,52,18,74.3,30914,7048,22.8,11844,,0,42758,87.8,42828,99.8,100,0.2,4838,1057,13.8,15.6,8.9,72.3,27.7,36,13206,51.4,30.8,42706,99.7,292,99.3,42292,99,2716,6.4,41258,96.6,949,7.6,9.4,34271,70.4,21805,44.8,1604,3.3,0,0,10530,70,21.6,0,,10,1,556,325,69.6,98.2,1.8,25.6,74.4,0.7,31,11613,11644,0.3,99.7,,,,,373,11271,3.2,96.8,23,72.3,4.2,0.6,99.5,96,95.2,100,1,0,1,0,13,0,2,11846,36,58.7,22.5,50.5,4843,6989,50,66220,223,428098,2074,63,9,,0,22411,43314,52408,20880,101.4,122.7,48.9,0,0,0,45935,43625,42908,40933,1664,99.7,40034,21.9,90.6,68,0,0,2,99.9,91.4,433,8,125,0,0,0,17,0,33,35,2199,317,1664,13,0,122,33968,1114,73.4,25.6,43.2,0,122413,1665767,265378,1931145,6.3,2995,8110,27,1361,45.4,13.7,19253,1,2.5,1.1,52.8,0.7,0.9,0,0,107,13.1,2.8,2.8,0.9,0.9,0,7176,,
Nagpur,87801,55408,63.1,77642,49704,12442,88.4,70.8,80301,91.5,56548,1465,54.7,2.2,35,23,12,65.7,39932,3850,9.6,29857,803,2.7,69789,79.5,69824,99.9,100,0.1,13351,7010,29.2,33.4,23.5,57.2,42.8,35,39535,100,56.6,69361,99.3,913,98.7,68091,98.2,10342,15.2,53358,76.9,967,3.5,40.9,76955,87.6,46425,52.9,14554,16.6,382,0.4,9193,3,10.5,100,,199,190,1561,1308,74.9,95.4,4.6,28,72,1.5,249,12717,12966,1.9,98.1,,,,,1939,11027,15,85,3.3,55.8,38.1,2.8,53.4,90.2,79,92.5,0,0,0,3,21,1,1,10742,380,39.9,10.7,46.2,6677,4335,110,44371,386,416258,827,133,24,,0,20565,59194,68512,51243,85.3,98.8,73.9,0,0,0,68870,68792,68492,63219,5672,99.3,67992,7.7,96.8,71.6,1,0,0,97.8,78.1,167,130,82,2,0,0,26,1,33,12,3819,845,5672,788,606,508,59783,4018,70.8,28.4,31.7,0.1,136977,2940758,288869,3229627,4.2,13386,15438,46.4,560,4.2,8.9,20425,0.6,1.2,0.6,32.3,0.5,0.5,0.1,0,276,1.8,12,3.6,0.7,0.4,0,6488,,
Nanded,69250,59475,85.9,62643,38162,29877,90.5,98.3,62757,90.6,54059,3623,56.3,0.4,138,68,70,49.3,42558,13676,32.1,22310,0,0,64868,93.7,65006,99.8,99.9,0.2,1679,2438,6.3,3.9,10.9,65.6,34.4,116,58214,84.1,89.6,64745,99.6,539,99.2,63817,98.6,4282,6.7,61042,94.3,997,1.6,14.4,53629,77.4,46491,67.1,10076,14.6,0,0,9919,0,14.3,,,23,0,315,192,64.3,99.5,0.5,33.9,66.1,0.3,30,19097,19127,0.2,99.8,,,,,1895,17232,9.9,90.1,4.3,95,0.6,0,87.7,90.1,100,100,2,0,2,0,21,0,0,11572,183,43.2,11.7,38.1,6675,4995,85,78734,241,440935,0,24,1,,0,22183,63736,63884,37908,98.4,98.7,58.5,0,0,0,64024,62928,62395,60886,0,94,60296,4.7,91.2,79.5,0,0,0,100,69.7,71,40,16,0,0,0,21,3,2,3,1960,446,0,0,0,0,59637,0,59.1,25.7,35.9,0,217822,2535616,235406,2771022,7.9,6832,9927,40.8,1515,22.2,8.5,39654,1.4,3.5,0.4,35.1,0.3,0.4,0,0,574,5.6,8,6.4,3.5,7.7,0,90,,
