,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
Kishtwar,4497,2117,47.1,1527,2624,919,34,78.8,3594,79.9,207,19,54.3,0,692,25,667,3.6,4090,3133,76.6,,,,4090,90.9,4782,85.5,86.1,14.5,533,,13,13,,100,0,1822,1633,263.3,34.1,4713,98.6,141,97.1,4218,89.5,493,11.7,4139,87.8,1013,1.4,150.8,2114,47,905,20.1,361,8,0,0,0,0,0,,,3,1,390,4,1,100,0,100,0,0.1,0,140,140,0,100,,,,,,140,0,100,62.1,0,37.9,0,100,,100,,0,0,0,0,0,0,0,569,,21.4,3,80.3,447,122,0,4349,496,27992,74,24,0,,4,1464,4090,4705,4248,86.8,99.8,90.1,715,536,518,4175,4331,4277,4038,0,85.7,3978,14.2,313.7,17.1,0,0,3,56.5,94,119,0,13,26,0,0,0,0,13,0,1631,308,0,0,0,0,2616,0,63,18,46,0.7,19165,398790,14515,413305,4.6,1113,15851,6.6,63,5.7,3.5,6895,1.7,0.5,0.1,13.9,1.1,0.5,0,0,37,16.2,8.1,2.7,2.7,0,0,,,
Kulgam,9893,9033,91.3,7437,8092,1237,75.2,94.3,9058,91.6,10398,156,22.8,1.8,190,3,187,1.6,4056,2895,71.4,,,,4056,41,4246,95.5,95.6,4.5,1079,,26.6,26.6,,100,0,618,4407,325.3,103.8,4209,99.1,46,98.9,4188,99.5,60,1.4,4162,98.9,1045,0,0,2137,21.6,3573,36.1,1325,13.4,0,0,3979,0,40.2,,,5,0,665,3,0.4,0,100,100,0,0,1,181,182,0.5,99.5,,,,,,182,0,100,0,97.8,2.2,0,,100,100,,0,0,0,0,0,0,0,655,,29.5,4.8,78.3,454,193,8,40762,3682,135969,20,130,3,,0,8281,3990,4418,3670,94.8,105,87.2,0,0,0,9727,9759,9863,10604,0,251.9,10604,-140,255.5,135.3,14,0,77,96.1,99.3,39,43,275,0,13,0,27,7,19,0,5726,1530,0,0,0,0,9717,11,53.9,27.2,35.9,0.1,51802,964841,56870,1021711,5.1,2128,5393,28.3,247,11.6,5.6,72202,7.1,1.3,0,13.4,0,0,0,0,45,2.2,11.1,22.2,0,0,0,,,
Kupwara,16585,13812,83.3,8248,7870,5522,49.7,80.7,18236,110,8416,170,76.6,0.3,358,281,77,78.5,8562,5725,66.9,,,,8562,51.6,8920,96,99.1,4,1839,,21.5,21.5,,100,0,3016,5676,842.5,63.6,8797,98.6,142,98.4,8227,93.5,283,3.4,7984,90.8,980,1.9,118.7,7569,45.6,2148,13,1040,6.3,23,0.1,583,0,3.5,,,6,4,518,3,0.6,100,0,100,0,0,0,489,489,0,100,,,,,,489,0,100,0,87.7,12.3,0,,100,100,,0,0,0,0,0,0,0,1350,,19.5,3.1,73.4,1058,263,29,37844,2177,119896,1730,14,0,,0,7280,9732,11110,8613,110.6,126.3,97.9,0,0,0,16950,17017,16882,15671,0,178.1,14666,-41.1,182.6,110.4,10,0,0,94,93.1,0,0,0,0,0,0,0,0,0,0,679,453,0,0,0,0,14940,0,53.8,28.6,0,0,69777,1308231,89315,1397546,5,4683,67055,6.5,685,14.6,6.4,40807,2.9,0.5,0.4,9,0,0.3,0,0,41,4.9,4.9,0,0,0,0,,,
Leh Ladakh,2504,1675,66.9,997,1125,336,39.8,58.3,1917,76.6,575,5,83.3,5.2,34,14,20,41.2,1690,120,7.1,,,,1690,67.5,1724,98,98.8,2,431,,25.5,25.5,,100,0,38,1705,111.8,98.9,1723,99.9,21,98.8,1731,100.5,201,11.6,1284,74.5,990,19.8,31.7,1772,70.8,388,15.5,264,10.5,21,0.8,1099,0,43.9,,,1,0,173,28,13.9,96.4,3.6,100,0,1.1,3,67,70,4.3,95.7,,,,,,70,0,100,0,49.3,50.7,0,,100,100,,0,0,0,0,0,0,0,492,,4.5,1.3,87.5,469,22,1,1142,34,8925,6,67,4,,0,1112,1658,1693,1627,96.2,98.3,94.4,0,0,0,1641,1698,1693,1765,0,102.4,1765,-4.3,102.7,48.2,1,0,5,89.4,90.5,126,97,75,0,0,0,0,0,34,0,2027,366,0,0,0,0,1811,0,55.9,21.9,35.3,0.5,17569,380817,21893,402710,4.4,1552,7591,17,23,1.5,5.4,22824,5.7,1.2,0,24.2,0,0,1.8,0,20,15,10,0,5,5,0,,,
Poonch,12727,8058,63.3,7179,9690,2561,56.4,96.3,12695,99.7,21108,158,39.5,1.6,1141,252,889,22.1,9270,6563,70.8,,,,9270,72.8,10411,89,91.5,11,2027,,21.9,21.9,,100,0,7789,6615,682.6,63.5,10155,97.5,288,97.2,9279,91.4,1163,12.5,8364,82.4,937,3.8,4,3284,25.8,3704,29.1,495,3.9,0,0,221,0,1.7,,,6,0,357,451,55.8,95.3,4.7,100,0,3.5,2,609,611,0.3,99.7,,,,,,611,0,100,56.2,39.4,3.3,1.1,100,100,100,100,0,0,0,0,10,0,11,1638,,22,3.9,72.8,1259,361,18,15271,2444,92873,259,78,0,,2,6851,8877,10629,8627,87.4,104.7,85,6,12,25,10966,10657,10681,10120,0,99.7,10360,4.8,101.4,112,43,0,49,96.6,95.7,82,33,180,27,7,0,0,134,2,38,5505,2022,0,0,0,0,9056,0,67,36.8,47.1,0.4,50197,859196,76824,936020,5.4,4172,11351,26.9,317,7.6,8.2,24633,2.6,2.5,0.3,3.3,0,0.1,0.2,0,133,5.3,11.3,0,0,0.8,0,,,
Pulwama,9113,8363,91.8,7435,6979,1127,81.6,88.9,7525,82.6,5469,134,81.2,2.7,100,0,100,0,3750,1471,39.2,756,15,2,4506,49.4,4606,97.8,97.8,2.2,2005,741,60.9,53.5,98,83.2,16.8,68,111,68,2.4,4582,99.5,47,99,4544,99.2,69,1.5,4449,97.1,991,1.5,83.1,322,3.5,615,6.7,1491,16.4,18,0.2,3347,0,36.7,,,1,,727,0,0,,,,,0,4,276,280,1.4,98.6,,,,,,280,0,100,0,63.4,35.1,1.4,,100,100,100,0,0,0,0,0,0,0,288,,17,1.3,50.7,239,49,0,16998,2285,111426,22,31,4,,0,8274,4886,5075,4627,106.6,110.8,101,0,0,0,9437,9234,9271,9165,0,200,9164,-80.6,199.7,73.9,1,0,390,94.3,99.2,22,13,11,0,0,0,1,0,23,0,2620,645,0,0,0,0,8753,0,59.8,12,,0,41996,1679421,109900,1789321,2.3,4964,14951,24.9,1832,36.9,6.1,76676,4.3,3.6,0,24.5,0,0,0.5,0,33,6.1,12.1,0,0,0,0,,,
Rajouri,14545,10418,71.6,9130,9516,3565,62.8,89.9,19216,132.1,8692,66,75.9,16.1,1134,22,1112,1.9,10284,5397,52.5,633,43,6.8,10917,75.1,12051,90.6,90.8,9.4,1383,472,17,13.4,74.6,94.2,5.8,4300,3433,379.2,28.5,11954,99.2,89,99.3,11833,99,820,6.9,10522,88,1007,2.9,70,11222,77.2,8694,59.8,46,0.3,46,0.3,1514,0,10.4,,,4,0,199,901,83.9,99.9,0.1,86.7,13.3,6.2,6,578,584,1,99,,,,,23,561,3.9,96.1,97.8,1.7,0.2,0.3,97.7,0,100,100,0,0,0,0,0,0,0,2541,16,15.4,3.8,81.4,2156,391,10,36696,1001,222334,218,61,1,,30,2720,10517,14711,10449,88,123.1,87.4,0,0,0,13370,12783,12701,13060,0,109.3,13217,11.2,85.1,74.4,0,0,0,95.6,93.9,110,0,0,0,0,0,0,0,0,0,2662,277,0,0,0,0,11633,0,53.5,32.3,43.1,0.1,80652,1251597,100952,1352549,6,5810,89727,6.1,1012,17.4,7.5,21699,1.6,10.6,0,13.1,0,0,0.4,0,45,2.2,0,0,0,0,0,,,
Ramban,6607,4697,71.1,3827,3834,2158,57.9,90.7,5816,88,6466,303,83.9,1.2,988,78,910,7.9,4148,2784,67.1,,,,4148,62.8,5136,80.8,82.3,19.2,106,,2.6,2.6,,100,0,1226,1180,124.1,23,5069,98.7,43,99.2,4737,93.5,189,4,4760,93.9,907,0.1,75,5230,79.2,1661,25.1,2404,36.4,1,0,3002,0,45.4,,,2,,308,114,27,88.6,11.4,100,0,1.7,,244,244,0,100,,,,,,244,0,100,100,0,0,0,100,,,,,,,,,0,0,812,,22.4,4.4,76.9,626,182,4,11928,2096,80739,200,7,1,,18,1667,4313,5423,4019,85.1,107,79.3,0,0,0,6836,6467,6145,5505,0,108.6,5369,-1.5,91.5,42.7,,0,0,77.3,94.3,558,,,,,,0,0,25,15,741,212,0,,,,4072,,63.5,22,55.6,0,18986,432690,28150,460840,4.1,508,8597,5.6,7,1.4,6.1,11456,2.5,5.1,0,28.8,0,0,0,0,2,0,0,0,0,0,0,,,
Reasi,7917,5582,70.5,5201,4696,1771,65.7,81.7,7579,95.7,7612,145,66.8,1.6,1421,107,1314,7.5,4211,3542,84.1,,,,4211,53.2,5632,74.8,76.7,25.2,66,,1.6,1.6,,100,0,2144,3973,150.9,70.5,5644,100.2,57,99,5213,92.4,166,3.2,5167,91.5,895,3.3,5.4,5292,66.8,4040,51,321,4.1,0,0,846,0,10.7,,,0,,172,137,44.3,100,0,100,0,1.7,4,239,243,1.6,98.4,,,,,,243,0,100,98.7,0,1.3,0,100,,100,,0,0,0,0,0,0,0,1034,,12.9,3.2,81,901,133,0,29970,7602,210476,180,34,2,,0,6262,5151,5533,4138,91.3,98,73.3,0,0,0,7277,7286,7111,6290,0,111.4,6548,-13.7,74.7,77.4,156,0,978,97.7,98.9,125,42,46,0,0,0,1,0,0,10,4511,457,0,0,0,0,5495,0,53.7,28.6,0,0,26436,742623,36815,779438,3.4,73,10604,0.7,60,82.2,4.7,14271,1.8,1.3,0,6.2,0,0,0,0,10,0,0,0,0,0,0,,,
Samba,5015,2811,56.1,4642,3281,718,92.6,79.7,3740,74.6,5305,67,100,1.8,118,0,118,0,1743,464,26.6,,,,1743,34.8,1861,93.7,93.7,6.3,351,,20.1,20.1,,100,0,294,2483,249.2,133.4,1856,99.7,5,99.7,1845,99.4,24,1.3,1844,99.4,843,8.9,4.2,1201,23.9,2372,47.3,656,13.1,0,0,2842,0,56.7,,,2,0,97,330,77.3,98.8,1.2,100,0,6.6,6,354,360,1.7,98.3,,,,,,360,0,100,94.4,0.3,0.3,5.1,100,100,100,100,1,0,1,0,0,0,0,987,,64.4,36.5,73.3,304,636,47,7828,3066,113144,40,8,0,,0,3814,2272,2389,1975,122.4,128.7,106.4,0,0,0,5483,5348,5257,5503,0,296.5,5503,-130.3,293,87.5,0,0,0,95.9,90.8,31,9,6,0,0,0,0,7,0,4,1751,290,0,0,0,0,5286,0,62.5,19.8,0,0,16578,753515,41637,795152,2.1,1707,23098,6.9,6,0.4,5.2,26960,3.4,1.3,0.1,16.8,0.1,0.1,0,0,54,3.7,1.9,0,0,0,0,,,
