Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_West Bengal,"1,902,114","872,390","1,312,132","1,502,713","1,619,693","107,722","7,686","504,149","16,159","487,990","758,200","172,727","906,406","1,410,555","103,008","73,969","1,422,559","24,731","194,130","216,145",922,"29,550","41,835","33,860","277,862","311,722","77,935","4,221","8,467,843","40,345,953","1,192,578","1,719,572","1,635,932","1,641,500","1,678,522","1,552,782","1,405,393","18,939","91,729","96,535","28,917"
Bankura,"77,574","37,846","73,739","60,037","66,838",25,,"11,615",76,"11,539","39,541","37,295","41,947","53,562","2,261","2,228","56,056","1,039","11,996",435,912,673,238,"2,550","15,414","17,964","2,429",3,"573,916","3,083,270","48,761","65,052","62,311","63,947","68,317","61,891","57,729",108,,622,"1,949"
Bardhaman,"150,177","65,491","107,057","122,725","116,220",,,"21,688",,"21,688","56,879",,"110,302","131,990","8,161",419,"130,450","1,742","17,031",,899,"2,926","2,930","3,077","26,382","29,459","6,696",333,"599,021","3,343,386","96,234","141,842","130,555","128,912","131,002","120,799","108,990","1,875",,,"2,966"
Birbhum,"89,590","45,585","58,377","74,855","70,791","3,879",483,"19,540",,"19,540","42,746","8,790","42,886","62,426","3,469","1,637","63,504","1,103","8,966","8,826",945,927,38,655,"18,488","19,143","2,506",58,"510,874","2,234,673","52,602","82,174","76,838","76,060","78,838","73,987","72,931","1,764",,,"1,440"
Dakshin Dinajpur,"32,397","15,547","24,201","29,007","32,824",,,"11,924",,"11,924","12,938","5,515","12,946","24,870","1,824",612,"24,742",603,"3,579","3,769",883,"1,046","1,640",464,"4,165","4,629","1,385",,"178,212","938,281","19,468","29,928","30,428","30,983","30,640","28,603","27,769",561,,221,"1,161"
Darjeeling,"39,583","15,865","25,956","27,978","56,717",,,"3,944",131,"3,813","28,899",,"29,079","33,023","3,448",,"33,171",597,"3,589",,924,300,659,373,"4,480","4,853","1,628",,"41,941","405,349","19,312","40,062","32,173","31,332","31,394","30,696","30,696",,,,843
Haora,"103,421","33,889","57,375","69,459","80,293","10,982",819,"11,550","1,784","9,766","29,279","10,130","44,740","56,290","3,541","10,838","52,701","1,082","7,346","18,111",942,"1,994",929,"2,935","12,557","15,492","2,534",343,"705,825","2,070,248","46,014","70,970","67,623","69,177","67,641","60,856","64,226",518,"21,841","12,473",692
Hooghly,"92,581","46,197","74,869","75,958","84,822",,,"11,337",724,"10,613","40,590",,"55,906","67,243","7,924","2,567","66,428",933,"7,864",,915,"1,639","2,029","1,088","17,937","19,025","4,844",160,"498,577","1,896,034","66,260","87,124","79,833","79,049","80,282","76,037","72,077",282,,,"1,096"
Jalpaiguri,"74,543","31,233","50,692","65,683","59,424",,,"21,740","3,229","18,511","27,273","6,720","28,181","49,921","3,466",,"48,423","1,439","4,927","4,534",919,"1,713","2,785","4,467","5,180","9,647","3,571",,"209,911","1,061,179","54,133","88,145","89,675","95,055","101,111","88,721","60,066",228,233,418,778
Koch Bihar,"60,610","23,606","42,276","52,637","58,103",,,"21,971",,"21,971","25,642",,"26,204","48,175","2,242","2,786","50,960",918,"7,884",,883,50,913,"1,846","17,929","19,775","5,251",,"487,072","3,173,749","26,476","59,247","55,064","56,828","59,952","53,665","47,791",,,,"1,613"
