Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Maharajganj,"72,556","26,363","66,461","68,852","54,653","2,182",659,"29,025","22,891","6,134","29,426","17,937","29,621","58,646",72,,"58,284",546,"6,965","33,972",917,,23,81,"9,147","9,228","17,881",,"133,367","524,133","26,223","73,829","74,250","72,819","72,863","70,675","69,668",,"3,053","2,029",
Mahoba,"25,385","17,255","21,994","25,067","26,614","3,295",48,"4,262","2,662","1,600","14,139","11,035","14,142","18,404",,,"16,818",157,"3,006","13,620",755,,142,36,"3,066","3,102","12,462",655,"10,088","115,264","9,782","24,904","25,144","24,622","23,983","23,799","23,899",,,"3,982",
Mainpuri,"63,372","13,396","40,229","62,896","53,327",,,"17,273","11,827","5,446","14,618","14,618","14,618","31,891",,,"31,825",46,"4,886","27,536",891,30,144,1,"2,073","2,074","27,948",,"28,460","1,039,937","23,692","55,781","59,229","55,793","53,300","51,459","50,918",,29,172,
Mathura,"79,196","76,461","62,866","114,293","56,957","5,749","5,592","52,278","35,048","17,230","21,675","21,675","24,004","76,282",6,,"58,884",131,"17,876","57,074",994,49,,18,"9,980","9,998","13,335",,"126,321","490,165","20,621","60,721","65,805","64,095","60,954","37,923","60,018",,,,
Maunathbhanjan,"67,791","10,234","64,184","61,830","56,922",,,"36,163","27,903","8,260","18,886","8,458","18,904","55,067","1,292",33,"50,411","2,051","19,611","24,273","1,000",16,28,30,"10,941","10,971","52,587","3,252","106,532","305,670","35,933","118,047","119,623","119,027","117,214","112,153","70,724",,"1,868","2,120",176
Meerut,"110,929","46,578","52,456","114,490","100,960","10,797",807,"55,494","18,816","36,678","18,508","16,716","18,508","74,002","4,315","12,374","106,485",293,"5,403","82,813",969,"1,444","4,572",187,"6,513","6,700","28,711",,"170,942","754,158","45,087","100,461","112,125","105,101","99,774","92,420","99,396",,"2,372","10,811",2
Mirzapur,"82,120","23,875","65,463","77,674","145,049","6,875",98,"32,526","32,112",414,"34,468",150,"34,468","66,994",707,,"59,577",292,"57,969","44,058",919,198,"1,204",159,"9,780","9,939","27,011",,"152,010","955,362","12,859","70,282","69,778","66,754","69,687","58,550","66,259",,259,726,
Moradabad,"110,335","59,922","105,589","120,614","91,405","5,549",689,"45,953","25,765","20,188","31,066","28,228","41,810","87,763","1,084",,"35,407",597,"38,953","18,621",726,117,"2,244",20,"5,257","5,277","27,929","2,195","119,812","1,022,901","64,970","122,784","119,485","113,185","117,666","117,601","128,155",,"1,967","2,205",
Muzaffarnagar,"98,459","40,142","95,891","107,835","88,111","1,561",468,"72,427","66,591","5,836","24,950","17,469","28,972","101,399","1,256",251,"85,377","1,101","20,677","49,958",881,"3,099","1,578",140,"5,769","5,909","41,146",100,"113,206","753,570","73,420","119,573","100,748","99,797","118,772","118,333","118,590",,"5,968","5,036",
Pilibhit,"58,632","55,922","39,410","49,676","38,936","8,735",920,"35,981","11,463","24,518","15,855","15,252","15,865","51,846",665,,"55,692",401,"11,310","25,422",981,24,96,31,"4,656","4,687","12,284",,"103,966","762,896","15,927","57,294","54,576","51,797","55,203","54,229","54,229",,"3,790","2,753",
