Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1590922,990377,1463352,1259195,1410373,870764,61534,23538,14719,8819,590295,233997,788977,812515,74963,69391,899315,16458,97178,802867,935,24980,18555,3896,308886,312782,170661,24844,1314532,11537553,946028,1179001,1145014,1109147,1130382,1062108,1180438,7341,305324,291388,3170
Bagalkote,50266,30301,40441,47863,16767,25055,4450,765,505,260,21170,13713,37921,38686,425,3171,39627,448,4142,37780,901,197,93,22,12419,12441,8572,500,51400,490122,33456,51312,46312,44871,48780,44696,43639,153,7488,14715,134
Bangalore Rural,23263,15743,35919,21184,14410,13544,1989,54,43,11,6201,2372,10182,10236,599,1917,10173,74,1046,9562,934,396,126,94,4769,4863,2300,1143,31082,173354,11599,16311,18379,18255,19362,19306,18352,1,7763,21327,2
Bangalore Urban,241224,117355,183117,150101,328185,64151,5755,37,29,8,45073,14465,53508,53545,13288,1496,64985,1583,7358,47367,925,2230,7036,955,37025,37980,27421,3003,248442,1861852,104193,115099,126909,119741,125121,119657,170151,14,19801,11630,18
Belgaum,177771,110867,130777,98697,102621,113444,9085,2271,1914,357,47505,24662,57311,59582,3950,2549,72486,1304,9291,65687,921,2273,1160,513,30454,30967,15400,4278,58840,289620,91674,110746,99618,96846,95209,86296,95445,21,22368,18984,131
Bellary,64522,44698,51426,67024,34535,46424,1525,1933,1215,718,30606,2847,44104,46037,2089,4155,46396,911,3180,45244,931,1061,977,412,18445,18857,8985,889,48532,499880,34830,59506,57332,56901,59652,53644,50157,2,8777,5468,198
Bidar,46737,27398,49601,44029,31870,57531,3069,617,422,195,27167,10290,30653,31270,1943,1018,33691,669,2396,30651,954,709,252,119,6855,6974,2509,708,14039,153061,34745,42054,34902,33300,34629,31873,32756,121,7501,6215,73
Bijapur,65849,32908,47908,66263,38240,26813,1270,3404,2805,599,29425,12361,39753,43157,690,2880,43318,632,3106,41873,929,800,679,90,12929,13019,6708,450,29710,546666,39284,57384,50813,49783,50080,45943,43047,12,13912,26184,238
Chamrajnagar,16414,13239,17005,28427,7484,10936,720,272,139,133,11938,119,13248,13520,1351,453,13331,238,1608,11857,935,439,207,58,5662,5720,1847,53,34890,372246,11698,14690,15144,14628,14749,14458,14528,5,7853,2876,141
Chikkaballapur,29370,20765,32425,28024,43162,18002,1235,255,177,78,15440,7873,16485,16740,3220,807,20255,316,1718,19293,928,460,316,28,6589,6617,4502,269,21172,243792,22833,25481,24900,24167,24846,21990,29181,3667,7578,4637,24
