Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Latur,53431.0,35243.0,35454.0,48249.0,44903.0,,,2898.0,377.0,2521.0,26002.0,992.0,49016.0,51914.0,618.0,531.0,52007.0,327.0,2630.0,,898,1632.0,501.0,41.0,14561.0,14602.0,8064.0,234.0,62732.0,339266.0,44159.0,49585.0,47470.0,45668.0,45103.0,42033.0,38156.0,,140.0,201.0,555.0
Nagpur,106891.0,50556.0,41548.0,73348.0,47869.0,,,888.0,856.0,32.0,42299.0,450.0,48037.0,48925.0,1015.0,260.0,48386.0,760.0,5682.0,,928,1538.0,1433.0,1495.0,17683.0,19178.0,16740.0,,70188.0,438234.0,47400.0,79161.0,81358.0,79313.0,77834.0,77841.0,81182.0,,,,810.0
Nanded,70819.0,49637.0,50948.0,92570.0,69655.0,,,4811.0,2158.0,2653.0,29382.0,13377.0,60479.0,65290.0,863.0,3719.0,63948.0,1547.0,11782.0,46512.0,861,2725.0,1686.0,202.0,19056.0,19258.0,6967.0,,77220.0,473288.0,59531.0,68232.0,67806.0,64679.0,63324.0,57173.0,57173.0,,,,1628.0
Nandurbar,33131.0,20002.0,29747.0,32967.0,36053.0,,,12023.0,880.0,11143.0,15468.0,,19878.0,31901.0,315.0,248.0,31475.0,914.0,3239.0,,849,835.0,339.0,1249.0,7233.0,8482.0,2347.0,,4755.0,509410.0,18172.0,31918.0,32605.0,31272.0,32440.0,29366.0,28770.0,,,,955.0
Nashik,126207.0,71900.0,88419.0,114636.0,103187.0,,,19233.0,5382.0,13851.0,48868.0,,85108.0,104341.0,3286.0,3810.0,107513.0,1658.0,10386.0,,844,4869.0,3607.0,2371.0,25541.0,27912.0,11095.0,4240.0,93589.0,632102.0,73476.0,122795.0,113648.0,106800.0,107135.0,107898.0,100749.0,1.0,,,1129.0
Osmanabad,30451.0,23075.0,20784.0,30762.0,31386.0,19.0,,2656.0,775.0,1881.0,21366.0,5.0,25912.0,28568.0,683.0,633.0,28234.0,338.0,1930.0,16.0,808,1722.0,884.0,28.0,8200.0,8228.0,4353.0,,22163.0,366530.0,20899.0,31623.0,29766.0,28596.0,28399.0,25956.0,25956.0,,,,217.0
Palghar,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Parbhani,35211.0,19751.0,24760.0,53238.0,36614.0,,,4507.0,2565.0,1942.0,12897.0,,27407.0,31914.0,817.0,390.0,31530.0,969.0,4051.0,30211.0,823,1090.0,1100.0,66.0,8039.0,8105.0,7002.0,,8969.0,555219.0,21194.0,39182.0,37259.0,34450.0,32472.0,33554.0,28380.0,,,,733.0
Pune,165831.0,118657.0,100337.0,142589.0,167226.0,,,3685.0,1307.0,2378.0,35687.0,,137114.0,140799.0,6715.0,8785.0,141996.0,2223.0,17413.0,21050.0,844,13449.0,17764.0,495.0,45680.0,46175.0,23608.0,5212.0,189895.0,1803343.0,118055.0,156960.0,156512.0,155831.0,155334.0,151112.0,150150.0,158.0,,,2664.0
Raigarh,45868.0,25705.0,37008.0,40179.0,40709.0,,,5580.0,3205.0,2375.0,8909.0,,32751.0,38331.0,1274.0,4591.0,37808.0,522.0,4336.0,,900,5366.0,3648.0,51.0,8083.0,8134.0,7619.0,,85440.0,483687.0,34869.0,37321.0,39208.0,37967.0,37368.0,37028.0,37028.0,60.0,,,559.0
Ratnagiri,25249.0,16343.0,22641.0,22447.0,15535.0,,,1219.0,324.0,895.0,6335.0,,20687.0,21906.0,401.0,2362.0,21733.0,256.0,3784.0,,926,1406.0,1766.0,175.0,7298.0,7473.0,6462.0,320.0,116196.0,898038.0,18677.0,20993.0,19107.0,19726.0,20434.0,19546.0,19546.0,,,,394.0
Sangli,55219.0,39238.0,47606.0,48078.0,44754.0,3963.0,138.0,292.0,157.0,135.0,13740.0,357.0,51432.0,51724.0,748.0,587.0,50657.0,593.0,3680.0,6228.0,854,2413.0,2020.0,197.0,14262.0,14459.0,15967.0,143.0,81094.0,587213.0,43187.0,52279.0,50393.0,49027.0,49420.0,48019.0,47976.0,422.0,140.0,527.0,941.0
Satara,52136.0,38340.0,43900.0,51458.0,48097.0,,,2137.0,464.0,1673.0,9388.0,,47758.0,49895.0,745.0,8830.0,49567.0,617.0,5445.0,48088.0,883,5450.0,3967.0,933.0,18270.0,19203.0,9890.0,485.0,139669.0,155639.0,38105.0,56845.0,50806.0,49488.0,50280.0,48578.0,48578.0,,,,905.0
Sindhudurg,10790.0,8912.0,10604.0,9975.0,9284.0,,,47.0,14.0,33.0,6018.0,5845.0,9620.0,9667.0,1033.0,1137.0,9578.0,143.0,1980.0,9578.0,918,1691.0,1625.0,66.0,2480.0,2546.0,4923.0,27.0,49753.0,459681.0,8636.0,9545.0,9269.0,9490.0,9336.0,9375.0,9375.0,33.0,,,102.0
Solapur,93474.0,52594.0,69411.0,131005.0,83756.0,29557.0,9016.0,2097.0,814.0,1283.0,23876.0,7778.0,70709.0,72806.0,2037.0,245.0,76834.0,912.0,5108.0,32289.0,834,2675.0,3970.0,25.0,23673.0,23698.0,16752.0,,111872.0,494083.0,53054.0,75899.0,79416.0,74596.0,72515.0,68735.0,68258.0,161.0,,,806.0
Thane,234254.0,128171.0,76514.0,215692.0,179200.0,530.0,530.0,10173.0,2388.0,7785.0,59224.0,8800.0,143004.0,153177.0,979.0,4310.0,161451.0,1152.0,8016.0,3740.0,895,2579.0,11217.0,421.0,27320.0,27741.0,26362.0,,347113.0,1415545.0,173898.0,203956.0,191268.0,189827.0,195202.0,192945.0,166396.0,,,,1666.0
Wardha,23172.0,17201.0,18993.0,21567.0,21016.0,,,299.0,,299.0,15041.0,,23229.0,23528.0,599.0,1324.0,23186.0,343.0,3207.0,,913,1374.0,1077.0,292.0,6146.0,6438.0,4860.0,1381.0,74906.0,678510.0,17509.0,20937.0,20085.0,20367.0,20720.0,20031.0,20031.0,,,,377.0
Washim,22128.0,16217.0,17741.0,21242.0,21142.0,,,1164.0,259.0,905.0,8628.0,5465.0,20881.0,22045.0,111.0,900.0,19668.0,178.0,2780.0,14901.0,857,777.0,425.0,32.0,6164.0,6196.0,3357.0,119.0,13535.0,74552.0,15327.0,20501.0,20127.0,20075.0,20061.0,18753.0,18753.0,,,,322.0
Yavatmal,54536.0,44875.0,42442.0,55701.0,54683.0,,,4987.0,1047.0,3940.0,32197.0,4314.0,42409.0,47396.0,1264.0,1525.0,47404.0,547.0,6783.0,2773.0,940,792.0,836.0,707.0,15752.0,16459.0,7596.0,112.0,28860.0,179424.0,23685.0,48053.0,49277.0,49088.0,48999.0,45847.0,44441.0,,,,934.0
