Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1220084,868902,1132650,1166884,929207,1093303,44442,6056,2328,3728,568356,94534,901006,907062,102618,119664,906613,10545,101887,843860,943,34673,12754,1039,316922,317961,148151,33469,1602273,14298075,866839,1089556,7473,6094,6041,1069980,1069912,4887,396701,425677,7676
Bagalkote,43112,31388,43577,43173,27973,46198,1659,110,89,21,16634,897,44415,44525,588,8830,45193,374,5255,40778,922,350,18,49,10817,10866,6835,47,91500,668230,30410,45423,676,558,533,41356,41466,10,16113,21144,179
Bangalore Rural,16230,12246,16825,13777,15007,15910,229,10,5,5,4622,633,8953,8963,780,2468,8859,112,916,8499,943,1036,226,26,3964,3990,1961,474,27755,288293,8455,9378,16,9,6,14298,14477,1,11563,33090,49
Bangalore Urban,244959,121092,202346,155433,195623,106042,5846,1,0,1,58268,9559,101678,101679,16089,8123,102881,1043,9591,94768,940,3093,3146,246,52425,52671,19644,12035,273069,2635582,113284,122049,1865,1471,1334,123962,131978,9,42779,55342,832
Belgaum,100024,77484,103990,101488,96668,155475,6825,266,205,61,40983,3303,74742,75008,5564,11785,73745,890,11195,67353,939,2564,820,56,27044,27100,14221,3311,62909,390350,81515,105207,752,668,678,96288,90326,218,30867,29385,538
Bellary,62921,54565,63601,70820,42713,68268,4594,571,231,340,33123,5601,42631,43202,4752,5327,43045,895,3305,36892,936,1295,494,40,17550,17590,9708,759,84846,585762,35369,62116,111,69,94,61769,58435,171,8935,5434,622
Bidar,33604,25071,26374,41000,18243,52336,1869,207,98,109,25056,6468,31828,32035,2334,2109,31835,319,2074,31519,911,1006,196,63,7393,7456,1506,285,27974,262006,27994,34693,153,121,102,32513,33856,34,6809,4330,254
Bijapur,55333,35865,54656,76175,43482,42939,1256,163,86,77,23592,3126,47554,47717,882,3013,47566,339,3355,46288,941,948,70,51,12399,12450,7325,311,61254,548541,39694,73920,415,337,374,51938,52769,8,15836,26849,547
Chamrajnagar,14071,11900,14052,14254,6876,11613,150,41,3,38,8229,638,10214,10255,1406,1092,10180,136,1211,9656,944,295,98,1,4632,4633,1845,90,33319,423053,10270,10345,2,3,3,13692,12726,233,4937,5394,40
Chikkaballapur,19323,16150,17412,20540,19064,16191,1593,142,46,96,12072,1579,15432,15574,2814,2026,15576,84,2029,15384,953,703,350,3,6750,6753,3429,135,14472,133004,14529,16171,71,73,91,21090,23323,337,4851,2346,93
Chikmagalur,15383,12196,15275,15010,7738,15529,216,34,5,29,9256,3285,13807,13841,3094,3348,13805,73,1311,13565,960,1273,136,3,4676,4679,2183,575,29660,461052,13399,13722,5,5,2,15231,14407,30,7786,3775,80
Chitradurga,28992,22999,27681,29270,24839,40953,1322,113,34,79,16376,3882,23391,23504,4349,4597,23366,245,3140,23151,955,1062,289,19,9039,9058,5330,345,81852,643171,21821,25175,4,3,13,29184,28666,318,9901,1549,115
Dakshina Kannada,30004,22119,26141,23620,32500,15953,124,13,8,5,8686,39,27312,27325,2983,4224,27210,233,3111,22801,938,1369,514,41,3513,3554,2407,498,39683,545415,26006,28632,6,16,7,30561,29665,42,46626,41839,243
Davanagere,35928,25094,34856,35564,33686,30029,1297,35,23,12,22063,10082,32231,32266,5126,1978,32555,464,6605,30930,974,1476,1372,18,15289,15307,3605,1981,73625,479518,33466,37049,519,423,396,35614,43264,288,12511,5620,102
Dharwad,36856,29364,36810,36480,29367,49897,2149,23,15,8,21685,964,37589,37612,3783,7035,36721,937,6479,33666,943,1732,358,103,9475,9578,7174,809,44706,250084,31384,36851,25,6,4,37640,37344,35,23693,36609,279
Gadag,21970,17172,20488,21511,8506,23890,715,165,143,22,12360,867,17203,17368,1055,2043,17152,235,1222,15097,959,423,28,6,4632,4638,3222,694,36930,287487,12548,17839,14,8,17,20877,20809,216,3182,1318,207
Gulbarga,65862,43170,56624,72993,33547,31871,2799,859,401,458,33404,15367,47832,48691,2213,3343,48483,648,3973,46062,962,948,394,1,15898,15899,4863,1672,25645,205460,51122,70202,871,767,797,61591,58735,57,4266,3402,690
Hassan,24310,19625,26206,24664,15549,24692,409,54,6,48,17721,395,24538,24592,4784,4248,24621,74,2091,24084,935,1284,419,73,7563,7636,4815,893,45297,495025,23738,24315,1,1,18,24284,24045,1,14930,17613,294
Haveri,35841,29743,35121,33155,3765,25434,514,67,38,29,18597,4205,23547,23614,2856,2674,23781,328,3643,22260,945,1146,215,7,7246,7253,2905,326,52228,353339,21548,29174,78,39,45,30692,30517,359,8938,5616,134
Kodagu,8339,6672,8040,7953,8343,10952,137,71,18,53,5720,119,6741,6812,1730,371,6807,47,738,6492,935,473,53,13,2260,2273,1148,78,23776,329027,6415,7100,0,0,0,7311,7310,1,3563,8273,53
Kolar,24094,19461,22592,23943,18772,18578,1260,83,35,48,13562,212,21682,21765,2214,4436,21713,211,2601,20960,951,664,230,19,6884,6903,6978,208,44656,333885,21021,22158,36,18,17,26074,24813,0,8092,3606,167
Koppal,34162,29276,28061,30382,8814,46046,1824,1276,217,1059,22469,1571,23962,25238,2810,484,25148,497,3952,23953,954,722,180,5,10496,10501,2330,66,27705,360161,28734,35396,193,163,119,30291,29848,1448,3349,11775,146
Mandya,24525,18911,20506,27709,20152,26873,252,6,2,4,11274,229,19611,19617,2969,4243,19525,165,2113,16045,922,1598,500,18,8217,8235,6421,370,33785,248084,19483,20609,1,2,2,24502,24484,8,12025,18238,234
Mysore,39670,34311,39773,40842,33431,41114,1669,5,3,2,28297,735,38547,38552,4509,5578,38064,587,3304,37095,952,1733,502,30,15754,15784,5960,1569,80829,512811,38593,42042,0,0,0,42582,45255,5,30232,20624,332
Raichur,50645,35416,41347,50490,41947,27499,1673,724,247,477,26324,4391,35206,35930,2102,2656,35870,642,5096,32154,932,538,334,5,10059,10064,2180,295,10396,174722,35488,53002,218,158,203,47023,45484,78,5066,12240,440
Ramanagar,14390,10716,13464,14436,12524,10547,186,39,39,0,4503,348,9760,9799,1155,1801,9767,38,898,9760,927,374,161,0,3724,3724,2123,155,24281,346194,9766,14124,0,0,0,14291,14287,9,3536,1577,50
Shimoga,27271,22575,25870,29078,25180,31110,1079,41,23,18,19997,5713,28722,28763,7535,3719,28733,218,2270,28248,964,1842,453,11,9370,9381,4788,1220,70994,510431,26826,27964,3,0,0,28020,28085,212,14090,16198,461
Tumkur,38126,29944,35072,41995,28797,43651,546,113,32,81,18366,181,33385,33498,6882,9351,33452,179,3390,29063,946,874,483,34,11359,11393,7233,504,65236,568471,28580,33455,0,0,0,41538,39676,0,10167,5043,252
Udupi,15868,14413,15833,14436,17763,17801,386,18,3,15,4526,425,13791,13809,2108,5042,14479,77,1856,13572,936,1266,97,22,4511,4533,2228,2938,43055,551888,13774,14883,152,153,160,15919,14495,17,20247,13352,51
Uttara Kannada,22311,18372,22497,21794,16001,18131,813,68,40,28,12036,297,23216,23284,2821,3490,23275,186,2907,21671,931,2246,545,20,6235,6255,2077,741,40756,443504,19984,22671,2,1,2,21907,21823,224,11324,10874,125
Yadgir,35960,21592,37560,34899,42337,27781,1051,738,233,505,18555,9423,21486,22224,331,230,23206,269,2256,22094,949,340,73,56,7748,7804,1707,85,30080,263525,21623,33891,1284,1022,1024,27942,27544,518,487,3222,67
