Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
5,1576,503.0,1154,1450,1388,301.0,11.0,608,326,282,375,105.0,411,1019,10.0,4.0,8.0,45,557.0,1040,4.0,1.0,152,122,274,146,0.0,10006,105739,15,1415,1530,1518,1624,1521,1517,0.0,341.0,423.0,6.0,82930,58830,45410,9053,28363,1026
6,9266,3661.0,6591,8792,7423,4489.0,93.0,4034,278,3756,2553,1845.0,3641,7675,154.0,247.0,33.0,800,6823.0,973,16.0,141.0,848,1241,2089,3036,0.0,30641,669384,1857,8862,8237,8104,8288,8030,7644,0.0,672.0,3259.0,6.0,426007,292674,188110,69255,168060,7720
7,465,304.0,262,357,399,135.0,4.0,75,19,56,149,117.0,149,224,0.0,0.0,0.0,10,188.0,982,3.0,5.0,40,81,121,94,0.0,3649,36024,115,346,427,426,371,486,449,0.0,7.0,212.0,4.0,31889,21797,15920,3511,12242,224
8,19372,9623.0,17192,18032,15606,8621.0,192.0,9068,2194,6874,6104,4791.0,6173,15241,629.0,0.0,157.0,1082,11392.0,889,302.0,174.0,103,4380,4483,4781,22.0,65875,1184655,2829,18238,17244,17543,18382,17809,17801,0.0,8888.0,1423.0,84.0,979265,694268,281072,264041,431022,15148
9,29870,10450.0,19509,14758,17040,5309.0,102.0,2460,888,1572,11445,2767.0,11766,14226,1154.0,0.0,232.0,1132,3608.0,895,567.0,792.0,356,2944,3300,2560,0.0,50486,851171,4898,17413,14610,13905,14042,14122,14074,0.0,1146.0,663.0,31.0,794825,589261,310548,105395,376714,14066
10,11579,4024.0,9090,10502,9837,1701.0,56.0,4179,103,4076,3302,3122.0,3442,7621,53.0,23.0,76.0,415,5621.0,886,94.0,499.0,25,2103,2128,981,0.0,18545,400149,821,9730,10067,10078,10292,10021,10013,0.0,275.0,436.0,60.0,514767,343035,190165,77274,246264,7643
11,12239,2904.0,7013,10781,10839,2469.0,106.0,3754,1634,2120,3870,2290.0,5116,8870,263.0,207.0,104.0,274,6591.0,904,111.0,164.0,171,2315,2486,1608,0.0,22012,574374,1053,10907,10535,10358,10955,10559,10525,0.0,1176.0,1035.0,18.0,563410,407341,208916,81709,272066,8845
12,12722,4196.0,10356,10707,8160,7691.0,125.0,3963,535,3428,2854,1922.0,5013,8976,695.0,546.0,82.0,476,5642.0,878,120.0,231.0,35,1555,1590,1244,0.0,26636,369652,2370,9906,9299,8999,9680,9332,9201,0.0,1259.0,1260.0,46.0,505701,380459,131243,81209,292943,9038
1,7300,3299.0,6142,6814,5825,5759.0,12.0,2578,678,1900,2635,2195.0,4064,6642,413.0,224.0,68.0,560,6136.0,836,306.0,64.0,95,1791,1886,2771,17.0,33702,640949,2037,8223,6953,6929,7054,6676,6662,0.0,0.0,5308.0,73.0,377635,281472,104108,96467,175893,6606
2,10296,2819.0,6851,8786,6997,5726.0,56.0,4684,774,3910,2040,1103.0,2542,7226,85.0,269.0,97.0,299,4466.0,908,68.0,3.0,914,637,1551,1149,0.0,24200,429843,1710,9624,10115,9690,9274,8703,8688,0.0,520.0,1050.0,122.0,512944,315081,120486,165294,225578,7171
3,9392,6512.0,7989,8379,5782,5841.0,120.0,915,225,690,5729,4886.0,6390,7305,617.0,202.0,90.0,450,6619.0,856,246.0,56.0,72,1708,1780,2054,1.0,31608,623170,4111,8869,8019,8080,8486,8073,8073,0.0,1351.0,4754.0,26.0,450375,351631,125510,112325,212276,7234
4,37866,17818.0,27904,25695,15656,24663.0,330.0,8184,210,7974,10299,7585.0,14640,22824,2542.0,1613.0,270.0,1470,19894.0,868,1038.0,410.0,95,4071,4166,3160,5.0,44049,797525,8154,28579,25525,26130,27191,25801,25796,20.0,2246.0,9831.0,467.0,1492030,1129432,316117,348523,826002,22592
5,1518,486.0,1051,1282,1440,342.0,4.0,411,96,315,223,91.0,504,915,10.0,38.0,10.0,27,380.0,874,20.0,6.0,139,117,256,126,0.0,9354,114078,100,1329,1470,1473,1404,1383,1321,0.0,34.0,399.0,13.0,83523,59757,46090,9269,28104,905
