Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,6967,1629,2706,2913,3341,155.0,10.0,871,611,260,3026,1406.0,3026,3897,377.0,0.0,54.0,142.0,2863.0,1061,81.0,74,0.0,189.0,189.0,200,0.0,1301,5374,4557.0,5089,4247,4002,3765,3481,3328,0.0,698.0,4067.0,0.0,371175,269207,118334,27271,225187,3843
2,6013,763,1211,1652,1134,227.0,180.0,661,553,108,1636,668.0,1636,2297,224.0,0.0,21.0,90.0,1384.0,946,42.0,485,0.0,347.0,347.0,251,0.0,1252,23028,1888.0,2671,2488,2459,2378,2045,1733,0.0,1192.0,1564.0,0.0,271926,197357,100819,15867,155223,2287
3,3148,471,682,1010,995,52.0,1.0,444,402,42,844,490.0,844,1288,119.0,0.0,27.0,35.0,757.0,886,137.0,180,1.0,306.0,307.0,258,0.0,672,13798,953.0,1482,1524,1593,1570,1255,1246,0.0,412.0,1216.0,9.0,198078,160979,81156,19706,97060,1262
4,2352,603,629,911,1137,129.0,9.0,497,310,187,519,183.0,519,1016,0.0,0.0,5.0,27.0,770.0,775,52.0,50,0.0,0.0,0.0,198,0.0,1405,2140,1404.0,1609,2051,1834,1750,1400,1282,0.0,347.0,155.0,0.0,251280,116617,105299,40052,105047,1012
5,3464,884,1215,1254,2067,18.0,11.0,479,359,120,1369,548.0,1369,1848,17.0,0.0,17.0,6.0,1392.0,925,72.0,54,1.0,198.0,199.0,267,0.0,1489,3626,1600.0,2233,2469,2408,2351,2357,2037,0.0,122.0,1461.0,0.0,161827,103659,62997,16341,82483,1831
6,3101,1297,1299,1473,1522,115.0,12.0,899,697,202,915,741.0,915,1814,32.0,0.0,10.0,88.0,1134.0,850,44.0,37,5.0,46.0,51.0,139,0.0,632,2801,1095.0,2174,2493,2369,2171,2381,1785,0.0,117.0,604.0,0.0,211837,122643,79310,24951,107155,1804
7,3175,1018,1148,1441,1390,188.0,8.0,383,345,38,1326,1148.0,1326,1709,24.0,0.0,3.0,50.0,1391.0,1073,61.0,26,0.0,341.0,341.0,61,0.0,747,8775,1772.0,1839,1769,1914,1884,1388,1279,0.0,275.0,510.0,0.0,165823,126509,61970,13729,89502,1706
8,2204,1088,838,928,1294,11.0,1.0,325,272,53,650,510.0,650,975,48.0,0.0,8.0,7.0,779.0,915,114.0,120,0.0,82.0,82.0,284,0.0,600,3547,660.0,1207,1321,1239,1205,981,701,0.0,89.0,373.0,0.0,142024,101416,49189,26749,64181,967
1,9853,5050,4030,3676,2449,2231.0,82.0,1375,1092,283,3914,2706.0,4335,5710,574.0,164.0,120.0,304.0,4252.0,893,340.0,107,2.0,588.0,590.0,201,184.0,3121,12198,7177.0,7387,7073,6641,5978,5059,5033,0.0,2928.0,14956.0,17.0,378810,278037,122357,28992,227460,5599
2,6388,1073,1255,1464,252,529.0,91.0,337,248,89,2150,454.0,2232,2569,301.0,0.0,7.0,142.0,2450.0,891,52.0,7,0.0,336.0,336.0,308,55.0,2802,21823,3279.0,3971,3604,3500,3305,2783,2262,0.0,1207.0,4595.0,5.0,267988,197488,99407,15417,153163,2566
