Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
15,25375.0,11065.0,19436.0,19738.0,20254.0,1420.0,478.0,5656.0,3280.0,2376.0,3633.0,3566.0,10712.0,16368.0,119.0,437.0,141.0,2305.0,5871.0,806,1079.0,144.0,473.0,2895.0,3368.0,5309.0,6.0,35738.0,1152412.0,11862.0,19409.0,17206.0,16978.0,16464.0,18130.0,18130.0,0.0,477.0,2543.0,247.0,857511,588097,235644,98259,519643,17048.0
16,16662.0,9423.0,15191.0,15143.0,36330.0,7395.0,1348.0,8040.0,4925.0,3115.0,8037.0,4578.0,8360.0,16400.0,128.0,274.0,1036.0,4928.0,12226.0,758,940.0,214.0,283.0,4817.0,5100.0,17969.0,0.0,37792.0,1256942.0,14254.0,18621.0,17515.0,17506.0,17215.0,15274.0,18038.0,0.0,377.0,3507.0,8.0,1023329,697211,288731,63781,667822,15701.0
17,27098.0,13150.0,16641.0,26294.0,12944.0,4490.0,45.0,6656.0,845.0,5811.0,13802.0,4620.0,13802.0,20458.0,564.0,25.0,179.0,2697.0,10516.0,955,207.0,159.0,108.0,5174.0,5282.0,7103.0,0.0,62266.0,1735536.0,15937.0,28281.0,27820.0,27308.0,27730.0,26036.0,26036.0,0.0,468.0,513.0,89.0,1238819,713523,388258,105396,744107,20440.0
18,32321.0,7864.0,27597.0,29104.0,16268.0,3872.0,82.0,12462.0,5009.0,7453.0,5832.0,751.0,16999.0,29461.0,261.0,0.0,241.0,3975.0,22153.0,836,2365.0,243.0,859.0,4273.0,5132.0,10645.0,0.0,59592.0,1826534.0,16539.0,32373.0,28287.0,27010.0,28030.0,32885.0,32785.0,0.0,411.0,1064.0,607.0,1396486,929956,392720,130229,871924,30053.0
19,26686.0,10328.0,10094.0,24347.0,10094.0,3608.0,572.0,9520.0,2043.0,7477.0,3733.0,2797.0,14718.0,24238.0,788.0,434.0,307.0,2231.0,21992.0,874,1200.0,750.0,336.0,1761.0,2097.0,6342.0,0.0,166013.0,1147078.0,22987.0,28140.0,24802.0,24475.0,24630.0,26253.0,26253.0,33.0,816.0,2638.0,213.0,1159627,768855,320366,51826,787013,23231.0
1,29423.0,10766.0,21032.0,27477.0,27953.0,10731.0,1639.0,2521.0,402.0,2119.0,16395.0,8661.0,16395.0,18916.0,745.0,1603.0,208.0,2370.0,15687.0,895,889.0,676.0,216.0,3096.0,3312.0,9061.0,0.0,82565.0,1251164.0,20842.0,25964.0,26257.0,25785.0,26738.0,25728.0,25728.0,54.0,3276.0,2636.0,107.0,1104581,784311,310184,51882,742455,18759.0
2,37072.0,14141.0,34628.0,34594.0,32393.0,6761.0,1071.0,12939.0,10327.0,2612.0,8224.0,8210.0,14561.0,27500.0,274.0,0.0,233.0,1632.0,27311.0,860,601.0,463.0,186.0,6219.0,6405.0,11296.0,0.0,77030.0,1088737.0,9361.0,38762.0,35823.0,35286.0,35449.0,36472.0,35972.0,0.0,22.0,537.0,0.0,1590232,1011931,441504,178666,968853,27452.0
3,52315.0,18396.0,36242.0,35351.0,34216.0,22033.0,3404.0,8122.0,5497.0,2625.0,10979.0,9407.0,26315.0,34437.0,948.0,0.0,304.0,10342.0,29264.0,900,3084.0,2224.0,436.0,5243.0,5679.0,10569.0,1997.0,32431.0,1174246.0,18879.0,45427.0,41971.0,40809.0,40104.0,39194.0,39085.0,0.0,4071.0,6520.0,81.0,1880884,1272150,516325,97322,1264264,37311.0
4,22537.0,6164.0,16605.0,20500.0,20481.0,16790.0,1799.0,6130.0,3105.0,3025.0,8290.0,8031.0,16695.0,22825.0,842.0,940.0,288.0,2117.0,18832.0,859,406.0,238.0,85.0,4721.0,4806.0,6976.0,291.0,45171.0,1031295.0,17886.0,24160.0,22873.0,22092.0,21955.0,21685.0,21685.0,0.0,3349.0,3294.0,304.0,913122,519686,281152,86237,544247,22183.0
5,38376.0,15238.0,28959.0,34979.0,32653.0,17533.0,1452.0,3162.0,1757.0,1405.0,9899.0,8378.0,20918.0,24080.0,463.0,2667.0,187.0,474.0,26292.0,899,4108.0,630.0,484.0,3694.0,4178.0,7282.0,333.0,71108.0,791967.0,26447.0,32003.0,33583.0,33391.0,33868.0,32243.0,32243.0,0.0,3008.0,2794.0,236.0,1542540,1049331,482793,70774,981603,27107.0
6,49483.0,26869.0,40524.0,45164.0,41357.0,15056.0,5131.0,8846.0,2868.0,5978.0,10868.0,9437.0,23201.0,32047.0,407.0,110.0,536.0,13358.0,29501.0,919,1244.0,345.0,259.0,10744.0,11003.0,12574.0,1567.0,63209.0,1420314.0,30178.0,42000.0,38860.0,38045.0,39082.0,39078.0,39078.0,7322.0,897.0,1062.0,441.0,1700453,1053655,528313,157995,1013381,33010.0
7,20295.0,10721.0,14953.0,19442.0,17433.0,6629.0,2360.0,7810.0,3314.0,4496.0,3743.0,3731.0,6618.0,14428.0,47.0,0.0,106.0,2989.0,12757.0,791,395.0,367.0,88.0,2465.0,2553.0,7046.0,0.0,31799.0,892061.0,7327.0,22311.0,21253.0,21202.0,21802.0,20240.0,20210.0,0.0,568.0,1371.0,82.0,942199,646763,252139,85712,600872,14483.0
8,38844.0,26755.0,24584.0,34501.0,45471.0,21948.0,94.0,6326.0,3697.0,2629.0,12541.0,11409.0,19574.0,25900.0,297.0,0.0,240.0,6530.0,25016.0,794,434.0,748.0,422.0,3835.0,4257.0,12755.0,0.0,52008.0,1220200.0,13070.0,34177.0,30888.0,30739.0,31611.0,32583.0,32368.0,0.0,1651.0,623.0,539.0,1303950,785713,383050,139952,779903,27099.0
9,22637.0,8861.0,19015.0,22964.0,20184.0,13302.0,860.0,2790.0,509.0,2281.0,9632.0,13736.0,17780.0,20570.0,238.0,0.0,209.0,6361.0,20489.0,876,1098.0,167.0,657.0,2732.0,3389.0,7174.0,0.0,41973.0,508290.0,15946.0,24693.0,23708.0,24134.0,25117.0,24212.0,24212.0,0.0,396.0,1295.0,181.0,1047350,607242,286009,87007,673100,20489.0
10,35417.0,21402.0,21181.0,35418.0,35262.0,13567.0,1227.0,4694.0,2280.0,2414.0,15095.0,14203.0,32312.0,37006.0,341.0,0.0,469.0,7194.0,22502.0,796,1502.0,327.0,1665.0,2584.0,4249.0,12808.0,0.0,85788.0,1278257.0,28885.0,33575.0,31252.0,31778.0,34722.0,34073.0,33021.0,0.0,2542.0,4413.0,187.0,1455963,923102,399653,103604,952526,37043.0
11,21729.0,7775.0,17089.0,20552.0,15629.0,12468.0,1159.0,2298.0,864.0,1434.0,5365.0,4420.0,17052.0,19350.0,681.0,772.0,189.0,2330.0,14337.0,820,1504.0,50.0,761.0,1851.0,2612.0,8897.0,0.0,40979.0,842546.0,19161.0,19161.0,20890.0,20173.0,20973.0,20667.0,20667.0,34.0,1466.0,1729.0,115.0,935052,613147,278465,52190,603958,19161.0
12,19255.0,6302.0,17308.0,18277.0,25543.0,14858.0,4470.0,4019.0,2826.0,1193.0,9456.0,9363.0,13510.0,17529.0,481.0,469.0,238.0,2492.0,15510.0,760,1052.0,521.0,503.0,3393.0,3896.0,8255.0,0.0,33566.0,945484.0,10498.0,20069.0,19062.0,19052.0,20334.0,19161.0,17697.0,0.0,828.0,1817.0,11.0,899052,596420,210839,130123,556558,17091.0
13,18984.0,12097.0,20558.0,17062.0,19189.0,6006.0,172.0,169.0,33.0,136.0,9582.0,8301.0,11935.0,12104.0,1403.0,963.0,152.0,1104.0,10533.0,884,3345.0,1761.0,373.0,1915.0,2288.0,5666.0,136.0,29616.0,1030496.0,13326.0,15818.0,13981.0,13495.0,14301.0,13222.0,13212.0,0.0,3822.0,1952.0,124.0,541348,381083,175817,28576,336883,11312.0
14,28372.0,20358.0,25211.0,25460.0,22542.0,5733.0,1121.0,9427.0,7566.0,1861.0,6989.0,6751.0,16184.0,25611.0,214.0,0.0,127.0,7144.0,27958.0,847,175.0,147.0,798.0,3135.0,3933.0,6877.0,607.0,42607.0,1036501.0,5749.0,28795.0,26809.0,26546.0,26591.0,25007.0,25007.0,0.0,1007.0,2366.0,4.0,1153562,734783,328367,77005,746190,27958.0
15,22865.0,8317.0,16627.0,18306.0,22993.0,7653.0,365.0,1909.0,1043.0,866.0,6865.0,6349.0,15118.0,17027.0,251.0,617.0,169.0,2288.0,13256.0,795,946.0,159.0,488.0,2823.0,3311.0,6286.0,20.0,38802.0,863875.0,13988.0,18506.0,18342.0,18316.0,18996.0,17616.0,17536.0,0.0,1448.0,2834.0,377.0,871553,603949,240406,94536,533586,17290.0
16,40187.0,13911.0,15912.0,21411.0,21505.0,22411.0,3752.0,8978.0,6107.0,2871.0,13977.0,11139.0,13977.0,22955.0,251.0,393.0,554.0,4550.0,20406.0,836,1160.0,444.0,192.0,4203.0,4395.0,10558.0,0.0,39283.0,951345.0,21567.0,24244.0,25522.0,24751.0,25406.0,25186.0,25186.0,0.0,183.0,2176.0,18.0,1035801,713612,288804,61442,683267,22274.0
17,26411.0,17964.0,23516.0,26203.0,41054.0,9752.0,104.0,5410.0,0.0,5410.0,15431.0,11848.0,15431.0,20841.0,568.0,0.0,187.0,2256.0,18476.0,911,455.0,405.0,86.0,4918.0,5004.0,8826.0,0.0,63873.0,1039057.0,22640.0,28934.0,29187.0,29221.0,29174.0,27994.0,27994.0,0.0,1052.0,577.0,69.0,1257331,735936,391861,104534,760120,20815.0
18,36743.0,11093.0,32287.0,37513.0,28004.0,6492.0,2254.0,8606.0,4154.0,4452.0,9666.0,8275.0,21314.0,29920.0,486.0,0.0,306.0,3784.0,15417.0,775,1642.0,294.0,492.0,3937.0,4429.0,11966.0,0.0,50650.0,1603229.0,20824.0,32850.0,36293.0,35825.0,39484.0,36142.0,36142.0,2.0,938.0,914.0,517.0,1414101,952206,394063,128945,889852,31225.0
19,27881.0,13356.0,18187.0,23696.0,17256.0,6246.0,813.0,6530.0,2180.0,4350.0,5309.0,5309.0,18509.0,25039.0,1864.0,412.0,293.0,1456.0,22652.0,840,1182.0,533.0,532.0,1660.0,2192.0,6852.0,0.0,38944.0,1102522.0,23683.0,27921.0,24809.0,24149.0,25633.0,25730.0,25730.0,0.0,2596.0,2658.0,313.0,1177541,789496,326468,51281,799468,24780.0
1,30365.0,12355.0,19799.0,26684.0,28169.0,15225.0,1654.0,1470.0,194.0,1276.0,10906.0,9373.0,18343.0,19813.0,780.0,1697.0,153.0,3455.0,17138.0,886,1417.0,617.0,133.0,2666.0,2799.0,8972.0,430.0,49200.0,1014056.0,19494.0,19505.0,25798.0,25258.0,25779.0,24747.0,24747.0,27.0,1824.0,661.0,256.0,1116402,800990,314795,52272,749301,20172.0
2,35190.0,14365.0,31886.0,32571.0,27395.0,10211.0,815.0,8378.0,6532.0,1846.0,9834.0,9757.0,16046.0,24424.0,99.0,87.0,227.0,968.0,23623.0,869,583.0,477.0,140.0,6022.0,6162.0,9804.0,0.0,73546.0,617544.0,9847.0,35686.0,33720.0,33248.0,33993.0,34143.0,34143.0,0.0,2069.0,2532.0,0.0,1612187,1040497,443584,177997,989917,24301.0
3,43259.0,16689.0,32058.0,35500.0,49375.0,31529.0,2335.0,7740.0,5179.0,2561.0,12840.0,10568.0,30720.0,38460.0,1210.0,0.0,402.0,8775.0,24384.0,850,4021.0,2651.0,214.0,4272.0,4486.0,10293.0,1428.0,33359.0,772288.0,22280.0,43754.0,38047.0,36695.0,36178.0,39273.0,39264.0,0.0,3054.0,6387.0,79.0,1844965,1272444,505711,90369,1247269,38015.0
