Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
7,6570.0,3351.0,1683.0,1660.0,972.0,326.0,144.0,39.0,36.0,3.0,2052.0,961.0,4096.0,4135.0,495.0,310.0,48.0,219.0,3550.0,976,449.0,284.0,0.0,903.0,903.0,367.0,184.0,1661.0,4593.0,3506.0,4211.0,2831.0,2570.0,2212.0,2364.0,3271.0,0.0,2095.0,2379.0,18.0,183222,127865,52645,16049,114778,3932.0
8,750.0,433.0,266.0,416.0,633.0,321.0,268.0,13.0,13.0,0.0,321.0,170.0,321.0,334.0,7.0,0.0,9.0,20.0,296.0,1056,24.0,24.0,0.0,2.0,2.0,171.0,0.0,1500.0,1919.0,282.0,614.0,749.0,779.0,744.0,633.0,578.0,0.0,4.0,28.0,3.0,51241,27493,25169,4189,21891,329.0
9,2204.0,834.0,594.0,1063.0,892.0,441.0,5.0,179.0,117.0,62.0,525.0,251.0,525.0,704.0,0.0,0.0,15.0,7.0,650.0,952,20.0,18.0,0.0,336.0,336.0,50.0,0.0,1636.0,2318.0,254.0,1651.0,1701.0,1512.0,1450.0,1537.0,1252.0,0.0,331.0,917.0,3.0,113211,49742,44307,5975,62974,689.0
10,703.0,291.0,231.0,316.0,375.0,473.0,14.0,41.0,40.0,1.0,308.0,252.0,308.0,349.0,16.0,0.0,11.0,10.0,267.0,1006,0.0,86.0,0.0,64.0,64.0,60.0,0.0,960.0,3181.0,522.0,732.0,622.0,604.0,583.0,447.0,476.0,0.0,187.0,489.0,1.0,35521,18756,14439,3313,17824,343.0
11,1843.0,411.0,463.0,527.0,1009.0,17.0,4.0,90.0,69.0,21.0,951.0,936.0,951.0,1041.0,34.0,0.0,54.0,37.0,969.0,1008,63.0,3.0,0.0,0.0,0.0,444.0,0.0,823.0,726.0,484.0,1085.0,1140.0,1210.0,1175.0,1083.0,590.0,0.0,102.0,208.0,0.0,86945,48583,26235,9104,52221,1044.0
12,1807.0,920.0,700.0,829.0,1351.0,789.0,7.0,3.0,3.0,0.0,701.0,657.0,701.0,704.0,34.0,0.0,16.0,53.0,683.0,892,3.0,51.0,0.0,34.0,34.0,232.0,0.0,2143.0,5026.0,809.0,1235.0,1206.0,1116.0,958.0,1286.0,1645.0,0.0,27.0,68.0,0.0,84943,49729,35404,8008,41577,685.0
13,2230.0,376.0,805.0,948.0,1379.0,335.0,149.0,6.0,5.0,1.0,1356.0,1275.0,1356.0,1362.0,133.0,0.0,13.0,70.0,1319.0,954,90.0,121.0,0.0,138.0,138.0,286.0,0.0,1296.0,2144.0,506.0,1475.0,1573.0,1567.0,1454.0,1281.0,1047.0,0.0,134.0,462.0,0.0,113145,66281,43669,6170,63327,1489.0
1,4144.0,884.0,1338.0,1997.0,1299.0,607.0,15.0,51.0,38.0,13.0,1137.0,965.0,1137.0,1188.0,0.0,0.0,10.0,88.0,1166.0,973,7.0,7.0,0.0,10.0,10.0,112.0,0.0,2340.0,3465.0,1304.0,2418.0,2685.0,2422.0,2114.0,1918.0,1786.0,0.0,0.0,238.0,0.0,153262,78563,51088,12486,89910,1178.0
2,164.0,120.0,102.0,99.0,418.0,32.0,1.0,7.0,6.0,1.0,78.0,78.0,78.0,85.0,0.0,0.0,0.0,1.0,85.0,891,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1546.0,4313.0,83.0,84.0,107.0,89.0,92.0,107.0,108.0,0.0,0.0,1548.0,0.0,5391,3071,1636,801,2997,87.0
3,1425.0,583.0,502.0,423.0,873.0,104.0,5.0,53.0,27.0,26.0,488.0,488.0,488.0,541.0,0.0,0.0,2.0,80.0,505.0,1074,0.0,209.0,0.0,0.0,0.0,68.0,0.0,2457.0,3460.0,734.0,799.0,1236.0,994.0,960.0,656.0,614.0,0.0,0.0,64.0,2.0,83879,44585,27901,5218,50977,562.0
