Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
6,3167,1242.0,1408,9765,1477.0,995.0,70.0,974,536.0,438.0,1621.0,1416.0,1638,2612,157.0,0.0,47.0,430.0,1453.0,1052,148.0,44.0,0.0,58.0,58.0,992,0.0,4049,18597,1111.0,2436,2139.0,1996.0,2055.0,2061,9419,0.0,546.0,5920,6.0,138488,83274,29765,22296,86005,2546.0
7,13489,5631.0,7662,11237,12868.0,6919.0,381.0,3762,251.0,3511.0,4339.0,2613.0,4368,8130,1099.0,21.0,40.0,127.0,4033.0,883,1095.0,1050.0,236.0,1370.0,1606.0,861,0.0,16956,286757,3579.0,11902,13251.0,13020.0,12599.0,12512,12320,0.0,1829.0,3214,0.0,609454,380124,144639,56004,408250,8079.0
8,30557,11685.0,11470,17480,15472.0,7568.0,1973.0,3185,1854.0,1331.0,9979.0,6485.0,9979,13164,389.0,0.0,260.0,1390.0,7576.0,922,679.0,183.0,56.0,468.0,524.0,2636,0.0,9379,49970,7935.0,17573,19491.0,19373.0,19215.0,20352,20294,0.0,1597.0,27479,2.0,845364,412527,123824,103454,617284,12904.0
9,3465,899.0,1052,1427,839.0,733.0,32.0,116,28.0,88.0,1849.0,1240.0,1849,1965,195.0,0.0,33.0,162.0,1347.0,981,170.0,22.0,2.0,25.0,27.0,619,0.0,938,5331,682.0,2206,1951.0,1940.0,1785.0,2058,681,2.0,1196.0,3156,47.0,131764,90841,54954,18088,58477,1933.0
10,14183,4294.0,11284,12965,14183.0,2919.0,485.0,6098,986.0,5112.0,5864.0,3497.0,5864,11962,1040.0,0.0,246.0,1595.0,7009.0,889,90.0,227.0,1.0,1120.0,1121.0,2982,0.0,11583,126450,3814.0,13123,12387.0,12058.0,12355.0,12867,13227,0.0,3516.0,2792,7.0,465218,248589,74475,90489,296795,11819.0
11,12631,6725.0,7084,9040,6251.0,6091.0,653.0,176,65.0,111.0,3268.0,2313.0,3268,3444,957.0,0.0,29.0,409.0,2424.0,954,727.0,0.0,17.0,422.0,439.0,260,0.0,5125,21946,2765.0,3296,8169.0,8266.0,8359.0,7755,7556,0.0,2396.0,3312,8.0,569038,292689,102626,86731,378316,3415.0
12,18807,7956.0,10449,13130,18154.0,4259.0,832.0,3008,185.0,2823.0,8070.0,5683.0,8294,11302,724.0,0.0,153.0,236.0,8595.0,932,631.0,1983.0,11.0,1621.0,1632.0,1744,0.0,30948,228929,7650.0,15968,15230.0,15040.0,15212.0,14540,14990,0.0,2889.0,32322,0.0,0,0,0,0,0,10107.0
13,69547,38774.0,12459,8394,80441.0,7780.0,1501.0,62,62.0,0.0,24121.0,522.0,24753,24815,6052.0,0.0,719.0,336.0,1404.0,1238,950.0,670.0,10.0,1940.0,1950.0,600,0.0,6507,51270,24060.0,25510,9565.0,9309.0,9534.0,21445,12923,0.0,3395.0,3612,0.0,1233347,737089,330511,74068,828446,2052.0
14,11857,4918.0,6283,9613,11334.0,1291.0,406.0,4410,3409.0,1001.0,4436.0,3640.0,4940,9350,759.0,0.0,668.0,41.0,4776.0,923,801.0,928.0,447.0,1445.0,1892.0,1061,118.0,17769,240456,7233.0,13445,12642.0,11802.0,11979.0,11630,11722,0.0,3527.0,7542,0.0,571454,324401,159874,93846,317337,7891.0
1,29714,18872.0,15902,14436,10545.0,10537.0,3570.0,987,694.0,293.0,14435.0,6154.0,14520,15507,2991.0,0.0,632.0,1530.0,13100.0,954,2090.0,1.0,0.0,492.0,492.0,737,0.0,29907,68285,14667.0,16640,14968.0,15002.0,14826.0,14874,14941,0.0,4028.0,18748,13.0,1078692,545532,176799,212883,689008,14976.0
