Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
19,57091,46162,47082,55795,54822,10373,160.0,5464,3244.0,2220.0,26131,26169,38783,44247,3782,5226.0,481,2334,37325,1027,644.0,30.0,398,22517,22915,15737,0.0,310543,2277132,41224,48409,43487,43693,47848,47336,47308,0.0,40.0,655.0,412,2669167,1435180,922735,349350,1397068,48485
20,87315,69738,74331,82361,86717,29604,3736.0,8321,4548.0,3773.0,41413,34596,62586,70907,6148,11748.0,1315,5148,47470,964,828.0,267.0,1940,27702,29642,23135,0.0,210446,2625076,47834,74227,74589,73791,70214,72277,72277,0.0,3206.0,6906.0,671,4194751,2443521,1444234,383495,2365463,74710
21,49314,31094,41397,45832,38274,34802,4256.0,5273,1891.0,3382.0,22218,13597,35723,40996,2321,3513.0,704,1152,34936,951,775.0,113.0,1125,20153,21278,14281,21.0,128038,1822846,34950,41145,38854,39931,40939,40591,40591,0.0,4021.0,23891.0,608,2325112,1185950,944903,215062,1163340,40362
22,87039,57587,64810,76989,79087,5914,1323.0,570,353.0,217.0,35391,32798,63115,63685,2667,1972.0,742,2166,62805,986,658.0,533.0,3788,18800,22588,11061,0.0,107278,1816063,58374,65292,56436,57235,58817,57886,70168,0.0,6.0,110.0,310,3457565,1961248,1407633,268336,1780742,65027
23,81916,44609,77649,79132,79876,28003,9731.0,7314,6866.0,448.0,41274,26936,64463,71777,3566,1653.0,246,2564,72888,1003,125.0,84.0,801,36168,36969,20541,585.0,214239,3428549,62019,73501,71492,71957,71712,70600,77498,0.0,1570.0,7434.0,212,3909906,2612493,1511833,241621,2156063,73594
1,65722,52198,63862,62691,65106,11960,2598.0,10066,8139.0,1927.0,22793,16738,45074,55140,4530,4457.0,277,6046,33441,1018,268.0,143.0,487,12410,12897,3489,0.0,135343,150852,46068,54972,54243,54223,55026,54671,53966,0.0,45.0,1474.0,661,2714796,1441240,1049937,252159,1412199,54781
2,91280,55789,80779,81230,78041,26001,3091.0,2250,1647.0,603.0,32337,30990,72773,75023,748,7463.0,734,1852,72048,853,508.0,64.0,201,34012,34213,16914,3347.0,211192,2579123,69472,74583,78596,77087,75437,75321,75321,0.0,0.0,2567.0,247,4034780,2250664,1657546,351142,2026004,74383
3,89069,74315,77974,87308,87308,58720,1814.0,2196,677.0,1519.0,42357,40854,72770,74966,2878,588.0,345,3525,66650,964,1089.0,335.0,42,26525,26567,18936,3048.0,245828,2916300,68836,74361,75467,74524,74471,74484,74484,0.0,1230.0,32108.0,380,4129129,2614177,1647879,266068,2214598,74621
4,60360,48083,55887,57059,53591,4037,2792.0,3970,2923.0,1047.0,14527,14203,47850,51820,1515,3226.0,716,1609,41801,940,692.0,86.0,123,22297,22420,13416,0.0,136172,2106551,36126,51747,52120,53283,54690,53696,52433,0.0,2417.0,23555.0,647,0,0,0,0,0,51314
5,97127,58280,77800,87039,78219,26082,1635.0,456,292.0,164.0,35873,24033,84817,85273,3868,18669.0,488,5621,63444,922,803.0,169.0,742,30692,31434,21626,0.0,175511,2021040,77700,81986,81130,79105,82177,78104,108223,0.0,8850.0,68131.0,346,5128432,3237000,1734304,343494,3050525,84772
