Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
13,19979.0,18824.0,3060.0,96.3,99.6,760.0,35.2,0.0,0.0,0.0,8959.0,429.0,16703.0,16703.0,3146.0,5856.0,16765.0,9193.0,921.0,34.1,1.9,4322.0,501.0,87.8,98.6,79.1,2.7,0.0,1.0,1.0,0.0,21.0,29.2,16.2,41.0,356.0,0.0,18004.0,47.0,2.0,1883608,1377479,882942,52619,957348,62.0
14,8866.0,8130.0,2879.0,94.4,99.1,443.0,30.7,0.0,0.0,0.0,2494.0,16.0,8118.0,8118.0,2488.0,1581.0,8155.0,6446.0,911.0,3.0,14.2,950.0,219.0,42.1,67.6,70.7,7.0,0.0,0.0,0.0,0.0,0.0,69.9,58.6,11.0,103.0,0.0,8072.0,100.0,0.0,613059,442562,276830,45567,290940,41.0
15,24911.0,22930.0,7492.0,94.5,92.8,899.0,31.2,0.0,0.0,0.0,6698.0,384.0,18270.0,18270.0,3704.0,4199.0,18220.0,10382.0,928.0,42.4,2.1,8495.0,315.0,34.7,73.3,87.4,1.8,0.0,1.0,7.0,0.0,34.0,41.4,22.2,17.0,1423.0,0.0,23706.0,84.6,0.0,1721762,1253676,716890,107854,905299,141.0
16,21311.0,20354.0,5537.0,93.5,126.2,1594.0,22.8,0.0,0.0,0.0,7304.0,618.0,17079.0,17079.0,4898.0,4243.0,17107.0,11818.0,940.0,0.8,3.9,2442.0,418.0,56.0,82.8,81.7,0.0,0.0,0.0,1.0,0.0,95.0,27.0,27.1,0.0,880.0,0.0,16598.0,36.5,0.0,1463868,1141926,520802,139305,805459,122.0
17,56677.0,54098.0,14426.0,92.3,71.5,1263.0,64.8,0.0,0.0,0.0,23601.0,3875.0,45674.0,45674.0,7448.0,11273.0,45686.0,27513.0,971.0,9.6,1.2,7077.0,960.0,56.2,95.3,80.0,4.0,0.0,0.0,13.0,0.0,18.0,46.1,28.5,103.0,357.0,0.0,46084.0,44.8,0.0,3795320,2697074,1758585,113062,1939049,481.0
18,19390.0,19197.0,5143.0,98.4,56.1,2979.0,78.3,0.0,0.0,0.0,5380.0,47.0,16876.0,16876.0,5127.0,3071.0,16877.0,16015.0,973.0,30.3,1.9,9981.0,424.0,60.8,92.7,86.9,1.8,0.0,0.0,14.0,0.0,85.0,33.0,27.9,12.0,3311.0,0.0,13648.0,31.7,2.0,1463092,1123608,496214,203524,769549,91.0
19,30927.0,30057.0,1908.0,75.4,74.8,2080.0,80.0,0.0,0.0,0.0,15069.0,0.0,39408.0,39408.0,9496.0,11286.0,39622.0,21246.0,939.0,3.5,5.1,2993.0,1232.0,62.1,83.8,84.6,3.1,0.0,0.0,17.0,0.0,301.0,50.7,39.8,35.0,1799.0,0.0,23336.0,38.3,0.0,2527453,2011199,889653,135282,1504067,172.0
20,22396.0,14039.0,2939.0,68.9,48.0,1661.0,101.0,0.0,0.0,0.0,2676.0,0.0,15946.0,15946.0,5562.0,1783.0,16101.0,10441.0,953.0,0.0,0.5,2790.0,533.0,63.9,92.5,83.8,3.3,0.0,0.0,3.0,0.0,228.0,45.7,18.8,10.0,494.0,0.0,13335.0,88.8,0.0,1347020,997541,567949,71818,707945,70.0
21,7336.0,6980.0,816.0,84.2,117.2,142.0,35.3,0.0,0.0,0.0,1613.0,0.0,5053.0,5053.0,1152.0,572.0,5058.0,4130.0,983.0,1.5,1.3,3748.0,56.0,59.8,100.0,64.4,6.2,0.0,0.0,3.0,0.0,153.0,51.6,43.2,26.0,607.0,0.0,5747.0,31.2,9.0,719798,587493,324361,29762,366706,21.0
22,33645.0,32700.0,5860.0,84.9,104.2,558.0,34.4,0.0,0.0,0.0,5929.0,600.0,21168.0,21168.0,4529.0,2916.0,21121.0,18111.0,973.0,0.5,2.3,3459.0,556.0,50.5,91.2,76.7,2.2,0.0,0.0,22.0,0.0,7.0,48.2,25.7,21.0,501.0,0.0,30276.0,27.6,0.0,4470241,3555405,1570152,378713,2533753,173.0
23,17604.0,16662.0,66.0,90.8,101.0,489.0,15.3,0.0,0.0,0.0,5310.0,0.0,14518.0,14518.0,4898.0,3391.0,14548.0,6614.0,946.0,3.0,1.0,3607.0,305.0,45.0,83.0,90.3,0.3,0.0,0.0,2.0,0.0,0.0,24.3,28.7,93.0,844.0,0.0,14195.0,43.0,0.0,1324808,1056224,428504,144477,752952,60.0
24,39670.0,37199.0,8832.0,90.8,86.2,1717.0,37.5,11.0,3.0,78.6,15902.0,439.0,35278.0,35292.0,6696.0,8946.0,35726.0,29822.0,959.0,43.3,1.7,11681.0,1552.0,59.2,86.5,74.7,5.3,0.0,0.0,16.0,0.0,271.0,53.5,29.0,121.0,924.0,0.0,28930.0,43.7,1.0,2922683,2295562,1187150,128691,1609326,220.0
25,42532.0,40107.0,8304.0,89.5,88.6,895.0,24.4,0.0,0.0,0.0,23944.0,0.0,41135.0,41135.0,7605.0,13801.0,41234.0,19639.0,960.0,16.7,2.4,29482.0,532.0,68.0,97.9,82.5,1.1,0.0,0.0,21.0,0.0,709.0,51.8,35.6,9.0,590.0,0.0,34700.0,70.5,0.0,3310804,2590367,1371354,167921,1772326,466.0
26,36712.0,35272.0,12744.0,95.8,77.1,1298.0,30.0,4.0,8.0,33.3,3163.0,464.0,22484.0,22496.0,3783.0,2200.0,22434.0,16485.0,914.0,7.1,1.7,28637.0,1225.0,46.2,91.8,74.9,4.4,0.0,3.0,24.0,0.0,0.0,59.1,29.5,149.0,545.0,0.0,31902.0,24.9,2.0,2648907,1863570,1065263,290285,1294605,234.0
27,21552.0,20039.0,715.0,89.6,55.9,897.0,41.7,0.0,0.0,0.0,8781.0,0.0,21057.0,21057.0,6115.0,4855.0,21116.0,15488.0,961.0,26.4,7.0,8112.0,585.0,77.7,91.6,80.9,3.3,0.0,1.0,20.0,0.0,573.0,46.9,36.2,13.0,265.0,0.0,17634.0,59.5,7.0,1866439,1500399,702565,90908,1073492,95.0
28,57951.0,52854.0,16767.0,86.7,89.6,1013.0,41.8,3.0,8.0,27.3,26988.0,859.0,61909.0,61920.0,10565.0,9141.0,61473.0,42748.0,950.0,69.4,1.9,56925.0,1682.0,52.9,100.0,84.8,2.4,0.0,0.0,77.0,0.0,467.0,62.8,38.0,281.0,4946.0,0.0,46577.0,44.4,3.0,4240333,3184771,1486814,384035,2374080,449.0
29,52792.0,49614.0,18745.0,88.5,79.4,1911.0,20.8,2.0,2.0,50.0,9070.0,419.0,37729.0,37733.0,7905.0,4494.0,37373.0,25377.0,931.0,2.0,1.1,7254.0,1240.0,33.3,95.9,59.0,3.9,0.0,0.0,11.0,0.0,0.0,27.3,16.3,15.0,6060.0,0.0,46962.0,53.9,1.0,3797410,2605956,1349865,537440,1917825,532.0
30,24916.0,24043.0,1955.0,91.6,86.8,2618.0,77.4,0.0,0.0,0.0,9138.0,0.0,24075.0,24075.0,7751.0,5420.0,24017.0,16879.0,925.0,0.7,2.0,9470.0,598.0,62.8,90.0,84.2,0.8,0.0,0.0,13.0,0.0,434.0,45.7,34.8,8.0,1664.0,0.0,21185.0,43.7,0.0,2066737,1584325,886568,107843,1073862,192.0
