Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
3,42512.0,32589.0,35026.0,37131.0,42433.0,45172.0,246.0,44.0,18.0,26.0,14725.0,11374.0,41770.0,41814.0,768.0,4156.0,593.0,3329.0,39292.0,924.0,1172.0,174.0,37.0,10236.0,10273.0,15503.0,1116.0,33871.0,514959.0,30171.0,35495.0,0.0,0.0,0.0,35424.0,35134.0,4.0,8685.0,2594.0,397.0,2195280,1722823,721296,150107,1326088,41071.0
5,27968.0,23776.0,23608.0,26707.0,26771.0,22095.0,552.0,49.0,32.0,17.0,10203.0,420.0,24442.0,24491.0,278.0,340.0,339.0,2543.0,22480.0,921.0,1755.0,33.0,13.0,11543.0,11556.0,15709.0,6305.0,36428.0,273466.0,22858.0,23826.0,6.0,8.0,5.0,23330.0,23062.0,1.0,1956.0,3371.0,367.0,1372006,1085963,532887,79408,760431,24256.0
5,21733.0,18293.0,20700.0,20253.0,21972.0,14365.0,639.0,45.0,42.0,3.0,8211.0,1955.0,17678.0,17723.0,704.0,2606.0,150.0,2708.0,15301.0,939.0,513.0,327.0,10.0,5060.0,5070.0,7650.0,281.0,24914.0,120809.0,22277.0,22425.0,65.0,60.0,64.0,18924.0,18812.0,0.0,4877.0,7809.0,55.0,1372006,1085963,532887,79408,760431,17784.0
6,83894.0,63209.0,65037.0,81431.0,77052.0,44289.0,1408.0,806.0,566.0,240.0,23460.0,11364.0,80038.0,80844.0,307.0,2122.0,918.0,4946.0,78381.0,930.0,1377.0,361.0,3.0,32235.0,32238.0,41741.0,7122.0,72687.0,686454.0,29749.0,73123.0,22.0,21.0,7.0,68661.0,68225.0,5694.0,1600.0,6918.0,1558.0,3407566,2079560,1095338,227167,2095359,80484.0
7,32900.0,25774.0,29308.0,29885.0,36152.0,21814.0,657.0,58.0,24.0,34.0,12515.0,10997.0,27908.0,27966.0,863.0,1404.0,401.0,3229.0,26483.0,928.0,715.0,202.0,0.0,6001.0,6001.0,10756.0,150.0,35623.0,410381.0,24900.0,31058.0,92.0,60.0,42.0,28166.0,28221.0,1436.0,3640.0,3187.0,179.0,1629643,1233281,551228,100360,978686,27840.0
8,63158.0,47018.0,45573.0,48344.0,61627.0,18937.0,489.0,804.0,329.0,475.0,18200.0,9360.0,47712.0,48516.0,1995.0,6540.0,581.0,5040.0,38075.0,902.0,1232.0,8387.0,93.0,8947.0,9040.0,15298.0,2615.0,65066.0,687997.0,35441.0,50676.0,2150.0,1767.0,1825.0,44978.0,45892.0,1266.0,11921.0,29700.0,50.0,3063188,2145910,1091703,156573,1819092,53014.0
10,21280.0,12879.0,13117.0,15438.0,16992.0,12046.0,181.0,264.0,180.0,84.0,5956.0,5001.0,16921.0,17185.0,122.0,39.0,76.0,1230.0,16553.0,902.0,530.0,248.0,1.0,4682.0,4683.0,5923.0,8.0,19085.0,238005.0,7955.0,13510.0,356.0,213.0,194.0,13138.0,12927.0,37.0,2767.0,4537.0,14.0,2362325,1249026,577980,510070,1280255,17125.0
10,71400.0,44821.0,49068.0,68587.0,64408.0,29173.0,4108.0,754.0,138.0,616.0,41016.0,27519.0,63871.0,64625.0,612.0,75.0,814.0,4846.0,62491.0,921.0,1007.0,360.0,57.0,15477.0,15534.0,17884.0,2382.0,102148.0,439658.0,64350.0,64099.0,2164.0,1740.0,1683.0,61302.0,56155.0,0.0,2821.0,9183.0,773.0,2362325,1249026,577980,510070,1280255,64558.0
13,25665.0,18086.0,20409.0,22327.0,25750.0,19457.0,677.0,1239.0,144.0,1095.0,12521.0,7634.0,20673.0,21912.0,455.0,0.0,518.0,3063.0,16142.0,896.0,546.0,20.0,0.0,5411.0,5411.0,5052.0,0.0,13684.0,46570.0,20813.0,24303.0,570.0,618.0,563.0,18608.0,17860.0,113.0,901.0,6542.0,120.0,0,0,0,0,0,22228.0
13,20767.0,14103.0,14217.0,16813.0,18260.0,9939.0,93.0,418.0,239.0,179.0,8631.0,7364.0,19260.0,19678.0,175.0,705.0,176.0,1832.0,19288.0,936.0,442.0,2.0,0.0,3657.0,3657.0,8751.0,637.0,24315.0,311816.0,18373.0,18520.0,0.0,0.0,0.0,18432.0,18153.0,0.0,2.0,691.0,157.0,0,0,0,0,0,19712.0
13,12343.0,11002.0,11283.0,11629.0,13257.0,19640.0,874.0,153.0,65.0,88.0,6067.0,1040.0,10234.0,10387.0,477.0,555.0,191.0,2380.0,9961.0,917.0,574.0,101.0,419.0,3522.0,3941.0,3716.0,0.0,37110.0,170561.0,8178.0,12084.0,0.0,0.0,0.0,10892.0,10891.0,102.0,1513.0,5608.0,170.0,0,0,0,0,0,10263.0
14,38929.0,32495.0,33495.0,37377.0,35132.0,21661.0,409.0,2.0,2.0,0.0,11317.0,5040.0,32097.0,32099.0,2108.0,3217.0,334.0,2735.0,21739.0,883.0,775.0,472.0,67.0,14497.0,14564.0,11050.0,11718.0,83467.0,1426492.0,35839.0,39217.0,958.0,782.0,715.0,32574.0,31799.0,14.0,8847.0,12528.0,63.0,1415355,1097749,445910,81515,889509,32036.0
16,26357.0,22923.0,23861.0,25005.0,20828.0,7070.0,181.0,1022.0,449.0,573.0,11667.0,7872.0,22806.0,23828.0,771.0,344.0,322.0,1591.0,20432.0,923.0,315.0,306.0,0.0,3766.0,3766.0,12669.0,0.0,54084.0,619256.0,24884.0,25257.0,143.0,96.0,99.0,22110.0,21907.0,46.0,1020.0,4314.0,208.0,623701,426970,201412,109200,313308,23879.0
16,11779.0,10012.0,9741.0,11425.0,14804.0,19702.0,208.0,1105.0,217.0,888.0,6850.0,2011.0,7826.0,8931.0,238.0,0.0,216.0,2390.0,8597.0,845.0,223.0,15.0,0.0,3164.0,3164.0,3012.0,0.0,10708.0,100743.0,8280.0,9494.0,8.0,2.0,6.0,9322.0,9153.0,1226.0,735.0,2572.0,63.0,623701,426970,201412,109200,313308,8802.0
18,26918.0,22760.0,22955.0,24971.0,26525.0,14238.0,10.0,664.0,493.0,171.0,12519.0,7311.0,22002.0,22666.0,2189.0,954.0,446.0,2493.0,16287.0,906.0,1012.0,636.0,10.0,4271.0,4281.0,19008.0,54.0,78234.0,1031174.0,32146.0,32211.0,0.0,0.0,0.0,28046.0,26938.0,1.0,8607.0,24068.0,204.0,2271834,1545642,764245,133152,1374557,24933.0
18,24957.0,19499.0,20771.0,23783.0,22963.0,7418.0,147.0,208.0,142.0,66.0,6528.0,4009.0,21673.0,21881.0,43.0,66.0,263.0,1311.0,19943.0,919.0,517.0,52.0,0.0,7392.0,7392.0,7536.0,2903.0,28761.0,102458.0,18368.0,22338.0,2791.0,2803.0,2872.0,21504.0,20540.0,537.0,2708.0,4370.0,79.0,2271834,1545642,764245,133152,1374557,22817.0
19,33836.0,22543.0,23352.0,22704.0,21920.0,19039.0,158.0,128.0,40.0,88.0,14280.0,9855.0,24807.0,24935.0,1601.0,1391.0,425.0,1701.0,20104.0,908.0,573.0,124.0,41.0,3346.0,3387.0,15374.0,825.0,71334.0,687288.0,29157.0,29515.0,3228.0,2960.0,2790.0,22217.0,22642.0,197.0,4315.0,4286.0,204.0,2870763,2051757,1014059,168858,1693785,25968.0
20,59611.0,39209.0,48420.0,50430.0,65387.0,30654.0,699.0,380.0,67.0,313.0,18308.0,9870.0,53682.0,54062.0,565.0,1513.0,678.0,3622.0,35846.0,863.0,602.0,53.0,1.0,8373.0,8374.0,11644.0,1757.0,64594.0,265081.0,45639.0,51172.0,1190.0,1229.0,1291.0,45246.0,42535.0,441.0,5670.0,13509.0,156.0,2339252,1502336,781136,82929,1482365,55360.0
21,54524.0,46351.0,51263.0,49575.0,49960.0,30132.0,308.0,99.0,67.0,32.0,13143.0,8540.0,44629.0,44728.0,613.0,195.0,591.0,3694.0,43809.0,974.0,1204.0,383.0,244.0,19244.0,19488.0,29568.0,6193.0,45536.0,351356.0,34855.0,49415.0,1084.0,919.0,1076.0,45821.0,46074.0,1.0,2936.0,4631.0,68.0,2420392,1863807,733535,211081,1480867,44957.0
22,42626.0,38183.0,39041.0,39427.0,38134.0,30446.0,939.0,19.0,5.0,14.0,12688.0,6599.0,35093.0,35112.0,1067.0,3730.0,690.0,4817.0,31967.0,919.0,623.0,164.0,29.0,17848.0,17877.0,27467.0,12850.0,169391.0,1220959.0,34904.0,37354.0,15.0,16.0,19.0,36730.0,35729.0,5.0,6046.0,16495.0,356.0,2119733,1650591,712716,97849,1320615,34562.0
23,42530.0,31698.0,31792.0,37607.0,42631.0,10704.0,378.0,269.0,85.0,184.0,11748.0,8256.0,34323.0,34592.0,266.0,424.0,666.0,2737.0,36392.0,875.0,1619.0,84.0,1.0,4728.0,4729.0,6899.0,0.0,38556.0,135942.0,24681.0,35462.0,2603.0,2421.0,2490.0,33758.0,33058.0,264.0,3010.0,2625.0,197.0,2554822,1650502,714513,435463,1406463,37591.0
24,30761.0,27011.0,29318.0,29177.0,34585.0,29994.0,713.0,114.0,57.0,57.0,10681.0,8363.0,27917.0,28031.0,1008.0,895.0,324.0,1355.0,27188.0,945.0,198.0,92.0,4.0,8307.0,8311.0,12665.0,10179.0,51406.0,246234.0,23291.0,28906.0,4.0,4.0,7.0,27080.0,26396.0,17.0,4190.0,9233.0,273.0,1414123,958261,468328,98775,852642,28019.0
25,10823.0,9165.0,10136.0,10037.0,10392.0,6275.0,154.0,26.0,15.0,11.0,4074.0,3013.0,10682.0,10708.0,566.0,1404.0,41.0,631.0,8099.0,909.0,273.0,49.0,0.0,1599.0,1599.0,3235.0,22.0,19011.0,190493.0,10884.0,11000.0,5223.0,5153.0,5049.0,11880.0,11620.0,49.0,3614.0,3734.0,73.0,606105,429762,204925,33642,368217,10903.0
