Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
4,12092.0,6427.0,4314.0,6626.0,9544.0,328.0,120.0,417.0,277.0,140.0,2148.0,1788.0,2324.0,2741.0,139.0,16.0,0.0,206.0,2296.0,916,85.0,1154.0,0.0,0.0,0.0,851.0,12.0,7049.0,31126.0,1939.0,8453.0,8479.0,8382.0,8201.0,7534.0,7391.0,0.0,220.0,999.0,2.0,443149,309585,136595,49666,256435,2750.0
5,50599.0,15122.0,23092.0,8294.0,2532.0,821.0,59.0,459.0,293.0,166.0,10138.0,8576.0,14259.0,14718.0,2808.0,2213.0,159.0,1204.0,11656.0,951,697.0,1529.0,67.0,250.0,317.0,1008.0,10.0,5574.0,53561.0,662.0,11147.0,10361.0,9946.0,9621.0,8623.0,8338.0,0.0,5349.0,2253.0,0.0,502353,374801,157866,47699,296520,14999.0
6,10326.0,3212.0,2766.0,5977.0,3678.0,459.0,26.0,2563.0,1280.0,1283.0,1225.0,1090.0,1232.0,3795.0,0.0,0.0,22.0,22.0,3105.0,992,43.0,252.0,0.0,0.0,0.0,564.0,0.0,3636.0,21776.0,1294.0,7081.0,7670.0,7442.0,7125.0,6591.0,6542.0,1.0,34.0,681.0,8.0,0,0,0,0,0,3682.0
7,2767.0,1492.0,1065.0,1376.0,1186.0,159.0,6.0,562.0,248.0,314.0,467.0,435.0,467.0,1029.0,0.0,0.0,3.0,20.0,972.0,964,18.0,22.0,0.0,0.0,0.0,450.0,0.0,159.0,23346.0,720.0,2629.0,2642.0,2214.0,1930.0,1868.0,1624.0,0.0,0.0,155.0,0.0,134266,78425,53189,12849,67999,1027.0
8,9996.0,4736.0,3080.0,3874.0,5401.0,255.0,2.0,643.0,516.0,127.0,796.0,734.0,796.0,1439.0,0.0,0.0,9.0,42.0,1386.0,962,39.0,970.0,48.0,26.0,74.0,756.0,0.0,3252.0,21129.0,586.0,6839.0,7010.0,6400.0,5828.0,5307.0,5285.0,1.0,0.0,3534.0,3.0,409866,254277,128718,62664,218204,1432.0
9,3212.0,1139.0,924.0,1407.0,672.0,307.0,8.0,663.0,244.0,419.0,263.0,303.0,784.0,1447.0,0.0,87.0,38.0,38.0,665.0,968,15.0,0.0,1.0,24.0,25.0,59.0,38.0,297.0,2480.0,349.0,2644.0,2673.0,2509.0,2334.0,1785.0,1758.0,0.0,149.0,1306.0,12.0,174404,119990,64130,19023,91247,1411.0
1,5257.0,4036.0,2870.0,3160.0,1472.0,1010.0,30.0,344.0,322.0,22.0,873.0,873.0,873.0,1217.0,0.0,0.0,5.0,24.0,1198.0,868,669.0,642.0,0.0,36.0,36.0,560.0,0.0,5459.0,29896.0,815.0,4270.0,4200.0,3818.0,3489.0,3398.0,3406.0,0.0,0.0,0.0,2.0,237399,156333,76423,33514,127462,1216.0
2,3941.0,1558.0,1391.0,1421.0,777.0,1.0,0.0,634.0,541.0,93.0,372.0,278.0,372.0,1006.0,0.0,0.0,3.0,1.0,915.0,846,3.0,2.0,0.0,0.0,0.0,99.0,0.0,1055.0,3368.0,120.0,1847.0,1914.0,1852.0,1940.0,2210.0,1869.0,0.0,0.0,144.0,0.0,144181,90302,53753,22485,67944,1017.0
3,9811.0,4675.0,4149.0,2423.0,2650.0,429.0,10.0,807.0,513.0,294.0,1978.0,1670.0,3730.0,4537.0,181.0,466.0,55.0,248.0,3738.0,930,866.0,22.0,31.0,1291.0,1322.0,327.0,149.0,1487.0,6471.0,123.0,3839.0,4742.0,4377.0,3789.0,3898.0,3675.0,0.0,1570.0,7335.0,5.0,274142,195935,89779,32876,151487,4514.0
4,12494.0,6994.0,4886.0,5952.0,2681.0,584.0,0.0,205.0,136.0,69.0,2609.0,2459.0,2890.0,3095.0,146.0,51.0,3.0,91.0,2946.0,1065,549.0,552.0,0.0,0.0,0.0,875.0,0.0,5072.0,21854.0,3373.0,10301.0,10054.0,9625.0,9061.0,9028.0,8577.0,0.0,81.0,922.0,2.0,456113,324664,145343,49504,261265,3094.0
5,29747.0,18043.0,30891.0,6686.0,1595.0,1421.0,55.0,334.0,121.0,213.0,11476.0,8166.0,16222.0,16556.0,3126.0,2818.0,164.0,957.0,10780.0,922,3065.0,1899.0,74.0,310.0,384.0,1131.0,3.0,2651.0,33895.0,913.0,10967.0,10106.0,9637.0,9328.0,9609.0,8898.0,0.0,6627.0,3111.0,2.0,517991,392626,166008,47378,304604,16583.0
6,11172.0,4391.0,3950.0,6785.0,2982.0,338.0,13.0,3566.0,2065.0,1501.0,1171.0,973.0,1210.0,4776.0,0.0,0.0,14.0,22.0,4439.0,955,311.0,288.0,0.0,1.0,1.0,658.0,0.0,2331.0,11145.0,845.0,7479.0,7547.0,7524.0,7342.0,7048.0,7026.0,0.0,0.0,919.0,7.0,0,0,0,0,0,4790.0
