Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
6,18452.0,7165.0,9582.0,14537.0,11603.0,4160.0,567.0,10248.0,545.0,9703.0,4128.0,2908.0,5131.0,15379.0,147.0,257.0,317.0,926.0,13271.0,942,114.0,87.0,0.0,338.0,338.0,1398.0,3.0,28620.0,101889.0,4281.0,16618.0,16368.0,16258.0,15471.0,14690.0,14136.0,0.0,647.0,740.0,529.0,616108,322736,183000,62208,370668,15091.0
7,10275.0,2314.0,3930.0,6519.0,2465.0,171.0,18.0,5442.0,930.0,4512.0,1400.0,958.0,1714.0,7156.0,13.0,9.0,119.0,128.0,2751.0,950,131.0,7.0,0.0,5.0,5.0,4.0,0.0,545.0,11830.0,1609.0,10387.0,10686.0,9783.0,8884.0,7694.0,7148.0,0.0,0.0,10.0,61.0,364124,210967,115034,40762,208276,7041.0
1,9675.0,3710.0,4047.0,6560.0,6195.0,918.0,101.0,3536.0,326.0,3210.0,1436.0,960.0,1436.0,4972.0,1.0,0.0,55.0,193.0,3216.0,908,45.0,7.0,0.0,53.0,53.0,247.0,6.0,8227.0,17956.0,2889.0,8977.0,9246.0,8780.0,7810.0,7255.0,5891.0,0.0,0.0,743.0,41.0,310439,183444,83408,41143,185705,4972.0
2,42243.0,8326.0,16686.0,12120.0,15676.0,4749.0,563.0,6663.0,344.0,6319.0,10743.0,1572.0,15726.0,22389.0,1806.0,1183.0,688.0,3111.0,15464.0,915,1237.0,344.0,7.0,1258.0,1265.0,855.0,13.0,12068.0,82195.0,13738.0,20318.0,16662.0,15554.0,14232.0,11880.0,11525.0,13.0,7256.0,3739.0,946.0,807718,559212,281623,37226,488735,22211.0
3,16657.0,3738.0,5516.0,9476.0,7232.0,4676.0,818.0,7162.0,822.0,6340.0,3089.0,2675.0,4469.0,11631.0,67.0,310.0,324.0,849.0,9630.0,951,653.0,44.0,7.0,290.0,297.0,437.0,38.0,9036.0,19878.0,3811.0,13017.0,13111.0,11888.0,10777.0,10574.0,9895.0,0.0,335.0,1501.0,318.0,384275,179366,109018,42138,232989,11388.0
4,8449.0,2485.0,4480.0,5379.0,4830.0,1392.0,184.0,4278.0,515.0,3763.0,1040.0,828.0,1040.0,5318.0,0.0,0.0,55.0,148.0,4034.0,959,57.0,6.0,0.0,27.0,27.0,152.0,0.0,6097.0,26106.0,1598.0,6556.0,7119.0,6582.0,6203.0,5526.0,5167.0,0.0,49.0,169.0,64.0,251325,148906,88689,15837,146570,5277.0
5,3837.0,1262.0,1581.0,2504.0,2539.0,276.0,41.0,1602.0,347.0,1255.0,468.0,383.0,468.0,2070.0,0.0,0.0,21.0,74.0,1582.0,1000,10.0,0.0,0.0,0.0,0.0,77.0,0.0,2368.0,6623.0,1181.0,3568.0,3764.0,3448.0,2951.0,2900.0,2197.0,0.0,0.0,108.0,59.0,137531,77071,37626,14845,84751,2070.0
6,19491.0,7531.0,10597.0,14927.0,12991.0,8089.0,600.0,9849.0,577.0,9272.0,5451.0,3196.0,6452.0,16301.0,144.0,329.0,343.0,919.0,14478.0,937,216.0,76.0,0.0,388.0,388.0,2050.0,20.0,32960.0,129038.0,4770.0,16927.0,17015.0,16679.0,15670.0,15579.0,14266.0,0.0,990.0,977.0,452.0,629553,340244,185666,64714,379038,15974.0
7,10452.0,2895.0,3972.0,7137.0,3301.0,575.0,9.0,5829.0,643.0,5186.0,1815.0,1430.0,1973.0,7802.0,6.0,0.0,195.0,168.0,3472.0,994,129.0,0.0,0.0,0.0,0.0,22.0,0.0,2472.0,7276.0,2042.0,10459.0,11317.0,10361.0,9629.0,9477.0,8950.0,0.0,0.0,0.0,194.0,373667,220602,117394,42129,214114,8291.0
1,10624.0,3972.0,4981.0,7354.0,6170.0,2142.0,64.0,4191.0,1119.0,3072.0,1620.0,1393.0,1620.0,5811.0,4.0,0.0,151.0,216.0,4226.0,913,60.0,44.0,1.0,108.0,109.0,278.0,0.0,9418.0,10350.0,3096.0,7634.0,7915.0,7586.0,6390.0,6144.0,5879.0,1.0,4.0,690.0,21.0,317917,192147,83936,42136,191844,5667.0
