Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
15,42616,29434,33419,37947.0,33592.0,34035.0,2882.0,632,48,584.0,23689,1444.0,35871,36503,799.0,1370.0,583,5535,33031.0,934.0,584.0,30.0,251,9569.0,9820.0,19383.0,199.0,105286,1320176,21546.0,41499,0,0.0,0.0,40213,39972,0.0,9477.0,10834.0,392,2046023,1298913,739714,264630,1051287,36321
16,43414,35721,37505,42063.0,43229.0,33635.0,1120.0,487,283,204.0,19266,1618.0,41504,41991,1071.0,2625.0,774,6079,40717.0,971.0,428.0,232.0,219,7216.0,7435.0,10275.0,594.0,77188,627928,29179.0,41577,0,0.0,0.0,39577,39385,6.0,1014.0,3224.0,265,1889134,1148464,714726,221543,960097,41519
17,242287,131570,155580,137363.0,161562.0,126720.0,5570.0,368,237,131.0,81172,11850.0,141831,142199,19229.0,15408.0,2423,32315,116208.0,904.0,5007.0,2011.0,736,26452.0,27188.0,25013.0,4354.0,311184,3680032,116579.0,143941,9483,9274.0,9200.0,125733,123707,6.0,98607.0,239748.0,2497,7272256,4949192,2288102,469448,4518471,140487
18,16551,9142,11952,14734.0,17378.0,5638.0,559.0,2956,1428,1528.0,13602,2362.0,13831,16787,104.0,47.0,381,4947,15504.0,925.0,632.0,108.0,1,2736.0,2737.0,5231.0,0.0,69147,677630,11971.0,17140,0,0.0,0.0,14081,13603,3.0,323.0,1126.0,64,748171,365723,185160,147943,421187,16892
19,48710,23136,34932,46132.0,45491.0,21823.0,800.0,1208,429,779.0,23400,3376.0,45674,46882,71.0,1865.0,1071,12346,44623.0,940.0,529.0,96.0,26,9416.0,9442.0,11470.0,195.0,126617,1502411,22920.0,46523,4,37.0,86.0,41718,40855,0.0,1408.0,2571.0,248,2007193,993182,734940,242223,1032495,46164
20,32145,23039,27365,28499.0,28353.0,21270.0,590.0,408,175,233.0,27577,142.0,29778,30186,2292.0,825.0,700,9885,27848.0,922.0,789.0,27.0,54,8342.0,8396.0,7852.0,0.0,121437,1690090,27778.0,29682,0,5.0,90.0,27590,27500,0.0,9614.0,43276.0,726,1515629,828969,510092,237351,769344,29597
21,43225,32340,35392,40354.0,45518.0,25598.0,961.0,23,20,3.0,12687,985.0,30424,30447,216.0,2625.0,335,3648,28584.0,903.0,747.0,371.0,329,7484.0,7813.0,14040.0,104.0,170552,2293310,18304.0,37860,8,15.0,32.0,36361,36358,0.0,3316.0,11168.0,380,2233523,1468439,637075,317601,1280164,30285
22,125280,75499,104095,89595.0,116389.0,39222.0,3502.0,5796,3482,2314.0,57651,20995.0,66544,72340,8057.0,4872.0,1365,12049,59331.0,948.0,2482.0,2661.0,50,12726.0,12776.0,19068.0,745.0,253513,2479203,58479.0,91062,410,654.0,820.0,72909,70367,2.0,3608.0,9723.0,99,4066499,2414012,1163676,519440,2389821,74823
23,40152,26962,26678,37089.0,35001.0,18270.0,893.0,715,216,499.0,22780,651.0,29400,30115,192.0,1109.0,386,4616,28797.0,927.0,294.0,104.0,15,6929.0,6944.0,10505.0,69.0,116929,1111531,21869.0,32255,620,786.0,822.0,32703,32011,0.0,785.0,10228.0,347,1571440,901574,476672,223396,874684,30017
24,48330,32312,34866,40707.0,34618.0,13959.0,449.0,192,107,85.0,25749,998.0,39130,39322,5059.0,5126.0,743,7858,38780.0,906.0,520.0,642.0,312,7498.0,7810.0,5002.0,1277.0,107547,1078048,34847.0,39204,2,54.0,164.0,36120,35897,0.0,9176.0,6513.0,262,2128962,1459674,655571,197037,1280304,38987
25,79945,50199,55748,70411.0,78981.0,45254.0,1458.0,849,306,543.0,42554,5205.0,58174,59023,1022.0,2456.0,648,15905,56606.0,950.0,1129.0,188.0,104,10739.0,10843.0,16450.0,43.0,121914,956562,39012.0,77149,277,330.0,525.0,60812,59071,0.0,3541.0,2056.0,818,3548425,1991987,1049150,523051,1985631,58728
26,48528,28348,31610,43405.0,47573.0,29279.0,600.0,699,68,631.0,30455,3019.0,39964,40663,1753.0,577.0,931,12420,39650.0,915.0,766.0,534.0,53,9935.0,9988.0,16839.0,56.0,139576,1437360,27035.0,45667,156,105.0,870.0,43946,43891,20.0,5996.0,13613.0,462,2131601,1222902,644112,250374,1237702,40589
27,32704,22004,21287,29996.0,37431.0,27409.0,1162.0,1414,724,690.0,16598,466.0,19268,20682,93.0,381.0,383,9412,19518.0,944.0,1318.0,139.0,38,2696.0,2734.0,8520.0,0.0,66306,702812,15630.0,23778,38,41.0,106.0,28248,27692,1.0,1085.0,645.0,287,1232320,704023,404449,221078,614207,20768
28,41695,23479,28589,35566.0,31503.0,22976.0,345.0,37,21,16.0,22419,1187.0,32681,32718,985.0,1376.0,389,12182,30262.0,913.0,790.0,465.0,80,6410.0,6490.0,11452.0,10.0,87292,797068,22790.0,32454,52,31.0,50.0,28618,28220,0.0,2008.0,1858.0,355,1434480,857686,441249,190478,806344,33147
29,64118,51208,47805,57570.0,51807.0,35608.0,2085.0,337,299,38.0,21225,971.0,45397,45734,1276.0,4620.0,481,4503,44338.0,923.0,951.0,413.0,112,10211.0,10323.0,16834.0,123.0,225455,2487764,27123.0,48736,0,0.0,10.0,45674,45553,194.0,4228.0,22031.0,611,2851130,1808855,726674,332117,1793367,45756
30,27741,15086,17740,26892.0,27345.0,18713.0,359.0,370,90,280.0,17639,2680.0,24011,24381,463.0,792.0,688,3789,22769.0,951.0,351.0,104.0,14,3995.0,4009.0,10331.0,0.0,91221,945617,13474.0,27258,3,7.0,23.0,22785,22221,0.0,1680.0,5846.0,333,1121277,528893,345241,110092,666577,23843
31,30119,24748,23811,28531.0,29176.0,26600.0,1308.0,78,53,25.0,21529,285.0,27565,27643,960.0,102.0,417,6796,26883.0,926.0,800.0,174.0,12,6753.0,6765.0,11246.0,0.0,118678,1160073,19040.0,27320,0,4.0,16.0,26372,26284,0.0,7083.0,7911.0,357,1515016,872171,527200,176818,812922,27398
32,117197,59061,82233,81266.0,104244.0,63816.0,1242.0,7412,5697,1715.0,55069,10482.0,60621,68033,6956.0,487.0,1861,19228,63282.0,899.0,2584.0,1327.0,539,12797.0,13336.0,20790.0,686.0,333305,3290737,51754.0,78495,392,343.0,439.0,70514,69521,0.0,15332.0,23050.0,1610,3261968,1736273,865284,629177,1775899,66684
1,73324,42285,50437,56244.0,72134.0,57287.0,5020.0,480,41,439.0,48414,9551.0,59495,59975,6833.0,2374.0,1049,5630,47577.0,947.0,3496.0,441.0,81,11055.0,11136.0,17629.0,466.0,241463,1991125,49408.0,62457,2164,1808.0,1684.0,57112,56501,0.0,11247.0,24110.0,594,2810639,1744771,905146,264653,1643110,59351
2,101230,53122,63578,83854.0,61515.0,44612.0,1612.0,3170,1191,1979.0,51166,1000.0,65033,68203,2807.0,4360.0,1274,7782,62595.0,931.0,2731.0,466.0,259,15471.0,15730.0,33225.0,1383.0,264039,2726393,52165.0,76281,1072,783.0,741.0,70792,69646,1.0,5338.0,9727.0,1117,4071146,2642906,1315878,538307,2225131,68467
3,50087,28902,32494,48356.0,35774.0,47353.0,3312.0,807,296,511.0,39509,1490.0,43576,44383,2286.0,0.0,1226,6119,42002.0,1006.0,1192.0,180.0,11,7287.0,7298.0,19999.0,0.0,126078,1446997,43008.0,43258,0,0.0,0.0,42845,42845,0.0,10230.0,17224.0,1008,1966628,1037949,549908,538189,928938,43258
4,35778,24423,27295,28807.0,28809.0,22163.0,658.0,65,28,37.0,21975,1434.0,23065,23130,1014.0,131.0,418,3776,22603.0,964.0,625.0,360.0,23,6333.0,6356.0,7423.0,0.0,69937,812003,21567.0,23289,0,0.0,0.0,26236,26091,0.0,3407.0,4433.0,341,1337696,820413,393603,229756,717130,22909
5,84668,39897,51828,76721.0,71857.0,46187.0,787.0,10530,5256,5274.0,49195,2141.0,56690,67220,569.0,640.0,1113,3377,60392.0,958.0,858.0,77.0,15,8605.0,8620.0,21525.0,0.0,277257,3075444,32912.0,75614,415,303.0,124.0,66987,66550,0.0,1998.0,2209.0,222,2997340,1363927,773978,639796,1622564,67611
6,64843,42582,43789,61310.0,44588.0,27589.0,2992.0,2090,1796,294.0,43327,3226.0,51411,53501,925.0,4696.0,628,8434,46694.0,914.0,396.0,617.0,29,9453.0,9482.0,17691.0,0.0,122691,1431214,40460.0,47661,0,0.0,0.0,49986,49390,5.0,1315.0,9606.0,772,2806658,1747388,764937,436600,1607161,53486
7,52898,44286,43625,49761.0,48866.0,37931.0,428.0,545,258,287.0,39171,2621.0,45882,46427,2078.0,1990.0,851,5326,43541.0,950.0,1618.0,780.0,128,10358.0,10486.0,21105.0,251.0,221425,1923700,37538.0,47048,240,133.0,92.0,47539,47077,0.0,6632.0,3442.0,672,2634020,1536658,949241,325859,1365370,46032
8,86115,39395,54361,58541.0,71196.0,51574.0,4653.0,2307,270,2037.0,43520,11137.0,50636,52943,3866.0,2285.0,1191,6635,48504.0,954.0,1628.0,568.0,105,9661.0,9766.0,14209.0,220.0,116506,1204010,33813.0,58833,0,0.0,1.0,49680,49469,124.0,2725.0,8915.0,171,2808930,1651375,903558,302548,1606870,52363
9,24203,17275,20858,22501.0,21635.0,28132.0,1278.0,3,1,2.0,18645,275.0,18973,18976,1000.0,180.0,284,3792,17360.0,947.0,963.0,153.0,10,5465.0,5475.0,8805.0,0.0,70072,774045,17217.0,19251,0,0.0,0.0,23427,22587,4.0,3031.0,1728.0,389,1193406,676329,392231,172535,628910,18788
10,32730,23148,24682,30141.0,26096.0,22480.0,779.0,314,74,240.0,25822,725.0,27056,27370,2204.0,143.0,627,4917,23222.0,926.0,1694.0,846.0,70,4613.0,4683.0,14034.0,0.0,100791,912217,21092.0,26639,61,13.0,7.0,28874,28726,0.0,5685.0,4854.0,677,1429066,829285,614911,131052,683418,26988
11,47673,33547,35712,44762.0,42763.0,38137.0,812.0,525,91,434.0,31171,929.0,36116,36641,458.0,624.0,456,3206,36546.0,962.0,975.0,454.0,714,8112.0,8826.0,21535.0,0.0,103981,1210590,23491.0,42116,0,0.0,0.0,41192,41172,0.0,3935.0,10083.0,254,2099963,1214647,649914,278527,1171632,36753
12,33854,21654,21731,29719.0,24504.0,23993.0,230.0,150,94,56.0,20903,341.0,29726,29876,414.0,483.0,376,2133,23389.0,934.0,623.0,230.0,19,7630.0,7649.0,11884.0,145.0,82966,747700,18458.0,30435,169,6.0,13.0,31094,31082,12.0,1159.0,1442.0,155,1820697,1126394,557557,212692,1051980,29675
13,33732,18847,18849,30837.0,22654.0,23453.0,1123.0,693,253,440.0,27232,0.0,29049,29742,929.0,0.0,500,4170,29378.0,945.0,345.0,182.0,15,5160.0,5175.0,9901.0,0.0,75477,596469,26181.0,30639,0,0.0,0.0,26610,26379,0.0,1343.0,1677.0,231,1336490,833530,342474,235925,758906,29539
14,37289,24830,24022,34847.0,32237.0,38518.0,847.0,1343,539,804.0,22495,282.0,28928,30271,788.0,0.0,701,5364,23602.0,883.0,1822.0,727.0,8,4355.0,4363.0,11887.0,0.0,126909,1326771,20286.0,33763,0,0.0,1.0,30709,30368,5.0,3193.0,8032.0,629,1554688,862713,192933,544521,850552,29960
15,41596,27879,33119,37317.0,31070.0,33627.0,2122.0,506,35,471.0,23664,1013.0,33762,34268,946.0,1856.0,528,2903,28714.0,952.0,756.0,74.0,110,8317.0,8427.0,19500.0,80.0,93162,1195351,20156.0,36196,0,0.0,0.0,38550,38347,1.0,11394.0,9319.0,450,2065701,1326734,755289,273449,1049989,34033
16,47269,39063,41733,47254.0,43369.0,36307.0,1987.0,392,184,208.0,18882,1427.0,42163,42555,1487.0,3317.0,704,6252,41397.0,973.0,786.0,324.0,191,7465.0,7656.0,11400.0,638.0,85874,628757,34968.0,40572,0,0.0,0.0,39056,38542,6.0,2157.0,2181.0,303,1918880,1178969,734129,229270,965334,42074
17,244681,137189,161455,142065.0,174588.0,132847.0,5581.0,219,111,108.0,84888,9099.0,135035,135254,21708.0,12105.0,2195,25786,112499.0,876.0,8399.0,2326.0,385,24060.0,24445.0,29217.0,2896.0,279618,3124826,111166.0,136625,6779,5724.0,5094.0,121085,122093,8.0,74889.0,178831.0,1588,7443388,5125974,2348967,487138,4612459,138306
18,18330,9689,12442,15689.0,15743.0,8112.0,180.0,3094,1895,1199.0,14648,2204.0,14874,17968,134.0,19.0,370,773,16584.0,915.0,441.0,38.0,1,3022.0,3023.0,7283.0,0.0,47877,599921,12812.0,18868,14,8.0,16.0,15039,14345,5.0,494.0,1206.0,89,769123,381568,187688,158071,431875,17724
19,50554,24187,35801,47575.0,41136.0,28808.0,873.0,995,313,682.0,23836,1033.0,47978,48973,73.0,2009.0,1107,4321,47521.0,981.0,556.0,147.0,12,9060.0,9072.0,14359.0,183.0,108713,1238234,26024.0,48506,0,1.0,1.0,42773,42462,0.0,2106.0,1640.0,253,2054467,1038894,754763,243824,1059244,48285
20,32217,22257,28339,29451.0,29268.0,28961.0,797.0,173,40,133.0,27257,2830.0,29126,29299,2016.0,829.0,655,4605,27798.0,939.0,604.0,59.0,270,8525.0,8795.0,9208.0,0.0,122243,1819764,28906.0,29470,0,0.0,0.0,29886,29850,0.0,10473.0,52859.0,574,1542942,852895,519085,244642,780799,28778
21,42484,31173,35231,39434.0,43204.0,31017.0,538.0,17,11,6.0,13570,697.0,30184,30201,343.0,2763.0,295,1933,28748.0,949.0,594.0,296.0,229,7320.0,7549.0,15820.0,178.0,189524,2212226,19151.0,39818,0,0.0,0.0,39327,39323,1.0,3901.0,14783.0,299,2258316,1494037,648647,321669,1289784,30297
22,131974,72138,113287,92256.0,117292.0,48461.0,6219.0,5656,2361,3295.0,63796,22048.0,71391,77047,9558.0,4134.0,1439,9410,63412.0,950.0,2495.0,2364.0,119,12753.0,12872.0,20785.0,673.0,222353,2186682,60954.0,90363,94,64.0,73.0,74743,71903,1.0,24919.0,30898.0,111,4167280,2520394,1192134,543540,2440497,77264
23,40661,26529,26931,37081.0,30494.0,21115.0,795.0,588,146,442.0,21432,408.0,28630,29218,217.0,1138.0,347,4939,28761.0,912.0,497.0,156.0,9,6569.0,6578.0,11383.0,145.0,114457,979673,20425.0,29336,12,4.0,13.0,33036,32988,0.0,1158.0,7992.0,460,1601085,927232,486769,232506,886354,29110
24,49091,32185,37197,43439.0,37357.0,17695.0,1180.0,115,45,70.0,27423,807.0,38383,38498,5817.0,4144.0,693,5940,37157.0,901.0,3098.0,1040.0,98,7485.0,7583.0,7142.0,143.0,93750,1111791,35648.0,38780,0,0.0,0.0,36879,36730,23.0,6595.0,9558.0,289,2175929,1503046,676672,204066,1300609,37990
