Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
10,43535,36341,36969,1010,30035,8229.0,176.0,60,7.0,53.0,8851,9.0,36727,36787,3316,9314.0,69,3966,25996.0,960,835,236.0,10,6983,6993,3505,541.0,3301,268925,38135,40579,213,181,197,22397,40405,116.0,14090.0,18515.0,75.0,2932132,2441838,946704,161275,1827272,37004
11,12643,10549,19703,259,18575,4155.0,24.0,15,5.0,10.0,4066,1.0,14367,14382,1840,6337.0,25,2009,13619.0,966,604,144.0,6,2757,2763,1324,187.0,1786,109019,14781,14923,7,7,13,6075,12057,12.0,16190.0,21821.0,11.0,1175972,1070232,297796,113306,768850,14711
12,53966,46564,46690,686,36920,21331.0,297.0,30,13.0,17.0,21011,284.0,40342,40372,9187,9594.0,273,5420,33489.0,969,956,696.0,22,5800,5822,2221,511.0,5085,821248,48283,48860,180,166,172,31316,51794,257.0,38060.0,36481.0,388.0,3342335,2931105,989049,372088,2002769,52962
13,42164,34919,36106,293,22986,8760.0,168.0,13,1.0,12.0,9451,613.0,41905,41918,3637,14415.0,123,3679,41551.0,976,1193,23.0,40,6227,6267,2755,953.0,4091,175114,37131,40219,281,275,236,21140,42519,28.0,34752.0,114090.0,183.0,3212844,2834408,1010289,179427,2029407,42761
14,14391,13382,18131,789,3949,7034.0,136.0,216,28.0,188.0,5331,0.0,14599,14815,1362,2961.0,75,2295,12930.0,990,812,30.0,108,1375,1483,1255,245.0,1524,125142,16089,16478,36,60,19,8571,15099,173.0,4982.0,8013.0,62.0,840328,690779,293697,70135,480574,14950
1,24752,21653,26086,581,32018,3184.0,31.0,13,2.0,11.0,8409,115.0,17117,17130,4260,5006.0,42,2140,16488.0,945,577,275.0,209,3170,3379,1699,73.0,7016,188090,16333,17119,1,22,8,406,22981,104.0,23455.0,54920.0,38.0,2140927,1921432,633548,233679,1281260,17548
2,38707,32109,33376,2385,30538,13369.0,249.0,27,10.0,17.0,33613,6.0,42069,42096,4308,16747.0,149,6800,30688.0,960,1175,131.0,45,7712,7757,2476,820.0,19381,368339,42488,42876,83,9,6,1376,39777,79.0,56448.0,136872.0,132.0,3411941,3066982,1176901,179121,2064668,43318
3,13154,11812,18566,591,19716,4163.0,9.0,72,14.0,58.0,7433,31.0,11370,11442,1979,3671.0,52,1464,11019.0,963,688,263.0,30,2486,2516,1643,52.0,3667,83534,11711,11987,10,10,7,65,12881,7.0,12259.0,34137.0,29.0,1095017,952500,426964,111331,560397,11468
4,41188,34364,37063,391,40360,4436.0,97.0,19,6.0,13.0,33390,6810.0,43366,43385,4788,13757.0,197,3883,31267.0,956,682,16.0,66,6188,6254,2476,57.0,2072,87735,40781,41928,43,51,86,2557,38262,46.0,9101.0,50028.0,131.0,2606033,2263706,745600,123080,1740055,43431
5,25869,22556,26226,852,33770,4528.0,69.0,23,7.0,16.0,15688,0.0,19908,19931,1160,3761.0,43,1498,18724.0,970,907,30.0,31,1235,1266,2111,221.0,2896,84247,17670,19141,46,19,23,418,22965,323.0,4551.0,6808.0,71.0,1384911,1160661,407774,90448,887617,19920
6,33898,30424,38829,579,41674,14811.0,133.0,18,3.0,15.0,16417,101.0,26261,26279,4650,9359.0,29,1916,25859.0,929,542,98.0,7,6789,6796,2218,339.0,3644,110275,25163,25592,2,2,4,340,31934,571.0,18637.0,65443.0,28.0,2671070,2351498,725111,252995,1700421,26527
7,20580,17605,23571,642,24704,7914.0,346.0,12,4.0,8.0,14874,1246.0,23972,23984,3643,7091.0,142,2880,23368.0,955,637,283.0,113,3385,3498,3225,301.0,7092,171658,24820,25060,0,3,9,578,21360,25.0,18119.0,31849.0,118.0,1989317,1809229,654610,155860,1190354,24200
8,50915,45441,46622,1381,51722,8376.0,198.0,22,6.0,16.0,31676,116.0,54763,54785,8456,11885.0,477,5948,54204.0,944,648,202.0,35,7892,7927,4239,417.0,6350,213736,53700,54443,17,19,39,2069,42502,227.0,19909.0,21189.0,366.0,3240113,2831187,854619,212468,2181134,54364
9,100022,84890,81439,2192,2271,14066.0,535.0,304,78.0,226.0,75786,10355.0,91344,91648,5024,23472.0,289,8013,89286.0,961,2345,4.0,25,8993,9018,3878,2335.0,1621,186439,79435,88707,117,21,63,402,79157,232.0,52176.0,72856.0,206.0,4492626,3766776,985781,232273,3279343,92769
10,43642,38183,42666,1090,46553,12427.0,573.0,51,11.0,40.0,26732,1162.0,35338,35389,3238,9659.0,70,4353,29901.0,965,770,166.0,13,7275,7288,3410,423.0,3301,143496,34340,35589,303,208,201,239,40918,83.0,14264.0,22426.0,49.0,2953009,2477297,959115,160372,1837412,35542
11,12695,10598,21491,309,22210,5431.0,44.0,23,5.0,18.0,10301,103.0,14753,14776,1884,6227.0,35,2385,14958.0,984,606,69.0,2,2808,2810,1069,161.0,1786,54478,15083,15174,31,2,3,427,12487,13.0,23443.0,23556.0,21.0,1172437,1071517,298560,115779,763045,15028
12,42728,36961,49456,2408,86772,19653.0,533.0,11,0.0,11.0,23142,604.0,44674,44685,8527,11174.0,288,5622,40797.0,975,1506,411.0,53,8623,8676,2054,418.0,5085,419981,40672,43319,294,226,214,1146,42712,181.0,31188.0,27635.0,378.0,3349202,2956118,1000818,383504,1991817,45041
13,42524,35281,48714,1087,36804,13594.0,382.0,27,2.0,25.0,33329,1121.0,44233,44260,4373,14448.0,126,3708,42999.0,962,1210,38.0,63,6278,6341,2895,719.0,4091,109592,42991,44386,226,102,161,371,42432,15.0,34022.0,195036.0,167.0,3228377,2861253,1024419,181728,2030064,43816
14,13980,13127,13184,820,6737,10498.0,97.0,98,18.0,80.0,9199,0.0,14668,14766,1563,3586.0,89,1939,14807.0,977,830,33.0,44,1858,1902,1058,316.0,1524,78194,14084,14799,10,11,13,361,13052,180.0,4525.0,27944.0,31.0,844208,698614,299067,69107,481114,14818
