Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
9,24211,5646,22114,22219,19525,5747.0,210.0,998,246,752,16872,14968.0,17843,18841,1045,77.0,473,2502,16395.0,865,1445,886,14.0,4705,4719,4843,0.0,73107,438829,10879,20674,20608,20194,20105,19267,19367,2984.0,2775.0,12178.0,200.0,1192811,829909,277338,158195,757277,18577
10,14281,3971,11231,12535,9668,3069.0,7.0,4516,438,4078,7094,3988.0,8107,12623,677,0.0,269,1286,11062.0,938,232,104,35.0,2228,2263,1611,0.0,30814,223167,5514,13044,12325,11621,11508,10852,10493,522.0,1709.0,568.0,224.0,577817,262536,170370,123562,283884,12408
11,74314,16351,56957,60536,49269,11663.0,9.0,3091,567,2524,54063,45709.0,54063,57154,1722,0.0,1026,10729,49621.0,909,1495,698,101.0,11455,11556,6446,0.0,163450,1013360,40025,63083,60564,59073,56524,57332,54032,1216.0,14705.0,5769.0,347.0,3529030,2210050,900743,601028,2027259,56277
12,19348,8031,17242,17337,15930,2183.0,0.0,551,279,272,14348,13311.0,14501,15052,908,120.0,306,4096,14670.0,913,565,336,18.0,2490,2508,4079,0.0,83717,567038,10949,17436,16823,16590,16457,15778,15741,39.0,3506.0,6550.0,135.0,1136971,889026,290169,113478,733321,14796
13,37783,9913,36613,35219,28140,2107.0,4.0,1693,518,1175,28440,23946.0,28440,30133,757,0.0,477,6392,28033.0,906,889,757,16.0,6495,6511,7228,0.0,118177,510281,26889,37912,33643,32738,32383,31085,30913,2138.0,7352.0,4216.0,800.0,1827191,1290455,407563,144669,1274957,29735
14,10035,9121,9354,9683,8595,3342.0,83.0,585,238,347,6481,3349.0,6481,7066,425,0.0,58,1270,5882.0,905,99,77,11.0,1726,1737,2028,0.0,37344,352532,8477,9231,9259,9385,9680,9125,9124,33.0,2516.0,133.0,121.0,579505,405879,172069,75638,331798,7017
15,36654,17121,30649,33021,27210,7318.0,294.0,9673,2251,7422,19820,13596.0,19820,29493,1184,0.0,1078,5975,23910.0,935,786,75,176.0,5195,5371,4360,0.0,76536,449197,10528,32131,31033,29761,29319,28906,28248,5243.0,7101.0,3400.0,1162.0,1576868,802035,376757,375173,824939,28649
16,18627,7833,16500,17656,16153,7463.0,102.0,4046,1035,3011,12878,8412.0,12878,16924,551,0.0,584,4158,15783.0,966,771,468,50.0,1812,1862,3671,0.0,63910,462513,11763,17100,16021,15313,15011,14624,14503,6.0,2383.0,2362.0,529.0,733110,399786,167111,188236,377761,16459
17,27694,11217,23179,25679,21995,1337.0,22.0,1062,224,838,20128,14742.0,20847,21909,774,384.0,450,3192,14530.0,918,1421,659,50.0,4833,4883,5617,0.0,105117,600868,10297,23402,23577,23043,22775,21994,20261,237.0,6023.0,7358.0,301.0,1440360,1089265,322265,144625,973471,21586
18,42890,20611,38309,37966,29372,10277.0,9.0,7582,542,7040,29434,23592.0,29434,37016,1419,0.0,936,4697,32097.0,937,1929,1234,81.0,6849,6930,6285,0.0,109596,780503,15570,41445,37261,35908,35383,34447,32940,462.0,8444.0,3987.0,915.0,1801733,1052518,442497,324016,1035219,36157
