Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
4,34309,23410,28153,30523.0,31054.0,24331.0,877.0,8818.0,11.0,8807.0,17489.0,9309.0,18565,27383,2538,990.0,674,4093,25022.0,924.0,2393.0,942,70,4523.0,4593.0,1667.0,0.0,236241,986953,22237,29992,28482.0,27684.0,27353.0,26989,26155,1145.0,3491.0,950.0,235,1676276,1083685,526470,176516,973289,26457
5,37349,18228,25673,26037.0,19698.0,12838.0,1386.0,2754.0,1504.0,1250.0,39142.0,0.0,39149,41903,6106,0.0,747,5773,0.0,911.0,450.0,583,64,3380.0,3444.0,1653.0,0.0,63298,781524,24220,44194,31406.0,30943.0,30722.0,31336,28944,0.0,0.0,0.0,924,1846822,1315585,532854,150871,1163096,35370
6,113398,48642,70150,76181.0,54361.0,38548.0,252.0,8867.0,31.0,8836.0,51811.0,22286.0,73397,82264,16475,12772.0,633,8954,52647.0,938.0,2248.0,4451,282,6545.0,6827.0,4668.0,314.0,700340,2193672,53470,77385,70590.0,66600.0,65735.0,59405,53039,367.0,9546.0,16332.0,136,4850029,3605205,1496266,323578,3030183,61156
7,72973,48807,51706,66901.0,51947.0,58798.0,1097.0,16154.0,9.0,16145.0,33500.0,22821.0,37211,53365,3288,13.0,1119,7961,46676.0,924.0,2654.0,981,968,7665.0,8633.0,6186.0,20.0,194154,872439,47078,65897,61798.0,61016.0,62375.0,60385,55598,409.0,2076.0,3324.0,275,3872846,2498779,1153764,359145,2359936,52838
8,60702,32627,50160,50990.0,49363.0,44173.0,458.0,16242.0,61.0,16181.0,29290.0,25403.0,36104,52346,1947,5207.0,1064,8610,42104.0,903.0,2275.0,377,293,12194.0,12487.0,5214.0,2.0,468906,2215710,31214,53191,49743.0,47040.0,44994.0,50383,46030,9.0,4850.0,11427.0,233,2819085,1850504,886357,241620,1691109,51517
9,147505,44764,115527,45752.0,54405.0,12338.0,2105.0,54.0,51.0,3.0,78890.0,3112.0,79392,79446,29232,6981.0,2400,18762,30483.0,927.0,2463.0,2355,3150,18107.0,21257.0,3438.0,2420.0,131640,1520824,71355,91827,52651.0,47323.0,45276.0,47722,43021,0.0,0.0,0.0,3820,4496694,3588136,1576418,219321,2700954,87467
10,105039,61690,76112,93384.0,70786.0,54823.0,1658.0,50231.0,0.0,50231.0,44956.0,19310.0,49740,99971,3598,3409.0,1751,11740,81926.0,938.0,811.0,1625,111,9556.0,9667.0,2832.0,0.0,208590,968377,49083,97097,93037.0,91261.0,89443.0,90516,85283,356.0,19423.0,562.0,1797,3988845,2086431,1050994,486852,2450998,98770
11,120932,86538,87570,96285.0,83494.0,100063.0,215.0,23101.0,776.0,22325.0,57381.0,36334.0,68159,91260,9807,4983.0,1440,15866,66340.0,943.0,4895.0,387,493,20072.0,20565.0,6060.0,47.0,373507,1489890,78453,101859,98517.0,95159.0,94578.0,92264,87725,44.0,11685.0,16982.0,719,0,0,0,0,0,90462
12,174159,124941,140415,159430.0,126378.0,94787.0,1022.0,65540.0,576.0,64964.0,82961.0,54149.0,84389,149929,10282,0.0,2461,15048,121790.0,951.0,2695.0,1606,255,25053.0,25308.0,5491.0,0.0,540226,1572394,120190,153916,144648.0,140189.0,139592.0,136132,126494,1792.0,13878.0,21321.0,5227,7103807,4055834,2022082,567824,4513899,137313
13,93504,60372,77915,82257.0,72211.0,51425.0,559.0,8101.0,50.0,8051.0,55201.0,49254.0,71023,79124,10879,12843.0,1251,13018,62997.0,941.0,8183.0,3253,337,11353.0,11690.0,6414.0,14.0,535482,1365017,53476,78030,79779.0,76952.0,76771.0,73888,69726,4090.0,38767.0,21672.0,66,5167600,3480555,1595879,246726,3324992,77486
