Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
2,65496.0,19667.0,28958.0,16978.0,26479.0,16126.0,679.0,461.0,72.0,389.0,9746.0,6588.0,13684.0,14145.0,3375.0,1358.0,175.0,2915.0,8195.0,862,3135.0,2010.0,62.0,1097.0,1159.0,2373.0,823.0,19610.0,471845.0,12319.0,20324.0,23129.0,21151.0,19461.0,18630.0,18188.0,1.0,18218.0,17942.0,654.0,1683017,1321387,544250,24042,1114650,14062.0
3,21818.0,3185.0,5056.0,5312.0,1164.0,5462.0,250.0,0.0,0.0,0.0,14242.0,6430.0,14242.0,14242.0,2661.0,0.0,413.0,255.0,1076.0,873,1288.0,697.0,81.0,1390.0,1471.0,699.0,3.0,2344.0,130643.0,13992.0,5654.0,5033.0,4075.0,3665.0,3568.0,3564.0,0.0,4110.0,3362.0,948.0,145339,115776,57220,3079,84989,14042.0
4,61960.0,17755.0,36696.0,14587.0,23602.0,12259.0,938.0,860.0,0.0,860.0,8991.0,4262.0,16502.0,17362.0,2994.0,1630.0,322.0,3891.0,11062.0,844,2200.0,745.0,383.0,748.0,1131.0,2557.0,193.0,12717.0,563874.0,15084.0,19998.0,15623.0,14771.0,14059.0,12510.0,12057.0,0.0,10451.0,19924.0,175.0,876710,665861,279453,12742,584508,17361.0
5,83957.0,15664.0,28508.0,24794.0,26852.0,27685.0,2072.0,523.0,83.0,440.0,20641.0,13797.0,22051.0,22574.0,3977.0,988.0,539.0,3832.0,16307.0,795,1912.0,1818.0,166.0,1436.0,1602.0,2968.0,284.0,9663.0,456671.0,25959.0,32471.0,29952.0,25948.0,22578.0,24266.0,27893.0,0.0,1808.0,1554.0,53.0,2189052,1556892,605328,37867,1545787,21764.0
6,131595.0,32776.0,54146.0,38523.0,62903.0,37490.0,956.0,1175.0,159.0,1016.0,19644.0,6152.0,20075.0,21250.0,3480.0,284.0,451.0,3532.0,9823.0,913,1590.0,1932.0,91.0,2210.0,2301.0,6432.0,129.0,39813.0,1340941.0,23178.0,42415.0,49455.0,46212.0,44573.0,49214.0,53401.0,1.0,9570.0,19624.0,192.0,3567902,2621452,1105600,52772,2409471,23687.0
7,94419.0,33381.0,61954.0,29596.0,41613.0,37545.0,1464.0,1563.0,386.0,1177.0,6970.0,3831.0,12686.0,14249.0,2672.0,1439.0,105.0,2251.0,9115.0,879,6532.0,2582.0,130.0,1995.0,2125.0,5427.0,472.0,45114.0,1379010.0,14631.0,32866.0,35757.0,37147.0,34296.0,32445.0,32744.0,18.0,46252.0,18449.0,31.0,2681439,2022644,855127,53460,1772768,14586.0
8,76427.0,21216.0,58731.0,26462.0,53815.0,34714.0,4718.0,758.0,509.0,249.0,23105.0,17178.0,23750.0,24508.0,3713.0,261.0,623.0,3630.0,19155.0,951,2142.0,1050.0,89.0,1595.0,1684.0,2978.0,218.0,15109.0,510484.0,25922.0,31433.0,17890.0,16226.0,15734.0,15442.0,13311.0,2.0,4443.0,2015.0,106.0,2232467,1725964,729671,43898,1458887,24794.0
9,131129.0,36179.0,56325.0,28356.0,92856.0,55177.0,5852.0,3018.0,31.0,2987.0,18923.0,13241.0,21819.0,24837.0,5002.0,1454.0,481.0,6386.0,18158.0,881,2986.0,1996.0,223.0,2108.0,2331.0,4874.0,173.0,29450.0,988021.0,21637.0,37495.0,39915.0,37639.0,35870.0,32848.0,32064.0,8.0,29688.0,39052.0,406.0,2498416,1913553,822886,34668,1640788,25441.0
1,159248.0,31821.0,66376.0,30741.0,60456.0,36254.0,2749.0,1049.0,23.0,1026.0,31786.0,10013.0,43584.0,44633.0,7088.0,5463.0,878.0,12810.0,24463.0,917,4320.0,1803.0,1549.0,3681.0,5230.0,4869.0,571.0,23458.0,1549786.0,38528.0,44492.0,31304.0,26692.0,24548.0,24233.0,23663.0,3.0,55985.0,48043.0,272.0,582319,442360,195978,11395,374945,44591.0
2,48148.0,15146.0,16652.0,12957.0,16283.0,12554.0,436.0,635.0,55.0,580.0,6137.0,3849.0,9318.0,9953.0,1185.0,1842.0,138.0,2089.0,6777.0,910,2438.0,346.0,21.0,249.0,270.0,1774.0,1034.0,12006.0,416644.0,8871.0,14895.0,18000.0,16901.0,16017.0,15313.0,14784.0,0.0,16470.0,26335.0,359.0,1709346,1352998,555025,24665,1129653,9834.0
3,78416.0,13168.0,40465.0,23674.0,43291.0,42813.0,4356.0,260.0,34.0,226.0,40392.0,22515.0,40665.0,40925.0,6906.0,136.0,1065.0,3508.0,25409.0,901,3387.0,1806.0,238.0,3459.0,3697.0,4035.0,44.0,18412.0,660131.0,43083.0,37253.0,19948.0,17486.0,17060.0,15901.0,11852.0,4.0,8889.0,5311.0,216.0,142003,114179,56471,3070,82462,40118.0
