Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,81629.0,45604.0,45107.0,71269,54348.0,18042.0,1208.0,21057.0,1539.0,19518.0,44086.0,41194.0,44086.0,65143.0,280.0,0.0,1004.0,9147.0,62059.0,942,71.0,0.0,3.0,6407.0,6410.0,3727.0,0.0,30494.0,164424.0,50415.0,81883,61156,71744.0,75404,71953,66079.0,367.0,5246.0,20666.0,0.0,3043555,1478278,708543,453185,1899145,64601.0
2,62882.0,38689.0,48600.0,57014,42086.0,13957.0,363.0,16484.0,5081.0,11403.0,33815.0,31639.0,33951.0,50435.0,238.0,45.0,626.0,1901.0,47576.0,880,79.0,0.0,227.0,13186.0,13413.0,20782.0,528.0,20339.0,149422.0,45298.0,59855,44939,50824.0,55807,59971,58115.0,69.0,13814.0,49832.0,0.0,2723600,1685505,481461,429019,1828175,50606.0
3,53954.0,26510.0,41583.0,51985,36375.0,68030.0,50.0,6648.0,802.0,5846.0,35466.0,28459.0,35466.0,42114.0,71.0,0.0,925.0,2559.0,39855.0,955,430.0,132.0,41.0,8997.0,9038.0,5581.0,4.0,8522.0,40141.0,33924.0,49442,39070,46553.0,50684,45114,43042.0,10.0,10584.0,35961.0,0.0,2183330,1144456,365130,466968,1367147,41341.0
4,78236.0,55422.0,52265.0,71464,71598.0,2738.0,5.0,6873.0,3013.0,3860.0,54581.0,52570.0,54581.0,61454.0,54.0,0.0,892.0,2379.0,63531.0,915,530.0,99.0,67.0,20785.0,20852.0,12272.0,0.0,17169.0,58138.0,66741.0,72253,59595,67681.0,71457,70046,68383.0,0.0,779.0,1130.0,0.0,3187139,1824696,598023,425458,2182211,71003.0
5,71748.0,31215.0,43876.0,68477,44699.0,21803.0,311.0,11738.0,2175.0,9563.0,45584.0,36072.0,45584.0,57322.0,446.0,0.0,1099.0,3368.0,57178.0,922,389.0,392.0,50.0,10915.0,10965.0,6790.0,0.0,23765.0,129783.0,49487.0,71609,55714,65232.0,72004,64697,63186.0,42.0,29187.0,40636.0,0.0,3250912,1821044,520891,520960,2227699,60474.0
6,48628.0,21888.0,25775.0,46770,23132.0,3937.0,540.0,3933.0,772.0,3161.0,38321.0,30767.0,38321.0,42254.0,585.0,0.0,725.0,2403.0,39385.0,924,40.0,6.0,158.0,12180.0,12338.0,5565.0,329.0,34089.0,140999.0,36596.0,56479,43795,50004.0,52252,48800,47455.0,51.0,5780.0,53153.0,0.0,2893508,1802499,518195,377468,2012657,41703.0
7,44188.0,24820.0,34744.0,39329,19627.0,2019.0,73.0,4093.0,1044.0,3049.0,22439.0,20946.0,22439.0,26532.0,106.0,0.0,352.0,1191.0,25625.0,926,48.0,29.0,19.0,6362.0,6381.0,5140.0,77.0,13482.0,57454.0,22909.0,40113,30653,35241.0,38300,37084,36131.0,49.0,7694.0,33494.0,0.0,1809789,1126993,335827,259834,1225876,26249.0
8,97612.0,39681.0,60001.0,91249,61898.0,3656.0,69.0,27270.0,7289.0,19981.0,40850.0,40912.0,40850.0,68120.0,4.0,35.0,823.0,3602.0,68122.0,926,431.0,30.0,27.0,22400.0,22427.0,9965.0,0.0,28355.0,211197.0,52200.0,107896,79883,91117.0,97259,95231,91601.0,1.0,15725.0,64761.0,0.0,4153196,2074257,722546,591413,2864118,70188.0
9,119351.0,61180.0,85908.0,105374,86093.0,12939.0,69.0,26671.0,2045.0,24626.0,48370.0,40456.0,48370.0,75041.0,1598.0,0.0,1463.0,5900.0,72515.0,919,176.0,23.0,89.0,16610.0,16699.0,14658.0,0.0,37175.0,163428.0,62095.0,103021,82171,93906.0,101082,88460,82583.0,80.0,25991.0,53049.0,0.0,4711494,2662655,1010867,845708,2910631,78028.0
10,68573.0,36963.0,40643.0,49843,30436.0,4015.0,103.0,7513.0,2124.0,5389.0,38582.0,37591.0,38582.0,46095.0,366.0,0.0,729.0,1795.0,45156.0,945,80.0,4.0,15.0,6964.0,6979.0,5073.0,0.0,20496.0,126070.0,39984.0,60320,46410,53369.0,57110,52437,50821.0,40.0,7279.0,15087.0,0.0,2699381,1620068,336751,455315,1943499,45718.0
11,40960.0,21918.0,26994.0,36188,24300.0,3698.0,196.0,11791.0,3222.0,8569.0,27320.0,23333.0,27320.0,39111.0,481.0,0.0,543.0,1995.0,37577.0,923,2.0,0.0,35.0,7014.0,7049.0,1763.0,70.0,7376.0,66963.0,27332.0,39454,33427,36981.0,38642,35295,31291.0,4.0,6192.0,13229.0,0.0,1886123,1024629,462541,311043,1114187,38697.0
12,25477.0,17027.0,23739.0,26681,20366.0,5045.0,60.0,2184.0,1562.0,622.0,17371.0,11263.0,17371.0,19555.0,188.0,0.0,344.0,4279.0,18392.0,912,46.0,1.0,14.0,3817.0,3831.0,6299.0,0.0,13890.0,101600.0,21334.0,26790,19815,22719.0,25384,24011,22846.0,16.0,5747.0,42625.0,0.0,1029414,603210,215421,102976,714476,19233.0
13,37246.0,14245.0,17972.0,36282,10161.0,4120.0,275.0,2522.0,260.0,2262.0,23894.0,23835.0,23894.0,26416.0,57.0,0.0,365.0,1957.0,26220.0,961,16.0,0.0,18.0,9572.0,9590.0,2833.0,749.0,8349.0,36746.0,20047.0,37294,27961,31941.0,35361,34992,33757.0,14.0,581.0,18083.0,0.0,1743840,1067103,276685,267567,1211516,26248.0
14,87735.0,47792.0,56946.0,77902,58802.0,14160.0,158.0,20399.0,4337.0,16062.0,48589.0,42725.0,48589.0,68988.0,792.0,0.0,1241.0,5733.0,66019.0,990,231.0,84.0,22.0,16045.0,16067.0,16449.0,0.0,31455.0,184362.0,51178.0,84360,63175,72218.0,74306,67129,65813.0,374.0,13200.0,48907.0,1.0,3309832,1565167,668608,388989,2264640,68308.0
15,53298.0,35138.0,39731.0,49682,23124.0,8046.0,23.0,9369.0,3173.0,6196.0,33760.0,33459.0,33760.0,43129.0,36.0,0.0,558.0,2318.0,40209.0,945,17.0,0.0,14.0,7708.0,7722.0,5302.0,0.0,11217.0,72467.0,37712.0,51255,39130,45744.0,49238,48906,46200.0,0.0,9911.0,15086.0,0.0,1804174,924347,298623,308555,1213046,42877.0
16,70707.0,21484.0,28884.0,46174,21913.0,14881.0,2009.0,12888.0,567.0,12321.0,21127.0,20840.0,21127.0,34015.0,186.0,0.0,924.0,1903.0,32201.0,919,661.0,0.0,5.0,3940.0,3945.0,6008.0,55.0,11358.0,58846.0,27583.0,47490,35471,43247.0,45349,43848,40063.0,229.0,19089.0,29108.0,0.0,1830500,966004,392117,190935,1262465,36643.0
