Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Maharashtra,2100266,1635676,648652,89.1,94.2,69304,85.0,5050,7630,39.8,823513,179206,1713864,1726544,175366,225528,16392,1678830,1573276,929,84.4,0.4,668100,38599,74.0,92.5,12.3,3.1,0,5,501,5,63895,31.8,12.7,8233,20758,,1825376,41.4,477
Ahmadnagar,81525,72855,32814,98.1,101.8,3626,91.9,52,30,63.4,49006,14390,73613,73695,3510,9558,510,73343,73093,912,97.0,0.5,18743,2053,49.0,98.4,6.2,3.2,0,0,50,0,1337,19.4,25.1,406,1090,,72816,42.0,47
Akola,32406,27633,10411,99.2,97.2,1279,72.9,55,19,74.3,9176,0,33218,33292,10124,3266,584,32831,30899,924,79.9,0.0,8144,958,62.8,92.5,10.3,1.9,0,1,15,0,256,30.7,7.7,424,882,,28554,50.6,0
Amravati,46202,37791,16184,85.0,84.4,1309,47.0,546,982,35.7,13153,2698,38658,40186,5283,6995,683,38769,38280,926,56.6,0.0,23863,605,42.0,90.2,33.0,3.7,0,0,14,0,907,17.2,3.6,198,254,,43663,56.9,8
Aurangabad,77675,68181,28608,100.0,100.0,2316,100.0,98,28,77.8,33776,17125,70847,70973,5406,4624,939,70086,70086,945,86.0,0.3,14375,927,59.4,90.2,6.3,1.7,0,0,3,0,5231,23.2,6.9,175,338,,70459,28.9,0
Bhandara,16856,15619,4438,100.7,111.7,1048,90.2,9,22,29.0,3613,210,16759,16790,5274,2313,211,16690,16661,924,106.8,0.0,4642,479,36.1,96.5,35.2,0.7,0,0,7,0,0,80.8,31.9,41,136,,15827,42.7,3
Bid,47530,39453,19082,99.5,101.7,1483,78.4,6,12,33.3,14320,2298,46985,47003,8591,2436,328,46417,42966,961,91.2,0.0,16565,4102,86.1,92.9,10.0,5.2,0,0,23,0,371,35.6,15.2,499,216,,43528,37.6,4
Brihan Mumbai,220969,97363,58194,72.3,85.0,4741,79.5,2,29,6.5,78718,10624,147457,147488,22309,25811,1690,146623,119103,930,80.6,0.8,200782,3981,75.9,90.4,23.0,8.9,0,0,11,0,22862,32.5,10.5,1195,522,,168942,16.3,161
Buldana,50358,41713,15311,85.4,93.7,1704,86.5,186,47,79.8,22889,5124,41152,41385,1840,2067,405,40921,38305,922,51.2,0.0,2377,271,52.9,95.2,2.9,0.6,0,0,55,0,287,21.6,6.6,36,1083,,46351,45.8,12
Chandrapur,31366,27475,8465,114.8,104.3,1571,82.0,34,68,33.3,10535,0,30866,30968,3813,5528,557,27532,26205,900,103.3,0.3,15996,335,81.8,82.7,18.4,1.2,0,0,1,1,220,28.7,12.8,62,33,,30865,50.3,9
Dhule,44045,36610,21442,96.4,98.5,2005,100.0,198,35,85.0,11767,677,39707,39940,2318,1009,466,36813,36033,923,100.5,0.0,6484,344,55.3,91.0,0.6,0.0,0,0,1,0,123,27.4,6.5,19,520,,38608,31.5,5
Gadchiroli,18281,16496,5286,97.1,95.0,588,92.9,786,169,82.3,648,170,16081,17036,2148,207,363,16708,16482,923,94.6,0.0,3118,183,34.9,86.9,4.2,0.6,0,0,0,4,16,50.9,7.5,55,545,,16772,34.8,6
Gondiya,19816,17312,6312,89.8,89.7,195,87.8,17,6,73.9,2424,547,17359,17382,3490,1264,257,17168,14298,927,90.6,0.0,3135,308,41.2,97.7,9.1,0.3,0,0,2,0,27,26.9,4.4,20,345,,19056,48.3,9
Hingoli,23580,20854,8407,87.5,94.2,945,76.1,26,58,31.0,4121,360,16819,16903,1978,853,174,16771,15257,901,96.4,0.0,11675,123,52.5,100.0,6.0,0.8,0,0,27,0,222,59.2,23.3,24,252,,19934,31.9,7
Jalgaon,81322,69491,30161,87.8,95.8,2767,100.0,26,7,78.8,39747,12062,69692,69725,2880,4294,414,69209,67741,919,79.3,0.0,1071,644,54.2,96.3,4.8,1.0,0,0,10,0,827,29.5,15.2,210,327,,69549,41.6,7
Jalna,42751,35957,10997,93.9,97.4,819,71.0,8,22,26.7,15645,7097,31422,31452,634,3392,394,30385,29868,905,86.6,0.3,3512,309,53.5,90.0,1.0,1.0,0,0,20,0,614,30.5,18.0,313,382,,37591,41.5,0
Kolhapur,60447,52777,20491,97.3,99.0,1864,99.5,10,6,62.5,26194,2357,45963,45979,4795,13286,329,44824,40933,879,78.9,0.0,18437,1788,93.9,89.4,13.5,1.6,0,0,33,0,4080,14.0,14.6,104,857,,59852,52.3,6
