Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_West Bengal,"1,887,862","817,886","1,209,209","1,582,264","1,143,967",,,"588,723","25,019","563,704","757,402","36,819","868,688","1,457,411","98,571","62,892","1,532,493","25,621","196,220",,846,"25,847","50,044","40,940","268,224","309,164","85,475","4,782","9,103,607","52,990,613","1,105,810","1,682,846","1,392,841","1,265,472","1,180,606","1,393,253","1,226,114","11,721","25,913","1,026","32,127"
Bankura,"87,133","33,209","78,784","61,823","43,304",,,"14,131",133,"13,998","39,487","36,531","42,389","56,520","2,909","1,291","56,432","1,067","13,170",,907,507,120,"2,536","14,366","16,902","2,292",11,"487,629","2,660,625","46,979","65,979","56,038","51,173","46,985","54,002","49,957",138,,,"1,549"
Bardhaman,"148,390","67,507","96,639","135,382","79,368",,,"27,057",,"27,057","58,250",,"96,432","123,489","7,111",305,"127,975","2,346","15,651",,952,"4,276","6,253","2,644","30,487","33,131","7,649",180,"545,906","3,879,093","91,975","146,092","105,467","97,034","90,597","119,741","79,664",844,,,"3,100"
Birbhum,"88,657","38,369","55,707","76,625","61,718",,,"24,851",,"24,851","41,470",,"42,082","66,933","3,651","2,729","69,049","1,260","6,173",,921,"1,123",50,"1,436","21,448","22,884","3,070",23,"523,431","2,739,145","50,979","84,430","62,842","56,453","54,882","71,057","66,608","1,774",,,"1,991"
Dakshin Dinajpur,"31,882","9,463","24,370","29,610","10,445",,,"13,987",,"13,987","12,315",,"12,315","26,302","1,862",469,"27,898",538,"5,221",,840,"1,121","1,380",721,"3,752","4,473","1,600",,"165,753","1,071,150","20,541","32,428","28,063","27,036","25,925","28,480","23,414",,,,769
Darjeeling,"41,434","15,821","24,760","30,259","38,010",,,"5,707",304,"5,403","30,298",,"30,558","36,265","3,455",,"34,079",661,"4,817",,938,238,"1,009",929,"3,800","4,729","2,383",,"56,923","519,896","18,680","37,662","32,084","31,441","30,488","31,888","27,929",,,,975
Haora,"107,133","29,189","57,149","68,613","32,175",,,"13,966",502,"13,464","32,288",,"32,288","46,254","3,394","9,557","64,256",741,"9,317",,914,"2,165","5,198","5,184","8,164","13,348","3,137",303,"706,627","3,140,007","41,403","77,063","59,933","53,549","50,182","62,400","60,086",144,,,948
Hooghly,"94,225","43,522","70,372","73,839","63,718",,,"13,524","1,504","12,020","42,684",,"53,248","66,772","8,481","1,999","65,286","1,114","7,318",,913,"1,520","1,860","1,392","13,981","15,373","5,273",89,"493,546","2,645,431","65,772","86,471","73,313","68,816","66,471","73,100","69,465",220,,,"1,355"
Jalpaiguri,"72,475","24,124","51,718","67,632","50,570",,,"26,832",,"26,832","27,518",,"27,518","54,350","2,657","1,842","52,901","1,055","7,902",,965,"1,376","2,791","5,156","5,447","10,603","5,778",,"216,435","1,585,391","51,463","68,401","58,131","49,471","46,846","56,171","41,800",,,,"1,425"
Koch Bihar,"63,173","21,222","37,389","53,254","22,249",,,"25,475",,"25,475","24,942",,"24,942","50,417","1,716","1,659","52,567",947,"7,666",,909,254,798,"1,442","13,402","14,844","6,075",,"729,942","4,117,460","25,751","60,930","47,838","41,036","37,021","54,056","36,898",20,,,"1,564"
Kolkata,"148,882","61,431","98,784","53,025","99,749",,,227,116,111,"69,221",,"69,221","69,448","21,085","6,381","80,139","2,151","21,181",,933,"1,791","9,747","4,861","15,755","20,616","2,435","2,712","162,279","1,400,601","66,329","80,304","43,873","38,079","33,967","46,000","40,625",,,,"2,777"
Malda,"99,203","43,528","53,531","81,551","61,973",,,"53,294",2,"53,292","30,903",,"31,381","84,675","1,427","1,288","86,702","1,365","8,702",,949,"1,603","1,167","1,272","13,311","14,583","3,330",50,"247,149","1,586,185","50,481","95,099","73,114","63,085","56,677","78,456","62,656",698,,,"1,672"
Medinipur East,"89,272","32,206","57,601","77,951","49,583",,,"41,110",966,"40,144","38,975",,"48,590","89,700","3,728","1,625","75,423",879,"5,459",,914,559,"1,092","1,134","15,738","16,872","6,411",5,"391,485","2,850,302","57,979","91,965","82,379","77,066","73,302","78,241","70,443",295,,,"1,319"
Medinipur West,"112,405","54,599","67,346","89,057","50,249",,,"36,203","4,032","32,171","46,306",,"57,107","93,310","6,288","3,332","90,456","1,491","14,874",,905,"1,538","1,226","1,836","25,545","27,381","3,895",335,"576,888","2,417,519","69,610","104,726","90,724","84,839","77,056","84,381","79,618",76,,,"2,191"
Murshidabad,"173,436","121,999","105,686","144,315","148,199",,,"90,249","15,096","75,153","68,065",288,"73,501","163,750","6,213","2,832","214,531","2,497","19,026",,496,"3,022",766,"2,011","31,906","33,917","6,176",127,"579,704","4,207,337","123,224","159,208","132,783","114,734","102,111","124,477","108,114","4,238",,,"2,592"
Nadia,"87,608","39,778","67,861","78,301","64,258",,,"15,442",,"15,442","54,748",,"54,748","70,190","10,440","4,979","78,014","1,347","12,356",,931,"1,943","8,440","1,288","16,757","18,045","5,334",149,"523,172","3,840,259","59,208","82,442","73,205","66,821","60,662","73,240","69,434","2,340","24,903",,"1,652"
North 24 Parganas,"147,786","68,040","78,518","209,462","79,692",,,"37,026",235,"36,791","64,608",,"96,643","133,669","5,764","22,302","126,407","2,620","12,482",,898,"1,388","4,142","1,736","13,111","14,847","4,558",786,"828,710","5,344,229","103,606","134,269","132,883","128,939","126,525","124,396","122,035",36,,,"1,025"
Puruliya,"66,988","32,124","47,952","57,433","28,773",,,"24,356",171,"24,185","29,299",,"29,511","53,867","1,584",302,"53,862","1,175","10,858",,910,"1,288","1,970","1,387","9,312","10,699","7,707",12,"266,939","2,855,570","42,050","58,340","52,813","49,472","46,692","50,435","48,222",194,,,"2,065"
South 24 Parganas,"157,939","55,755","98,946","130,942","102,568",,,"86,068","1,840","84,228","27,985",,"28,174","114,242","4,158",,"120,321","1,160","6,790",,914,135,975,"3,403","3,635","7,038","6,408",,"1,426,684","4,917,685","75,571","141,449","125,303","111,252","100,876","120,792","108,683",151,"1,010","1,026","1,614"
Uttar Dinajpur,"69,841","26,000","36,096","63,190","57,366",,,"39,218",118,"39,100","18,040",,"18,040","57,258","2,648",,"56,195","1,207","7,257",,889,,"1,060",572,"8,307","8,879","1,964",,"174,405","1,212,728","44,209","75,588","62,055","55,176","53,341","61,940","60,463",553,,,"1,544"
