Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttarakhand,"243,301","117,168","178,273","209,578","69,158","20,003","5,074","76,964","45,789","31,175","50,713","31,339","54,825","131,789","3,017",839.0,"110,665","2,579","24,363","28,251",947,"5,362","10,892","3,868","29,554","33,422","79,239","2,099","602,196","6,924,999","97,890","201,903","204,952","190,381","190,376","171,828","208,407",186.0,"7,857","10,266",157.0
Almora,"12,550","4,631","18,908","11,644","5,948",443,88,"5,354","3,842","1,512","2,473","1,875","2,473","7,827",271,,"6,341",136,"5,724","1,764",902,40,278,454,"3,042","3,496","8,277",,"31,740","417,770","4,927","10,792","12,201","11,670","11,438","10,887","25,673",,514,478,2.0
Bageshwar,"5,329","2,536","2,967","4,064","1,697",75,47,"2,408","1,631",777,"1,260","1,157","1,260","3,668",,,"1,980",34,21,3,957,34,38,662,632,"1,294","1,061",4,"5,089","27,197","1,311","5,669","5,285","5,127","5,186","4,863","4,973",,,,
Chamoli,"9,042","6,400","4,718","5,900","5,902",689,369,"2,318","1,321",997,"1,685",788,"1,794","4,112",620,14.0,"1,706",382,391,"1,313","1,005",44,"1,118",998,"3,591","4,589",612,4,"58,130","423,232","4,634","6,212","6,790","6,380","6,310","3,608","8,041",95.0,62,82,6.0
Champawat,"5,394","2,583","4,331","5,292","4,183",117,34,"1,511","1,039",472,"1,068","1,040","1,068","2,579",2,,"3,782",85,417,"1,065","1,007",3,52,14,"1,351","1,365",932,,"9,048","82,311",954,"4,866","5,510","4,159","3,994","4,815","5,353",,,111,
Dehradun,"35,188","27,358","29,469","34,503","18,420","2,736",574,"2,596","1,041","1,555","13,726","3,946","13,771","16,367",983,,"5,565",147,113,464,"1,003",993,"3,433",400,"3,530","3,930","8,959",17,"66,641","637,306","12,449","34,300","32,129","30,181","31,759","29,992","27,231",,"1,507","1,288",13.0
Garhwal,"16,580","5,492","8,704","11,438","7,635",829,255,"6,285","4,908","1,377","2,702","1,115","2,770","9,055",184,6.0,"10,740",30,"2,773","3,086",951,52,"1,038",156,"2,529","2,685","6,078",,"24,187","513,773","14,486","13,365","16,793","10,425","10,135","5,744","21,062",,"1,402","1,390",1.0
Hardwar,"51,489","19,983","29,541","39,670","3,263","7,996",801,"18,456","8,838","9,618","12,178","4,279","15,795","34,251",173,669.0,"23,631",559,"4,491","10,503",977,"1,283","1,494",110,"2,840","2,950","19,437","1,364","123,576","2,084,409","16,041","37,810","36,683","32,719","31,622","32,200","31,906",11.0,606,"1,871",15.0
Nainital,"20,810","10,844","21,425","19,442","4,552","1,253",400,"8,935","5,318","3,617","4,307","2,339","4,426","13,361",367,124.0,"14,075",251,"4,337","2,657",908,292,"1,747",383,"1,338","1,721","3,667",,"49,192","558,022","9,918","18,567","19,630","19,086","18,439","16,066","17,900",,"2,259","2,966",9.0
Pithoragarh,"11,694","3,483","9,427","9,849","2,573",523,290,"4,893","3,463","1,430","1,987","2,088","1,987","6,880",115,,"8,095",186,"3,124","2,964",839,79,65,74,"2,473","2,547","3,159",,"33,142","462,800","2,688","10,433","10,425","10,568","10,461","9,926","11,131",,341,546,25.0
