Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Maharashtra,2185856.0,1247223.0,1513837.0,2031853.0,1206280.0,,,296987.0,157097.0,139890.0,468015.0,11486.0,1460056.0,1757043.0,41106.0,77046.0,1652683.0,28414.0,563430.0,,886,59843.0,90897.0,37544.0,498091.0,535635.0,293965.0,101504.0,3692350.0,30886671.0,982214.0,2004914.0,1822273.0,1749968.0,1855253.0,1730804.0,1703543.0,1013.0,3758.0,297.0,22940.0
Ahmednagar,89826.0,57926.0,74719.0,77370.0,70593.0,,,5015.0,3222.0,1793.0,17214.0,,22338.0,27353.0,1068.0,3881.0,76327.0,978.0,14659.0,,825,4819.0,3774.0,137.0,23221.0,23358.0,19962.0,2552.0,187447.0,1175779.0,28076.0,85804.0,79609.0,74762.0,75288.0,63684.0,71438.0,12.0,,,752.0
Akola,35184.0,26115.0,24795.0,22829.0,11686.0,,,4443.0,2873.0,1570.0,8676.0,,23733.0,28176.0,154.0,695.0,26533.0,261.0,7565.0,,847,1229.0,2283.0,1748.0,5992.0,7740.0,4496.0,1334.0,72486.0,574559.0,11248.0,31670.0,27753.0,26150.0,30660.0,30313.0,28564.0,2.0,,,255.0
Amravati,52399.0,39818.0,69654.0,49404.0,44484.0,,,9648.0,4640.0,5008.0,9980.0,922.0,33752.0,43400.0,96.0,2202.0,67932.0,1594.0,35568.0,,885,1601.0,4075.0,2705.0,16939.0,19644.0,10304.0,1553.0,111224.0,1130212.0,24364.0,50833.0,66695.0,65235.0,44639.0,45280.0,64521.0,68.0,,,946.0
Aurangabad,22878.0,15177.0,16228.0,22551.0,8617.0,,,4336.0,2014.0,2322.0,6063.0,443.0,16616.0,20952.0,383.0,1067.0,17082.0,220.0,1815.0,,814,692.0,492.0,283.0,6372.0,6655.0,3361.0,316.0,48156.0,364785.0,4242.0,20624.0,19866.0,19068.0,20267.0,20480.0,21294.0,,,,651.0
Bhandara,22442.0,16130.0,19543.0,20452.0,6206.0,,,5520.0,3290.0,2230.0,10326.0,,11306.0,16826.0,1591.0,255.0,16602.0,386.0,3697.0,,922,602.0,818.0,1928.0,5001.0,6929.0,3414.0,188.0,49263.0,427735.0,8357.0,21668.0,19683.0,19793.0,19877.0,19555.0,15707.0,1.0,,,264.0
Bid,48975.0,30804.0,36773.0,45231.0,28044.0,,,11215.0,5160.0,6055.0,17220.0,,31437.0,42652.0,667.0,215.0,42505.0,556.0,5726.0,,761,1786.0,1152.0,120.0,13085.0,13205.0,10051.0,1342.0,127112.0,919930.0,16907.0,47802.0,48952.0,47378.0,46452.0,39392.0,44761.0,97.0,1286.0,,726.0
Brihan Mumbai,198982.0,19733.0,56607.0,178734.0,9025.0,,,4680.0,4680.0,,,,175460.0,180140.0,,16357.0,143560.0,2085.0,70074.0,,891,,4764.0,3760.0,51675.0,55435.0,1322.0,39096.0,209331.0,4750218.0,134304.0,186631.0,171561.0,159131.0,186258.0,169024.0,143303.0,44.0,,,
Buldana,48553.0,33646.0,39107.0,46880.0,18537.0,,,9337.0,6232.0,3105.0,11156.0,1635.0,31674.0,41011.0,508.0,1119.0,39141.0,637.0,6540.0,,814,1795.0,1549.0,427.0,10779.0,11206.0,6059.0,1797.0,8183.0,997939.0,19462.0,42096.0,43881.0,42228.0,41896.0,40925.0,50642.0,,,,1000.0
Chandrapur,45811.0,31457.0,37198.0,42860.0,29008.0,,,9292.0,4299.0,4993.0,15387.0,,29318.0,38610.0,1739.0,3098.0,38636.0,885.0,7091.0,,909,1998.0,1902.0,2980.0,9917.0,12897.0,7305.0,610.0,89962.0,859061.0,16677.0,42663.0,41348.0,39050.0,40264.0,37758.0,67658.0,10.0,,,612.0
Dhule,45610.0,22350.0,36469.0,42190.0,75756.0,,,12258.0,7108.0,5150.0,12591.0,,19983.0,32241.0,374.0,354.0,33905.0,477.0,6485.0,,841,702.0,1069.0,1064.0,11463.0,12527.0,6037.0,417.0,95320.0,965989.0,10221.0,41617.0,34772.0,34348.0,35978.0,35793.0,37145.0,,,,498.0
Gadchiroli,22749.0,14902.0,20323.0,8530.0,16526.0,,,8442.0,4295.0,4147.0,8335.0,,9733.0,18175.0,1007.0,238.0,17017.0,510.0,2499.0,,929,538.0,362.0,2636.0,5498.0,8134.0,2986.0,88.0,51696.0,436769.0,12943.0,21519.0,20406.0,20315.0,21453.0,18396.0,24627.0,6.0,,,430.0
Gondiya,24326.0,15651.0,21977.0,6096.0,17429.0,,,8338.0,3924.0,4414.0,8790.0,,10307.0,18645.0,1085.0,269.0,17610.0,531.0,2608.0,,920,524.0,320.0,2791.0,5978.0,8769.0,3492.0,84.0,62644.0,550059.0,14163.0,22435.0,20979.0,21112.0,22918.0,20155.0,28897.0,1.0,,,361.0
