Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Hanumangarh,"43,225","37,132","16,683",40.8,37.3,"1,203",58.1,164,326,33.5,"21,475","1,887","40,936","41,426","1,459","2,265",663,"40,083","39,962",970,42.8,0.0,"9,669",335,29.8,78.5,13.9,0.0,0,0,4,1,360,51.3,27.3,14,"2,321",,"39,102",1.2,3
Jaipur,"230,405","124,296","43,611",13.7,51.4,"4,366",62.6,192,244,44.0,"46,943","4,346","134,351","134,787","23,291","12,541","2,515","120,996","104,720",938,17.9,0.1,"30,557","1,303",16.9,93.9,17.1,0.4,0,0,27,1,"1,191",69.6,16.8,108,"6,962",,"120,099",8.3,0
Jaisalmer,"18,773","10,610","6,817",15.9,82.1,353,52.3,986,838,54.1,42,0,"15,336","17,160",117,0,355,"15,490","15,694",938,22.7,0.0,636,329,36.9,85.4,0.1,0.0,0,0,0,0,0,51.9,24.5,7,958,,"15,903",11.2,0
Jalor,"49,334","23,695","21,358",15.5,45.8,745,53.3,216,"1,014",17.6,"22,040","1,228","43,157","44,387",214,"1,611","1,039","43,468","41,721",950,19.2,0.0,"5,689",121,13.3,66.9,1.1,0.1,0,0,3,0,114,20.0,8.3,10,"1,408",,"42,147",11.5,8
Jhalawar,"29,849","22,873","8,492",34.7,61.9,"1,130",58.1,40,193,17.2,"2,076",618,"29,728","29,961","2,850",874,689,"29,428","28,021",942,17.7,0.3,"5,350",65,6.1,66.2,6.8,0.0,0,0,24,0,0,48.9,13.4,16,"2,610",,"29,583",-0.8,4
Jhunjhunun,"41,783","31,104","12,478",16.5,66.8,335,59.1,15,5,75.0,"17,566","2,419","30,191","30,211",117,"2,971",293,"30,042","27,496",948,21.4,0.0,"4,793",213,26.3,86.9,4.0,0.0,0,0,2,0,56,26.8,26.9,12,"1,167",,"38,453",4.8,1
Jodhpur,"121,010","62,787","23,446",20.2,60.6,"3,262",66.3,882,"4,426",16.6,"4,310","1,055","70,140","75,448","10,118","1,694","1,397","70,238","57,685",954,13.9,0.0,"2,643","1,672",37.9,79.5,13.0,0.2,0,1,7,0,"1,469",48.4,15.1,42,"3,417",,"72,989",16.9,0
Karauli,"39,841","25,947","17,769",20.3,55.2,565,69.2,124,470,20.9,"6,469",627,"27,787","28,381",234,"1,119",345,"28,108","26,648",905,22.2,0.0,"12,356",243,17.6,98.8,6.3,0.1,0,0,0,3,20,43.0,17.7,6,"3,179",,"33,421",-7.4,0
Kota,"50,118","36,424","14,295",16.4,61.1,481,43.6,59,170,25.8,"11,351",0,"38,336","38,565","5,914","2,774",575,"37,023","34,835",896,28.5,0.0,"5,632",398,21.3,83.4,22.0,0.7,0,0,30,1,387,81.3,17.4,14,"3,186",,"37,002",2.5,58
Nagaur,"77,427","55,919","29,334",30.1,44.7,864,45.1,195,637,23.4,"15,159","5,746","57,174","58,006","1,609","2,729",692,"55,346","54,327",971,26.7,0.1,"17,939",636,20.3,98.0,9.0,0.0,0,0,41,1,9,43.0,17.8,5,"2,564",,"66,252",5.3,4
Pali,"49,741","34,472","17,650",17.1,60.7,596,50.3,74,327,18.5,"7,889",456,"39,305","39,706","2,078","1,298",783,"36,470","36,555",939,20.6,0.0,"9,936",504,30.5,86.1,11.1,1.4,0,1,3,1,21,59.4,13.3,62,"2,498",,"46,161",-6.9,2
Pratapgarh,"20,747","11,484","7,169",14.0,52.7,76,19.4,44,152,22.4,332,39,"17,420","17,616",68,0,475,"16,203","16,605",922,37.8,0.0,"4,432",15,2.5,53.3,14.7,0.1,0,0,0,2,0,56.7,23.7,1,842,,"17,383",-3.5,3
Rajsamand,"31,367","23,391","7,616",43.7,35.7,320,36.5,313,610,33.9,"2,184",0,"20,243","21,166",293,417,393,"20,715","20,047",945,46.6,0.0,"2,771",511,19.6,82.0,29.6,0.7,0,0,2,2,0,59.1,30.6,33,"1,697",,"30,030",-42.3,0
Sawai Madhopur,"39,562","24,983","14,115",21.1,58.0,265,34.1,98,41,70.5,"11,340","3,218","33,083","33,222","1,162",805,392,"31,918","30,479",926,13.9,0.0,"8,598",236,12.4,89.4,7.1,0.0,0,0,3,0,68,46.1,18.7,7,"1,922",,"32,032",10.8,1
Sikar,"57,834","43,072","19,140",15.6,58.4,645,50.2,144,86,62.6,"24,933","6,201","45,263","45,493","2,100","4,683",471,"44,812","42,840",946,17.1,0.1,"7,801",505,34.4,80.2,2.7,0.0,0,0,18,0,250,43.6,30.3,43,"5,129",,"51,448",-9.7,0
Sirohi,"27,516","16,040","11,624",27.2,32.8,254,39.2,65,203,24.3,"7,587",518,"25,480","25,748",998,702,728,"24,703","23,633",955,27.5,0.0,"5,638",329,30.0,77.5,8.3,0.0,0,0,8,0,214,29.3,18.3,0,"2,318",,"23,292",5.0,1
Tonk,"30,521","25,289","11,627",29.0,43.3,601,75.3,20,67,23.0,"5,111",562,"27,014","27,101","1,304",287,443,"26,668","26,249",944,24.4,0.0,"4,754",165,9.5,95.2,6.5,0.0,0,0,3,0,0,38.4,17.1,0,"1,256",,"26,985",-1.8,2
Udaipur,"133,890","62,032","33,989",17.9,45.1,"1,262",47.0,"1,631","4,288",27.6,"5,524",772,"62,969","68,888","6,546","1,783","1,605","67,125","57,384",935,21.8,0.0,"10,249",781,14.5,86.9,11.7,0.7,0,0,5,44,106,47.9,18.9,55,"5,486",,"75,998",-7.2,12
