Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Uttar Pradesh,"5,406,172","3,143,576","3,994,788","5,024,642","3,470,665","453,044","78,231","1,775,451","1,100,207","675,244","2,438,220","1,671,496","2,494,494","4,269,945","86,521","28,856","4,229,340","47,372","1,081,059","2,830,031",907,"34,295","62,436","9,046","404,104","413,150","1,526,610","31,016","4,688,468","56,637,053","2,394,149","5,118,392","5,129,170","4,802,410","4,754,865","4,495,592","4,459,457","2,047","540,091","475,372","1,291"
Agra,"126,415","29,869","68,840","115,002","38,078","1,374",378,"33,946","29,327","4,619","39,179","34,405","40,672","74,618","1,152",120,"104,664",866,"25,833","62,691",871,"2,306",928,113,"8,867","8,980","33,379",238,"66,283","1,630,490","41,118","111,079","108,532","102,280","99,899","97,842","97,842",,"2,008","3,033",
Aligarh,"82,601","49,663","62,769","74,176","58,646","6,349",216,"25,322","12,836","12,486","33,317","33,317","42,227","67,549",223,20,"47,371",366,"25,123","33,117",803,497,"2,472",78,"4,935","5,013","19,050",,"22,162","617,715","36,343","82,433","85,932","75,694","76,997","76,406","75,970",,"1,339","2,602",20
Allahabad,"143,495","64,711","107,619","129,842","83,110","9,545","1,152","35,222","17,848","17,374","70,430","49,344","70,430","105,652","1,221","3,400","117,575",653,"41,715","57,945",934,477,939,403,"15,098","15,501","15,906",584,"117,721","644,816","38,862","150,282","151,457","138,725","130,486","114,509","114,509",,"15,754","11,397",
Ambedkar Nagar,"60,195","58,764","49,345","58,219","34,141","9,089","4,313","39,429","31,878","7,551","28,939","34,814","28,939","68,368",157,,"68,641",59,"14,546","39,909",793,,,73,"3,956","4,029","16,555",,,"93,072","51,904","53,710","59,330","56,304","54,993","52,360","51,381",260,"3,622","1,322",19
Auraiya,"36,410","16,448","33,232","33,678","16,291",,,"11,265","9,635","1,630","18,368","18,359","19,964","31,229",4,,"30,790",56,"4,616","21,911",702,5,6,7,"1,945","1,952","17,337",,"5,030","309,017","11,999","35,114","37,145","35,404","33,645","30,299","30,299",,,48,
Azamgarh,"107,385","33,488","64,086","87,573","27,654",277,66,"27,385","18,545","8,840","53,882","33,324","54,096","81,481",602,2,"82,130",371,"14,272","80,817","1,019",10,199,78,"8,826","8,904","17,603","1,913","66,195","805,470","39,862","111,144","105,988","99,315","95,604","83,301","80,612",,"174,198","8,557",
Bagpat,"37,957","28,604","29,722","37,793","29,370","1,624",233,"12,982","7,114","5,868","16,691","6,293","16,715","29,697",391,,"26,924",87,"10,992","22,808",715,175,5,44,"3,632","3,676","11,610",122,"84,570","327,721","24,346","40,128","40,577","40,439","39,817","38,595","35,492",,998,529,
Bahraich,"92,853","82,919","60,849","80,834","51,528","22,078","12,705","23,008","16,035","6,973","45,286","41,657","45,862","68,870",987,,"65,444",54,"20,119","42,586",923,"1,158","1,950",44,"4,852","4,896","28,192",,"16,124","807,689","29,927","62,036","67,726","63,709","60,330","61,371","61,362",,,,
Ballia,"69,522","12,541","59,198","60,989","18,789",,,"27,216","13,252","13,964","42,290","16,986","42,290","69,506",120,,"69,080",152,"10,440","42,124",906,,2,38,"6,643","6,681","19,078","4,120","125,818","454,060","36,368","76,561","76,980","74,272","67,262","65,322","65,322",,,,
Balrampur,"54,714","37,930","41,328","52,499","37,365","12,082",,"32,820","18,355","14,465","20,242","19,975","20,242","53,062",161,436,"54,856",121,"19,003","42,229",911,,,17,"1,839","1,856","17,168",,"45,996","552,815","40,618","51,744","55,017","52,574","51,664","50,442","50,442",,"1,601","1,384",
Banda,"49,865","17,730","28,803","39,160","48,128","18,552",795,"4,789",,"4,789","34,647","16,209","34,647","39,436",45,292,"38,610",768,"1,579","33,559",932,849,623,44,"4,351","4,395","18,113",77,"48,082","610,951","23,985","42,721","45,306","40,633","38,846","35,498","35,498",,"1,046","3,865",389
Barabanki,"91,301",,"59,198","81,612","51,570","6,288",461,"38,013","25,913","12,100","54,531","14,889","54,531","92,544","1,835",,"72,943",563,"26,974",,864,"2,407","2,109",14,"4,215","4,229","23,200",,"29,990","500,002","44,814","81,479","79,322","73,645","70,568","67,567","67,567",,,,
Bareilly,"107,856","107,422","68,162","121,501","66,577","3,627",193,"71,664","21,723","49,941","31,252","3,718","31,252","102,916","1,247",26,"106,733",327,"89,983","1,363",895,265,836,215,"4,432","4,647","18,624",238,"50,766","1,207,178","32,310","120,639","133,116","125,368","118,082","92,565","92,515",,"3,362","2,720",3
Basti,"75,772","75,772","67,147","66,592","41,419","6,724","3,651","24,102","16,934","7,168","43,290","29,260","43,446","67,548",407,,"69,184",240,"14,046","69,184",923,,,35,"2,112","2,147","19,315",,"64,540","737,900","22,142","70,556","70,104","68,696","66,545","64,662","64,662",,"8,940","7,338",99
Bijnor,"108,363","22,721","74,297","93,126","38,436","7,210",261,"39,764","16,275","23,489","34,021","15,136","34,021","73,785",11,"1,896","85,889",510,"27,184","54,528",864,"1,776",521,23,"2,474","2,497","46,550",,"70,020","1,808,710","46,753","93,330","93,461","91,081","88,636","78,439","107,606",,,,
Budaun,"99,629","97,002","43,484","95,039","67,751","67,751","4,024","30,279","19,706","10,573","54,797","54,980","54,902","85,181",378,,"81,506","1,055","17,130","54,875",987,"2,013","2,237",81,"2,348","2,429","4,899",,,"486,000","60,280","96,520","98,420","90,093","89,787","82,308","82,208",,,,
Bulandshahar,"86,163","60,863","65,212","75,844","50,058","25,681","1,352","30,326","24,694","5,632","38,470","26,327","38,470","68,796",387,,"63,491",336,"17,280","55,507",878,174,"1,356",209,"5,122","5,331","37,586",,"94,838","1,514,400","49,804","100,422","103,258","96,525","99,313","98,937","98,471",,"4,878","8,273",25
C S M Nagar,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Chandauli,"50,793","50,793","41,600","35,871","58,336",,,"14,109",,"14,109","28,821","28,265","28,821","42,930",,,"41,705",246,"11,236",,"1,033",154,,193,"10,747","10,940","9,314",,"68,574","536,835","22,858","58,113","61,644","53,153","47,117","47,661","47,661",,,,
Chitrakoot,"27,808","8,025","16,820","22,043","22,913","2,660",623,"2,871","1,437","1,434","19,965","17,436","19,965","22,836",5,,"21,366","1,279","8,946","19,990",858,"2,237",,53,"7,394","7,447","4,883",,"22,017","543,269","16,412","24,156","23,935","22,509","21,131","19,377","19,281","1,222",850,"4,165",
Deoria,"89,776","22,872","56,531","67,514","49,161","2,238",308,"22,131","12,219","9,912","49,444","45,532","49,444","71,575",578,173,"72,069",785,"24,033","56,928",963,506,624,13,"7,658","7,671","35,505",,"61,495","747,600","26,394","74,513","74,585","70,840","70,021","69,225","69,225",,"9,230","5,201",
Etah,"47,620","2,149","32,403","39,426","44,062",151,70,"14,111","7,935","6,176","17,113","12,898","17,250","31,361",22,,"38,004",165,"7,008","25,707","1,154",198,313,18,301,319,428,15,225,157,"18,026","36,606","42,147","34,779","32,140","30,504","29,376",,256,227,12
Etawah,"36,346","25,256","38,711","37,909","9,565","4,549",977,"5,209","2,939","2,270","25,968","18,701","33,885","39,094",116,,"34,911",284,61,"33,175",781,142,452,11,"2,249","2,260","22,183",,"64,733","742,752","21,043","42,760","41,606","37,036","36,526","29,839","26,555",,"3,406","4,198",1
Faizabad,"59,421","28,409","45,341","53,052","29,391","1,518",248,"12,881","5,744","7,137","38,808","33,756","38,808","51,689","1,975",,"51,134","1,010","10,087","39,522",883,175,113,122,"2,967","3,089","17,622",,"189,697","598,770","33,504","57,122","53,034","49,081","47,097","45,437","45,438",,"6,708","6,391",61
Farrukhabad,"41,222","17,492","26,286","46,307","46,496","2,173",389,"18,695","10,183","8,512","14,963","6,118","14,963","33,658",516,,"26,644",318,"7,803","20,252",839,106,737,36,"1,803","1,839","18,064",,"24,486","546,025","21,140","45,428","47,978","43,753","48,062","37,417","40,614",,"2,100","2,366",15
Fatehpur,"70,840","28,885","56,784","59,533","24,417","6,774",371,"20,228","11,520","8,708","34,735","20,059","34,735","54,963",154,,"59,816",313,"19,823","39,624",889,"1,357",512,267,"3,935","4,202","18,877",30,"17,176","661,103","33,249","67,863","67,075","62,907","64,882","65,172","65,172",2,"1,781","7,300",85
Firozabad,"69,774","49,621","44,482","66,062","38,151",,,"25,391","14,320","11,071","24,625","24,443","29,482","54,873",88,,"53,726",183,"14,466","53,471",920,5,"1,284",5,"3,133","3,138","16,349",,"24,260","159,090","34,925","71,860","66,242","62,349","59,604","59,082","59,082",,405,610,
Gautam Buddha Nagar,"40,001","40,001","32,722","35,863","29,448",572,200,"14,725","5,447","9,278","11,424","7,945","11,424","26,149",157,"5,503","37,829",60,"2,397","8,902",849,16,429,22,"2,819","2,841","16,751",,"69,519","1,005,722","40,005","42,579","40,386","37,188","37,604","36,623","36,623",,"3,783","3,403",
Ghaziabad,"118,298",,"97,056","108,939","86,801",,,"32,534","13,585","18,949","19,076",,"19,076","51,610",235,,"86,135",156,869,,886,"2,287","2,287",244,"5,507","5,751","22,074",33,"82,163","640,167","59,585","114,546","111,923","104,541","108,038","116,981","116,981",,219,"2,327",
Ghazipur,"93,698","92,748","69,550","69,110","79,060","60,534","18,069","55,913","45,965","9,948","54,828","45,036","54,828","110,741",494,,"83,017",291,"18,271","70,607",833,36,399,25,"9,802","9,827","10,845",,"35,422","355,703","34,458","94,268","94,289","90,995","95,623","69,278","67,178",,"2,272","5,741",
Gonda,"100,828","50,527","73,549","87,704","41,655",,,"43,303","34,381","8,922","36,940","31,934","41,578","84,881",674,355,"77,912",371,"15,189","28,481",912,12,137,8,"9,461","9,469","25,106","12,213","13,000","1,769,733","26,354","89,947","90,513","84,711","79,456","74,239","67,740",,"5,002","3,422",
Gorakhpur,"116,384","36,226","84,896","103,692","59,973",,,"35,365","20,820","14,545","54,097","20,439","54,097","89,462","1,317",,"90,117","1,348","12,445","90,117",954,464,466,99,"11,891","11,990","35,102",,"54,642","833,207","43,346","110,784","107,963","100,730","97,248","93,053","91,826",5,,,
Hamirpur,"30,415","15,921","27,193","28,304","21,989","5,428",258,"2,733","1,773",960,"18,833","7,849","18,833","21,566",2,,"23,026",213,"9,557","16,646",862,120,"2,212",41,"3,164","3,205","15,784",,"52,745","671,372","22,013","29,976","30,478","28,469","27,132","27,161","27,161",,"1,061","4,143",
Hapur,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Hardoi,"121,726","53,680","120,386","106,284","78,716","9,446",746,"46,142","38,497","7,645","55,857","54,195","57,322","103,464","1,016",,"108,592","1,586","25,493","93,138",929,560,"1,270",134,"11,669","11,803","40,758",,"48,273","704,806","74,960","109,293","105,386","97,013","93,148","90,317","90,317",,"6,024","6,703",172
Hathras,"47,753","21,541","39,969","41,833","41,549","1,172",198,"21,297","8,841","12,456","18,577","14,245","19,803","41,100",64,,"40,970",329,"6,459","35,322",851,"1,152","2,323",20,"5,195","5,215","19,193",,"105,158","795,980","22,247","41,297","39,950","38,487","41,099","40,828","40,828",,"2,990","6,688",24
Jalaun,"45,409","29,682","32,845","41,949","35,302","7,996",840,"5,774","4,430","1,344","22,877","22,249","23,009","28,783",50,,"28,803",445,"8,446","27,854",913,772,"1,887",37,"3,586","3,623","15,330",,"75,603","1,085,284","24,913","43,216","43,153","42,095","41,099","35,657","35,175",,"1,298","1,972",
Jaunpur,"129,033","114,505","115,490","117,540","26,101","4,186",652,"48,747","37,713","11,034","64,029","44,552","64,029","112,776","1,366",,"108,671",433,"31,975","39,597",958,527,948,37,"12,903","12,940","38,320",,"75,080","1,459,200","46,228","130,170","130,050","122,528","123,151","119,842","120,042",,"11,321","5,933",54
Jhansi,"59,287","55,763","29,518","52,256","36,820","1,655",169,"7,453","2,552","4,901","24,837","25,804","29,993","37,446",63,,"40,644",306,"5,658","37,158",781,328,891,23,"10,288","10,311","35,024",,"63,789","1,040,942","23,468","55,411","57,937","57,592","55,343","55,742","55,742",,"1,146",969,9
Jyotiba Phule Nagar,"49,514","45,330","44,318","40,371","29,036",46,4,"24,443","11,005","13,438","15,412","14,800","15,412","39,855",21,,"36,414",386,"3,828","35,922",945,,,59,"5,851","5,910","13,161",,"86,932","710,491","26,152","44,619","42,472","40,499","40,110","38,297","38,297",,"2,856","1,979",
Kannauj,"104,580","43,615","41,893","38,736","26,633",152,6,"17,465","11,103","6,362","21,156","18,378","21,156","38,621",56,,"33,195",211,"6,068","34,829",922,101,135,37,"3,100","3,137","18,071",,"132,404","42,000","19,853","47,337","49,398","47,913","45,262","46,870","46,871",,"3,463","2,582",
Kanpur Dehat,"54,259","13,777","39,670","63,463","78,312","2,466",622,"12,969","1,163","11,806","25,820","23,515","25,820","38,789",101,,"36,499",80,"3,286","23,573",669,70,57,188,"1,595","1,783","24,541",,"100,870","720,700","35,213","52,321","46,560","44,681","46,254","28,600","15,685",,92,"1,510",
Kanpur Nagar,"102,413","12,233","100,632","285,098","43,824","14,192",998,"17,262","14,846","2,416","42,480","27,593","42,480","59,742","3,124",,"65,769",874,"9,168","31,664",908,194,"3,031","1,088","6,592","7,680","35,816",,"83,330","990,086","68,025","140,683","134,004","129,084","126,091","115,002","115,011",167,"38,967","15,357",15
Kashi Ram Nagar,"52,389","29,338","45,577","49,235","16,449","7,992",540,"13,015","7,426","5,589","18,877","12,750","18,919","31,934",33,10,"32,394",84,"4,986","26,242",943,163,163,,"3,516","3,516","15,340",,"43,676","861,100","18,323","43,102","43,996","43,212","43,380","43,374","43,374",,"2,778","2,236",8
Kaushambi,"44,458","19,047","39,363","37,842","33,086","19,134",775,"9,011","6,560","2,451","31,622","19,842","31,771","40,782",14,5,"41,286",185,"15,691","27,566",929,,,6,692,698,"11,147",617,"4,925","96,536","20,567","41,390","39,834","38,009","36,700","35,118","25,593",,678,"2,352",
Kushinagar,"102,353","44,472","67,032","73,786","33,680",116,51,"28,474","17,821","10,653","61,252","56,953","61,252","89,726",6,,"85,789",355,"17,707","57,702",915,,55,6,"9,253","9,259","25,171",,"81,870","1,911,120","17,951","105,439","97,707","88,998","82,111","133,571","78,104",92,928,346,3
Lakhimpur Kheri,"110,659","110,659","67,091","91,461","107,974",,,"37,686","26,994","10,692","58,974","56,188","58,974","96,660",925,,"77,824",128,"23,321","5,407",906,"1,812","1,964",62,"8,201","8,263","25,184",,"90,108","520,644","38,592","89,281","96,584","87,191","81,981","72,996","72,996",,,,
Lalitpur,"34,103","29,599","27,908","30,760","16,432","7,542",618,"3,741","3,594",147,"26,510","26,478","26,510","30,251",201,,"30,268",262,"12,070","27,013",923,86,,7,"14,648","14,655","9,184",,"43,453","257,000","18,511","32,358","29,662","26,973","31,336","30,261","30,263",,"2,154","6,911",132
