Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Khargone,46968.0,30482.0,41597.0,43351.0,50726.0,3215.0,23.0,8857.0,1295.0,7562.0,30877.0,30877.0,34883.0,43740.0,1183.0,326.0,43181.0,559.0,14980.0,34201.0,891,225.0,29.0,177.0,11520.0,11697.0,6318.0,,122688.0,2679765.0,30877.0,43181.0,48802.0,48496.0,48715.0,46999.0,46999.0,49.0,3276.0,3154.0,643.0
Mandla,24679.0,7332.0,15551.0,23217.0,24174.0,,,6196.0,875.0,5321.0,14375.0,14375.0,14375.0,20571.0,106.0,,20424.0,150.0,5873.0,19469.0,1007,223.0,432.0,1135.0,8051.0,9186.0,2787.0,,73250.0,661517.0,,23813.0,20924.0,21019.0,20338.0,20706.0,20706.0,,2.0,2.0,
Mandsaur,41372.0,19972.0,33314.0,39619.0,39188.0,,,3388.0,,3388.0,26265.0,25855.0,26482.0,29870.0,700.0,503.0,29220.0,650.0,3029.0,25788.0,961,273.0,151.0,1190.0,22586.0,23776.0,6542.0,,129964.0,3212052.0,33374.0,37126.0,36655.0,34188.0,36658.0,36865.0,35055.0,,,,329.0
Morena,54810.0,24420.0,46588.0,51774.0,50588.0,11744.0,,9625.0,9112.0,513.0,37076.0,37076.0,40826.0,50451.0,10.0,59.0,49252.0,1199.0,24812.0,12499.0,880,45.0,128.0,106.0,9402.0,9508.0,16544.0,,392522.0,5155260.0,49242.0,49242.0,42327.0,43598.0,45607.0,48512.0,33561.0,,550.0,3659.0,172.0
Narsinghpur,24339.0,6570.0,19445.0,16176.0,22512.0,,,7233.0,4261.0,2972.0,17304.0,359.0,17304.0,24537.0,344.0,,24042.0,468.0,8594.0,662.0,933,158.0,214.0,183.0,9092.0,9275.0,3959.0,,129483.0,823706.0,1864.0,24496.0,22347.0,22002.0,21718.0,19787.0,22995.0,,807.0,2093.0,
Neemuch,21647.0,7942.0,18327.0,19226.0,21647.0,2879.0,324.0,3476.0,,3476.0,10520.0,10520.0,15140.0,18616.0,357.0,361.0,18454.0,160.0,2799.0,15140.0,951,43.0,95.0,633.0,3522.0,4155.0,5667.0,,61243.0,624789.0,14979.0,18428.0,18316.0,17138.0,17002.0,20734.0,20734.0,,,8.0,86.0
Panna,32312.0,10870.0,12185.0,27584.0,14095.0,,,3638.0,3136.0,502.0,17737.0,17636.0,17737.0,21375.0,112.0,,21146.0,236.0,4065.0,20710.0,922,14.0,168.0,42.0,6151.0,6193.0,9018.0,,96575.0,469712.0,8066.0,24477.0,48403.0,27671.0,26228.0,22476.0,24671.0,,4384.0,1917.0,56.0
Raisen,39652.0,22615.0,33054.0,36015.0,34194.0,3015.0,820.0,6820.0,4561.0,2259.0,23448.0,14819.0,24595.0,31415.0,13.0,,33929.0,325.0,11231.0,24569.0,905,186.0,485.0,353.0,4597.0,4950.0,11288.0,467.0,166962.0,1907467.0,31462.0,35946.0,36200.0,35088.0,32415.0,35342.0,50308.0,,12.0,216.0,37.0
Rajgarh,45157.0,9021.0,37803.0,43900.0,44784.0,3316.0,652.0,6707.0,1577.0,5130.0,32704.0,10248.0,32863.0,39570.0,65.0,20.0,37018.0,1824.0,12451.0,29588.0,928,588.0,124.0,1.0,6789.0,6790.0,11793.0,,238083.0,3215592.0,38472.0,41943.0,38472.0,34589.0,32554.0,38472.0,22436.0,93.0,83.0,208.0,199.0
Ratlam,30798.0,19653.0,28975.0,33500.0,,,,,,,29473.0,,29491.0,29491.0,556.0,32.0,28967.0,1754.0,12651.0,,872,1418.0,578.0,313.0,2610.0,2923.0,4885.0,247.0,85636.0,929022.0,28479.0,36667.0,36570.0,36446.0,36470.0,35611.0,37448.0,,,,212.0
Rewa,72054.0,20945.0,52919.0,58027.0,55872.0,766.0,163.0,2971.0,1616.0,1355.0,40326.0,4540.0,40326.0,43297.0,,,42787.0,510.0,3995.0,7045.0,950,210.0,173.0,778.0,6693.0,7471.0,41356.0,,282836.0,2339446.0,28822.0,62007.0,52637.0,47352.0,44148.0,59066.0,42787.0,,,,109.0
Sagar,71884.0,23299.0,61146.0,62870.0,49239.0,,,27423.0,3237.0,24186.0,34540.0,2156.0,38349.0,65772.0,644.0,,64771.0,767.0,22002.0,54425.0,961,560.0,633.0,587.0,14275.0,14862.0,14375.0,,107519.0,1351565.0,38689.0,66898.0,58358.0,56884.0,56484.0,60789.0,60789.0,,,,132.0
Satna,57850.0,18344.0,42884.0,55014.0,48189.0,,,10372.0,4065.0,6307.0,49556.0,,49556.0,59928.0,563.0,,59108.0,221.0,9173.0,52630.0,922,238.0,238.0,1008.0,10496.0,11504.0,12215.0,,207681.0,2850186.0,46139.0,63604.0,54890.0,52927.0,51339.0,57082.0,57081.0,,,,243.0
