Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Madhya Pradesh,1841458,1181285,1544692,1485705,1836933,1009843,50773,121432,16539,104893,1101543,113006,1248817,1370249,71172,59588.0,1354479,23265,189957,1283992,937,49590,27971,7250,345809,353059,372213,5601.0,3627561,17703516,1189526,1356284,5773,4732,5180,1538353,1515819,15035,167354,392129,21909
Agar Malwa,13543,10902,13178,12845,13749,5606,56,45,2,43,10382,896,10382,10427,120,,10269,178,919,10113,958,132,424,5,3095,3100,3237,,22019,128619,9595,10071,9,11,22,13133,13084,644,96,165,42
Alirajpur,22178,12400,17699,16928,22166,13214,544,4453,32,4421,12206,1067,12367,16820,69,0.0,16717,149,1966,16389,975,319,181,2,3694,3696,4398,,57239,81755,12367,17378,531,495,508,18749,18058,140,1099,2604,288
Anuppur,17075,11265,13635,13058,16684,12851,1359,1341,647,694,8806,3315,8961,10302,303,95.0,10119,237,1309,10056,949,446,268,88,2795,2883,1952,3.0,22225,55862,7703,9922,1,2,0,13192,13195,60,369,2054,246
Ashok Nagar,23757,15105,19809,20731,27352,13038,432,2291,18,2273,14549,3088,14932,17223,149,195.0,16956,289,2286,16449,959,491,159,2,4477,4479,3399,21.0,37228,115754,13945,16775,21,15,41,19785,17727,88,481,3822,245
Balaghat,31552,22379,26817,27096,31086,22528,369,1643,47,1596,22020,5301,25821,27464,3170,2254.0,27952,544,4319,27189,963,351,107,496,8072,8568,4908,1.0,39288,147546,21887,27211,0,0,0,28514,28369,317,3649,6236,485
Barwani,46648,29936,41828,39416,48684,38651,2048,13927,433,13494,23088,2216,23696,37623,761,432.0,37513,424,4385,36999,941,1402,871,51,9658,9709,8450,,97730,443441,22914,36706,5,2,32,41468,40965,16,4480,15766,959
Betul,31114,22527,27028,26658,32141,19152,927,4064,36,4028,18890,1278,20862,24926,695,952.0,24634,412,2298,24089,935,820,179,38,6028,6066,3368,0.0,126490,932262,19796,24740,0,0,0,27918,27941,0,3405,20149,658
Bhind,36933,18464,28851,33149,36797,23448,1885,2040,10,2030,24876,118,26686,28726,253,623.0,28450,340,3615,27896,928,211,195,104,5291,5395,13372,0.0,57878,87248,28863,28996,99,85,110,31145,31894,200,1490,7911,360
Bhopal,56592,36880,58980,46993,70165,27780,2987,1364,386,978,34492,1177,48549,49913,7300,7418.0,49026,1245,6443,45347,923,7398,1764,2287,10383,12670,9241,3917.0,107500,630767,42974,48579,2324,1756,1850,45867,42533,1053,56853,65427,1398
Burhanpur,20968,13171,18809,17170,20493,11127,239,1844,178,1666,12260,1356,12994,14838,776,309.0,14708,235,2638,14170,948,323,29,45,4845,4890,3424,48.0,80133,170026,12299,15923,4,6,3,17568,17497,1138,893,985,160
Chhatarpur,53931,34882,41749,40809,53931,23987,1699,3657,1249,2408,31384,3850,36032,39689,1083,1625.0,39138,752,5214,37491,921,286,445,29,8629,8658,12386,0.0,93115,507259,35032,37527,0,0,0,40579,40579,0,2497,1770,671
Chhindwada,39237,30686,33371,31435,38242,22478,261,1435,1,1434,30626,7625,31462,32897,2460,394.0,32750,645,3286,31638,957,660,282,116,11829,11945,7514,0.0,51219,153002,31208,32369,1,0,10,35535,35040,0,1735,9000,663
Damoh,36479,22550,27765,26243,44042,14924,532,1778,908,870,21689,2446,22485,24263,904,477.0,23976,388,2379,23368,917,474,459,45,8494,8539,11041,2.0,106589,428810,21761,23787,19,12,9,28045,30761,0,1639,2735,436
Datia,15472,11032,11431,12999,15806,20281,184,1433,0,1433,10753,16,10753,12186,348,,12073,199,2089,12073,895,219,223,10,3701,3711,3923,,19239,69081,10770,12722,6,0,0,13212,13153,18,819,908,457
Dewas,37768,25597,33549,33647,37725,17150,982,601,167,434,23499,697,26694,27295,1282,1189.0,27124,328,4453,26697,966,640,560,52,6459,6511,7448,,76791,533432,25962,27149,9,15,17,34867,33225,121,156,6503,338
Dhar,55559,37591,46776,46783,55716,34822,1235,4201,4,4197,33137,1958,35498,39699,710,1245.0,39156,684,4946,38828,941,3135,1765,64,12882,12946,13907,67.0,112893,648864,33782,38445,186,173,193,50447,50414,0,3402,24038,777
Dindori,20394,17751,17463,18251,20472,20792,1905,2085,828,1257,9221,488,9221,11306,118,,11070,302,1572,10611,944,1608,240,25,5799,5824,5527,,27762,77644,9521,10932,0,0,5,17833,17753,0,119,1552,315
Guna,36749,27722,29145,29440,36305,7165,722,1339,539,800,24110,1857,25832,27171,755,1153.0,26809,399,3981,24557,910,269,272,18,6484,6502,3378,1.0,64391,150086,23106,24134,9,5,7,26993,26436,155,1616,2184,532
Gwalior,49462,28992,46168,39693,51903,37624,1632,1068,12,1056,31239,3179,41602,42670,4643,5820.0,41417,879,5573,36218,906,2670,1096,169,7743,7912,8136,333.0,76137,460009,38763,43605,1,2,7,40623,40793,215,7778,4927,819
Harda,12111,7878,9349,9711,12079,5166,124,1656,14,1642,7433,0,8765,10421,766,844.0,10299,171,901,10142,960,426,602,39,2548,2587,3370,,68794,689921,6868,9959,1,1,2,10246,10231,64,929,281,189
Hoshangabad,22503,13943,19387,18257,22411,12910,433,797,83,714,18155,11,23164,23961,2861,2256.0,23700,334,3444,23689,921,1067,663,67,6494,6561,7173,0.0,120883,1626598,19947,21842,4,4,4,22017,22082,54,2918,10401,348
Indore,80625,46764,63786,66823,80050,25070,676,101,84,17,31778,3065,66286,66387,4907,10148.0,65781,738,7540,51920,964,811,856,251,16992,17243,13752,0.0,149900,642959,57236,62245,124,91,146,69078,68623,68,1945,3976,77
Jabalpur,63909,35479,47907,41020,60538,27408,1699,1744,248,1496,29992,2154,34725,36469,5206,1815.0,36229,313,6727,34285,918,611,2244,113,13597,13710,18458,97.0,99710,759847,32082,36944,444,354,408,39837,40472,1150,11553,12461,789
Jhabua,38282,18958,30221,28178,36923,24746,896,2173,22,2151,31047,10320,31630,33803,252,148.0,33395,630,7159,32615,940,856,607,23,7503,7526,7261,11.0,49405,216873,30695,35333,63,40,38,26006,25928,287,696,6876,398
Katni,28634,18374,27296,23464,30207,16892,795,1813,70,1743,18336,1057,20605,22418,508,1328.0,21980,543,2892,21199,931,592,104,51,5975,6026,8748,13.0,60909,374077,20017,21777,77,64,43,25144,24919,27,1220,5439,459
Khandwa,31979,25673,26860,27395,30801,17303,1758,2593,1458,1135,20318,3670,21645,24238,2242,865.0,24156,376,4356,23041,924,938,827,70,7694,7764,10441,4.0,88215,212430,22771,24400,316,300,295,27230,27242,739,2405,3272,487
Khargone,41783,24127,36279,34417,40463,29110,574,5175,0,5175,27391,1496,28573,33748,2329,876.0,33468,520,5678,32994,962,1210,766,88,10179,10267,8431,19.0,108780,663997,27122,34944,13,27,28,38462,37959,1880,5704,10547,333
Mandla,24600,20166,21185,19130,24382,11468,343,1570,0,1570,13916,199,14794,16364,250,553.0,16030,393,2236,15687,964,307,226,53,3940,3993,3352,0.0,55274,217297,13295,15579,300,235,226,18315,18009,3,861,4889,229
Mandsaur,25727,18889,24278,23994,25625,14975,176,329,4,325,21071,202,22341,22670,2040,821.0,22404,411,5193,20828,951,304,693,49,5992,6041,6047,,89012,235599,20485,20647,0,0,0,24428,24419,162,3095,5176,495
Morena,54491,33132,45053,46750,53459,49966,3679,1197,4,1193,36565,9730,41146,42343,267,1267.0,41762,948,6405,38694,926,1220,602,9,6923,6932,6880,118.0,84026,303341,39596,40966,0,0,1,41486,39587,1700,1284,6857,553
Narsinghpur,24803,16052,21368,19117,24864,14584,627,937,194,743,14617,1562,17999,18936,1425,970.0,18699,274,3992,18533,921,656,265,77,5219,5296,6806,,38930,274703,17330,18255,0,0,0,22100,22084,46,1863,10111,316
Neemuch,16859,13347,14210,14774,16879,6104,454,408,77,331,11464,0,13220,13628,826,59.0,13445,187,717,13439,938,55,119,127,2955,3082,4378,0.0,56310,126524,12347,13034,0,0,0,14756,14398,7,1160,2540,322
Panna,31521,23337,25648,23063,31115,7920,522,1863,796,1067,17410,1120,17410,19273,544,,19088,286,2636,18387,928,376,637,17,4440,4457,8403,,34423,403445,17369,20440,396,335,254,28099,28145,554,678,1510,318
Raisen,34827,26578,32339,30242,36507,24713,2088,2007,17,1990,19544,254,19544,21551,974,,21382,330,2626,21102,954,756,625,217,6448,6665,9167,,120788,306509,20239,22391,10,3,1,33878,32661,18,1225,2011,398
Rajgarh,36463,23103,29928,31368,36514,18472,448,1264,1116,148,22625,528,23064,24328,473,160.0,23950,486,3784,23254,956,586,336,219,5531,5750,5433,,137389,954944,21773,23147,2,2,3,31206,30431,296,2058,9639,353
Ratlam,41147,26118,32339,31176,34842,21764,856,871,194,677,26829,2234,29215,30086,1460,1162.0,29975,316,4545,27670,929,574,695,87,8344,8431,7602,126.0,29393,146744,29044,29252,0,0,0,32796,31486,49,4681,7980,363
Rewa,63429,42607,53019,49109,58748,30298,1041,3510,245,3265,37710,1183,43627,47137,1791,1584.0,46938,539,2640,45809,919,653,278,394,8816,9210,14789,0.0,66969,235977,43901,47743,25,5,13,56535,54656,84,1099,12579,148
Sagar,59048,33530,46819,45822,58194,25688,1337,4301,1025,3276,33609,4862,35768,40069,1473,167.0,39458,647,3424,37071,940,1486,734,257,10172,10429,12179,24.0,130383,764008,37162,45707,224,216,236,51522,51991,90,3090,6608,289
Satna,53030,30455,49295,47370,49157,20569,911,3720,630,3090,31137,1600,36733,40453,2804,1865.0,39703,890,6270,35362,911,2723,1484,299,7865,8164,12565,1.0,71868,234802,35401,39469,26,14,36,45600,45163,58,5376,11702,870
Sehore,35098,24263,30998,27822,32713,24018,1259,1057,0,1057,22211,479,23849,24906,1011,403.0,24471,310,3473,23604,979,2007,1323,237,6200,6437,10334,,126823,474655,23436,25035,0,0,0,31751,31648,934,1406,8153,480
Seoni,28964,20649,22573,24594,26256,20218,392,1005,212,793,19884,550,21185,22190,1733,1064.0,21859,491,3938,20534,954,2397,515,26,5973,5999,6184,78.0,44077,137648,19654,21360,0,0,0,24240,24216,24,2517,6225,504
