Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jharkhand,959918,495766,754716,160766,661398,408109,4835,35125,12700,22425,536542,461137,726106,761231,16810,36954,759132,9442,50569,696437,921,18476,3737,1585,99953,101538,126036,3011.0,784102,3502656,504541,795899,2110,934,1620,809334,805502,6989,56810,208408,4022
Bokaro,56123,32888,46169,8939,32202,12101,139,2039,891,1148,18590,18152,45770,47809,179,1297,47763,211,4536,44052,890,1693,198,142,7705,7847,2590,926.0,35114,126241,31777,50128,0,0,0,49696,49727,362,315,5787,223
Chatra,33233,11379,24305,10722,27784,6800,144,3200,1376,1824,21794,21685,21814,25014,4,0,24916,208,1002,23023,928,72,61,43,2250,2293,3799,0.0,18188,78675,13755,23033,201,137,367,27617,27722,174,11,638,167
Deoghar,42691,25020,30504,6266,33575,12694,106,2165,761,1404,26802,24885,32670,34835,321,2575,34596,358,2042,33763,871,634,239,13,6215,6228,5229,164.0,24389,126077,24166,36075,0,0,0,33837,33593,10,374,5555,103
Dhanbad,72035,23307,64502,10845,33156,5331,94,2057,626,1431,15734,13551,57338,59395,1448,6741,59177,347,2119,42629,946,547,42,17,4772,4789,1771,55.0,33335,70924,34414,60779,120,95,187,66486,66420,261,1726,1724,26
Dumka,39625,28151,31813,6432,22903,19901,37,504,182,322,25446,23784,28171,28675,81,703,28409,429,2412,27865,943,1877,72,10,2377,2387,4727,68.0,21802,92313,19932,30747,11,0,1,32479,32348,677,14,3000,317
Garhwa,47248,22823,35349,8131,43579,10762,69,861,58,803,34133,31491,34284,35145,383,0,35218,664,2043,34139,910,89,78,24,9593,9617,2594,0.0,14223,56751,18789,32348,239,177,161,32773,32567,0,1083,6329,42
Giridih,64795,22304,53215,8571,58494,21950,47,4631,2445,2186,36932,36403,51139,55770,244,5440,56181,521,1706,42688,863,438,92,55,9998,10053,6723,2.0,32252,170760,23234,61633,148,53,31,59040,58077,282,226,9209,95
Godda,38659,27407,32179,7628,34865,24894,95,191,111,80,31964,16929,32734,32925,487,292,32608,563,1969,31625,966,201,143,141,3790,3931,6797,0.0,25842,153491,21023,32393,83,49,70,31507,31280,904,1706,4288,43
Gumla,30881,17674,22554,631,4895,27844,685,803,256,547,20191,19568,21591,22394,419,321,22044,414,3073,21013,959,1731,430,92,1368,1460,5047,47.0,35990,218007,17601,22629,0,0,0,27584,27520,69,117,3467,243
Hazaribagh,44610,26294,31312,9594,39879,22832,169,1164,622,542,28975,27070,33777,34941,1981,1289,35868,381,4074,34886,868,476,98,11,2275,2286,4055,,41815,224266,27572,40270,0,0,0,38016,37565,152,48,7084,186
Jamtara,23756,14487,21581,3334,18415,8721,94,280,43,237,15389,14877,18717,18997,64,120,18832,282,1475,18102,943,458,34,2,817,819,3492,19.0,20445,74522,14079,21217,4,17,15,20804,20638,19,70,427,113
Khunti,14515,5858,9155,925,10451,6703,169,490,80,410,9441,9226,10153,10643,240,80,10566,188,878,10372,919,603,0,49,431,480,5456,248.0,17691,83658,7688,11506,0,0,4,13095,13073,4,240,7627,99
Kodarma,20906,10424,16575,3837,14590,11466,46,43,12,31,13835,12647,18330,18373,581,2606,18236,243,764,14717,814,245,164,18,3524,3542,2750,,20742,135091,12243,19651,25,1,23,17325,17300,7,579,308,57
Latehar,27690,12692,14585,4882,7186,14891,157,1315,279,1036,15822,14173,16194,17509,92,0,17316,277,1049,16823,917,390,58,86,1981,2067,3126,0.0,17873,98633,8469,18588,158,20,127,18686,18766,0,550,1442,137
Lohardaga,16638,8558,14382,1513,12809,11124,353,38,15,23,11400,7220,12091,12129,293,352,12058,127,1754,11870,954,527,131,52,760,812,4038,0.0,32531,148194,8649,11874,38,28,56,12959,12848,636,900,513,120
Pakur,34012,14451,25806,6203,22784,7568,3,2836,707,2129,16198,15582,20820,23656,42,562,23797,287,1249,22253,907,243,9,13,1542,1555,4050,0.0,35636,130582,15280,27974,221,41,127,26204,25982,181,42,2229,164
Palamu,58572,43418,44065,10946,47575,30104,494,1519,993,526,35889,31316,47002,48521,899,3471,48219,701,1809,42862,961,190,150,56,20942,20998,6283,38.0,24213,97350,32616,49623,33,0,0,44210,43565,0,1985,2432,195
Pashchimi Singhbhum,47567,17960,36891,3738,33520,31540,193,3049,1101,1948,32210,31016,34771,37820,128,726,37704,741,2941,35835,950,1365,434,195,1097,1292,10964,116.0,53348,206303,23026,38057,0,0,14,39200,39034,115,259,8950,445
Purbi Singhbhum,54824,26453,51587,7673,42990,24479,1150,1412,621,791,21852,16351,38641,40053,2156,6272,39638,571,4029,36885,941,2076,250,43,4603,4646,6101,837.0,33904,171646,36994,40724,776,285,366,49746,49692,1198,8931,110041,285
Ramgarh,22339,6539,18126,1315,19451,8454,142,736,122,614,10595,10380,15437,16173,356,908,16404,172,752,15952,986,253,134,19,3881,3900,2857,213.0,15832,85580,14135,21799,0,0,6,19035,19273,71,1048,1131,151
Ranchi,83788,45385,61824,14996,45047,30871,214,1854,563,1291,40637,35329,66919,68773,5086,2207,68613,489,3861,67281,923,433,279,367,5634,6001,16204,173.0,128545,392053,55789,75509,35,17,30,77477,77125,1665,35662,20635,233
Sahibganj,35476,21117,24703,13565,13642,15436,80,1797,490,1307,29121,12950,30351,32148,1067,481,31748,636,2764,29545,914,475,342,6,2773,2779,4436,105.0,10923,71981,19786,31063,0,0,1,27750,27661,192,254,2083,165
Saraikela,32791,24021,28069,7856,25587,30371,88,1462,235,1227,11982,5329,24450,25912,170,448,25813,312,1356,25489,958,2252,242,43,1333,1376,6279,0.0,33317,214317,15398,25738,9,14,34,29163,29138,9,33,2060,306
Simdega,17144,7156,15465,2224,16019,11272,67,679,111,568,11610,11223,12942,13621,89,63,13408,320,912,12768,945,1208,57,88,292,380,6668,0.0,56152,275241,8126,12541,9,0,0,14645,14588,1,637,1449,107
