Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jammu & Kashmir,355477,188212,323572,197041,97763,181827,24562,18869,2057,16812,159784,94027,172702,191571,52169,10847.0,190185,3538,9126,136209,942,13071,6394,438.0,13975,14413,16722,686.0,331142,2943525,183998,212978,1936,1347,1252,217944,214436,339.0,132240,530963,682.0
Anantnag,28227,25436,22866,14121,6665,18502,461,111,108,3,15023,7035,15373,15484,4758,272.0,15179,461,1277,15177,1000,1901,0,0.0,688,688,680,0.0,37607,118971,16225,16624,0,0,0,15232,15223,32.0,9976,32505,40.0
Badgam,14129,13287,11782,13345,2544,6343,85,21,4,17,3920,2725,3920,3941,924,,3936,10,23,3315,988,282,0,8.0,279,287,777,0.0,23627,180925,4320,4889,0,0,0,13052,13061,0.0,4422,26015,11.0
Bandipora,7300,5420,5364,6205,4551,5137,200,189,35,154,2888,2634,2888,3077,252,,2991,74,62,2799,964,221,1,5.0,145,150,223,,7505,41619,3223,3861,0,0,0,6561,6576,3.0,1756,9394,3.0
Baramula,24615,15314,20270,20296,9278,31766,417,348,26,322,9929,6581,11203,11551,3038,1105.0,11177,214,263,8907,948,1085,0,1.0,175,176,1199,,25001,181820,10994,12484,0,2,1,18351,17078,4.0,9035,67459,149.0
Doda,8242,5020,4292,5793,4409,747,31,2725,46,2679,4410,3003,4410,7135,928,,7190,110,170,5219,916,228,297,2.0,446,448,344,,9562,69249,5690,7494,28,3,11,6709,6685,0.0,1994,25580,10.0
Ganderbal,5455,5246,8072,4438,2188,2307,78,66,0,66,1858,1590,1858,1924,277,,1923,15,15,1991,985,205,0,3.0,213,216,587,,9434,93944,2015,2425,11,15,49,5107,5080,13.0,3056,16281,1.0
Jammu,70582,19834,62971,19405,5910,31296,20648,533,108,425,25608,15475,28189,28722,10104,2061.0,28490,667,2468,17619,886,2589,1794,24.0,2413,2437,1370,24.0,22212,391670,31963,32726,478,430,366,24830,24730,0.0,20247,49187,20.0
Kargil,2703,1209,2102,3245,2476,1450,58,208,87,121,2239,1383,2239,2447,368,,2542,60,146,1979,940,223,1,0.0,85,85,894,,2741,16231,2134,2456,268,212,180,2659,780,0.0,874,6908,16.0
Kathua,11429,6455,10166,10105,6449,7262,537,2192,3,2189,6033,2918,6195,8387,1942,159.0,8272,160,34,7398,873,1320,1085,96.0,1260,1356,842,,16955,270031,6544,10633,3,35,45,11049,11047,0.0,3365,7681,11.0
