Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Tripura,"75,760","46,859","51,688","50,648","48,801","27,138",470,"5,797",77,"5,720","42,315","14,491","45,156","50,953","7,879","2,121","50,276",879,"5,460","48,708",930,"3,427","2,510",27,"2,741","2,768","1,332",174.0,"145,986","324,421","29,612","53,297","35,380","40,418","43,449","52,106","47,056",59,"17,421","37,623",518
Dhalai,"8,090","5,304","5,681","6,533","8,052","1,856",37,823,47,776,"5,150","2,656","5,150","5,973",124,,"5,873",132,593,"5,623",962,359,222,0,124,124,158,,"18,055","31,618","1,561","6,135","4,987","5,301","5,385","5,777","5,410",1,126,929,122
Gomati,"7,256","5,088","5,971","6,136","3,862","2,430",92,425,0,425,"5,741",397,"5,741","6,166",917,,"6,086",108,655,"6,048",945,765,673,22,221,243,485,,"29,240","44,134","4,602","6,225","4,070","4,937","5,500","5,820","5,654",0,"1,455","9,936",67
Khowai,"5,123","3,989","4,395","4,303","4,307","1,794",4,266,4,262,"2,665",4,"2,665","2,931",5,,"2,894",49,246,"2,761",937,361,157,0,0,0,8,,"12,203","18,337","1,637","3,619","2,920","3,448","3,835","4,745","4,675",0,3,50,15
North Tripura,"9,029","4,918","5,222","6,437","3,385","2,278",13,"1,761",7,"1,754","3,658","2,153","3,658","5,419",68,,"5,344",102,325,"5,123",921,210,39,0,0,0,38,,"14,264","33,734","2,010","6,084","4,791","5,323","5,211","5,797","4,893",0,53,285,96
Sipahijala,"7,905","5,938","5,936","6,945","3,858","4,273",109,791,0,791,"3,457","1,861","3,457","4,248",134,,"4,217",47,465,"3,990",971,160,62,0,74,74,38,,"16,307","28,006","2,766","5,370","4,087","4,973","5,540","6,638","6,570",0,134,"8,983",40
South Tripura,"7,589","6,199","5,982","6,499","6,787","4,062",25,426,3,423,"4,552",8,"4,552","4,978",18,,"4,934",52,571,"4,898",915,414,323,3,161,164,277,,"20,919","40,070","3,884","5,231","4,264","4,802","5,253","6,052","5,898",19,12,0,29
Unakoti,"5,640","2,698","3,703","4,563","3,150","2,164",20,914,7,907,"3,007",906,"3,007","3,921",181,,"3,834",97,715,"3,731",898,618,543,0,36,36,46,,"14,059","36,863","1,195","4,172","3,164","3,612","3,749","4,331","3,985",39,250,420,57
West Tripura,"25,128","12,725","14,798","9,232","15,400","8,281",170,391,9,382,"14,085","6,506","16,926","17,317","6,432","2,121","17,094",292,"1,890","16,534",917,540,491,2,"2,125","2,127",282,174.0,"20,939","91,659","11,957","16,461","7,097","8,022","8,976","12,946","9,971",0,"15,388","17,020",92
