Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Tamil Nadu,"1,028,316","970,222","1,036,597","1,040,691","973,017","2,726,660","41,789",330.0,119.0,211.0,"543,482","42,806","921,327","921,657","191,102","199,536","921,035","5,287","119,959","480,435",935,"61,904","24,888","1,029","288,414","289,443","392,867","18,106","688,003","6,497,215","919,203","920,226",0,0,0,"959,066","913,115","1,530","465,833","1,599,461","5,162"
Ariyalur,"12,130","10,927","14,926","11,216","10,999","31,752",412,4.0,1.0,3.0,"5,398",644,"8,665","8,669","2,269","2,136","8,718",56,"1,251","4,280",905,71,275,12,"2,800","2,812","5,375",0,"6,311","48,150","11,018","11,014",0,0,0,"10,776","9,315",0,"4,225","17,034",90
Chennai,"77,898","77,025","77,617","78,079","83,004","166,426","2,817",,,,"52,153","4,907","97,325","97,325","29,345","19,450","97,589",720,"12,131","48,749",930,"3,823","5,464",51,"25,709","25,760","42,977","6,190","68,108","692,181","71,825","71,466",0,0,0,"75,322","73,543",353,"69,480","63,475","1,076"
Coimbatore,"49,702","44,195","47,809","53,102","47,142","85,864","1,347",4.0,4.0,0.0,"16,437","1,115","45,161","45,165","6,221","14,527","44,995",245,"3,767","18,431",962,"2,343","1,228",23,"12,085","12,108","15,138",560,"20,186","285,224","43,671","43,646",0,0,0,"44,036","40,622",6,"20,376","45,168",368
Cuddalore,"35,234","33,879","35,625","34,199","30,130","78,575",831,0.0,0.0,0.0,"19,382","4,984","33,721","33,721","6,936","6,868","33,669",125,"3,078","17,770",937,385,477,78,"8,280","8,358","16,868",306,"44,067","390,200","27,229","27,304",0,0,0,"32,936","31,175",38,"14,177","53,948",36
Dharmapuri,"27,802","27,220","27,465","27,488","26,120","68,996",484,64.0,3.0,61.0,"16,614",868,"22,744","22,808","4,061","3,005","22,689",157,"3,375","15,748",887,"1,873",402,14,"6,957","6,971","14,614",258,"25,769","104,850","24,322","24,417",0,0,0,"24,212","23,398",0,"7,444","31,352",187
Dindigul,"31,171","30,873","31,123","30,919","27,085","143,660","1,215",11.0,10.0,1.0,"15,298","3,893","29,471","29,482","3,161","8,147","29,498",144,"3,651","15,551",947,"1,283",381,15,"9,595","9,610","10,644","1,590","27,101","307,292","27,744","27,846",0,0,0,"27,598","25,949",1,"10,196","39,681",30
Erode,"31,173","29,497","30,279","33,368","29,821","54,745",577,6.0,0.0,6.0,"9,889",471,"28,044","28,050","3,698","9,548","27,967",167,"3,423","8,650",953,"1,072",343,44,"10,029","10,073","9,701",679,"18,195","180,160","27,551","27,573",0,0,0,"28,312","27,431",180,"10,711","20,936",16
Kancheepuram,"48,527","44,791","47,610","50,054","47,191","81,919",854,0.0,0.0,0.0,"27,633",924,"40,074","40,074","10,058","8,338","40,034",130,"4,226","24,252",929,"3,537",483,95,"14,481","14,576","12,487",323,"29,562","167,096","43,585","43,523",0,0,0,"46,388","43,227",57,"21,378","74,896",137
Kanniyakumari,"24,163","22,552","23,248","29,176","23,828","38,834",277,0.0,0.0,0.0,"7,911",313,"23,846","23,846","3,827","10,631","23,847",135,"1,977","6,006",938,705,423,15,"9,365","9,380","5,813",180,"13,049","130,445","23,547","23,603",0,0,0,"23,883","20,464",0,"13,041","101,273",55
