Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of home deliveries attended by Non SBA trained (trained TB/Dai),Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
66848.0,4721.0,1904.0,6230.0,5233.0,1919.0,2238.0,1284.0,658.0,32928.0,33586.0,71631.0,3472.0,532277.0,11901233.0,401.0,1886.0,2632.0,1419.0,6910100,5115445,2214400,251132,4444050,131667.0
15052.0,166.0,2313.0,184.0,196.0,277.0,434.0,62.0,11.0,7862.0,7873.0,20890.0,30.0,97975.0,2123549.0,452.0,1568.0,2396.0,235.0,1489332,950477,516764,128539,843860,25926.0
50317.0,2495.0,353.0,0.0,990.0,788.0,1796.0,153.0,1077.0,14361.0,15438.0,21973.0,0.0,93682.0,826300.0,0.0,0.0,0.0,805.0,2043287,1471985,674910,157144,1210626,48104.0
42753.0,21234.0,5533.0,0.0,0.0,1560.0,1140.0,0.0,48.0,23748.0,23796.0,36014.0,0.0,130284.0,1081521.0,350.0,5320.0,475.0,1159.0,2986175,1543730,972854,241339,1769280,72881.0
19153.0,387.0,4254.0,318.0,1041.0,247.0,888.0,102.0,15.0,4284.0,4299.0,11290.0,0.0,46916.0,1848497.0,1.0,7410.0,2325.0,435.0,1513140,1064859,514614,100694,897660,24450.0
30829.0,522.0,2533.0,90.0,48.0,2286.0,818.0,592.0,649.0,12840.0,13489.0,24500.0,0.0,120181.0,3505332.0,2071.0,934.0,3541.0,145.0,2793086,1769864,945816,159460,1686713,58895.0
16188.0,42.0,4248.0,126.0,0.0,1157.0,950.0,739.0,41.0,10547.0,10588.0,19357.0,0.0,220884.0,2172049.0,496.0,1308.0,679.0,763.0,2018402,904417,541497,416669,1058749,41823.0
16512.0,186.0,342.0,450.0,3.0,292.0,340.0,103.0,137.0,11307.0,11444.0,20522.0,0.0,84806.0,2305026.0,2.0,1189.0,964.0,454.0,1380099,998427,455001,83790,840865,28904.0
20454.0,132.0,4376.0,122.0,603.0,351.0,812.0,1885.0,30.0,8698.0,8728.0,25186.0,606.0,124653.0,2428281.0,178.0,6491.0,2605.0,465.0,2106338,1327463,700672,122841,1282792,36854.0
26967.0,456.0,711.0,100.0,1510.0,530.0,1115.0,552.0,384.0,9498.0,9882.0,26586.0,94.0,219803.0,2736007.0,568.0,1712.0,2923.0,1023.0,2681386,1746468,908938,187394,1583401,49532.0
9108.0,356.0,5437.0,899.0,277.0,821.0,759.0,296.0,67.0,6418.0,6485.0,7551.0,55.0,94804.0,1761680.0,140.0,244.0,1168.0,260.0,1978880,1143375,644186,92652,1240157,32748.0
23739.0,571.0,0.0,340.0,175.0,517.0,1324.0,301.0,2594.0,19402.0,21996.0,36555.0,0.0,101980.0,1542530.0,183.0,1891.0,1354.0,944.0,2241900,1566956,716499,212233,1311811,38392.0
21296.0,327.0,23.0,140.0,1479.0,567.0,1228.0,106.0,226.0,11764.0,11990.0,29057.0,3360.0,184788.0,5018884.0,25.0,7148.0,5353.0,393.0,1994005,1433721,691896,121910,1176932,37164.0
4874.0,263.0,793.0,104.0,3.0,300.0,249.0,110.0,11.0,3539.0,3550.0,3353.0,0.0,19761.0,576981.0,1.0,2769.0,1206.0,137.0,574271,344901,190272,96958,286981,8891.0
14038.0,299.0,363.0,191.0,1084.0,102.0,210.0,96.0,192.0,6658.0,6850.0,7515.0,771.0,84405.0,963346.0,5.0,8404.0,4561.0,46.0,1308997,962354,498933,83068,726794,17680.0
17963.0,1015.0,5111.0,299.0,545.0,978.0,1588.0,256.0,42.0,6933.0,6975.0,19231.0,22.0,153368.0,2918329.0,1980.0,2911.0,3320.0,782.0,2312746,1346169,670910,401280,1240135,41882.0
20082.0,77.0,1781.0,109.0,59.0,331.0,125.0,34.0,163.0,6495.0,6658.0,16675.0,1224.0,114305.0,1065457.0,67.0,1144.0,4320.0,1349.0,1309864,783531,435589,113857,758844,28090.0
5999.0,115.0,170.0,247.0,173.0,163.0,475.0,79.0,16.0,2097.0,2113.0,3816.0,319.0,19651.0,364014.0,0.0,1051.0,4.0,92.0,575386,376788,190858,36824,347510,11495.0
30914.0,946.0,3729.0,876.0,1798.0,547.0,1578.0,1190.0,92.0,9127.0,9219.0,25080.0,4129.0,154753.0,2858538.0,1790.0,1857.0,6267.0,661.0,3668191,2570207,1270906,156989,2239256,59933.0
28157.0,427.0,2839.0,139.0,781.0,694.0,936.0,455.0,249.0,18435.0,18684.0,37167.0,2880.0,134298.0,2556821.0,17.0,2608.0,4285.0,743.0,2355057,1487303,766548,287425,1300723,49757.0
43210.0,1511.0,4708.0,1516.0,3163.0,3061.0,1527.0,1527.0,83.0,30678.0,30761.0,10098.0,22867.0,171585.0,3302920.0,186.0,4637.0,5017.0,463.0,5846669,4258373,2313780,157597,3371512,82465.0
20728.0,667.0,3325.0,375.0,931.0,309.0,555.0,448.0,230.0,8846.0,9076.0,18795.0,36.0,81770.0,1425517.0,8.0,3881.0,17048.0,363.0,1705154,1022451,570682,136821,997378,24550.0
11099.0,127.0,1656.0,79.0,155.0,190.0,278.0,60.0,771.0,3953.0,4724.0,4733.0,0.0,52690.0,597144.0,32.0,3001.0,1041.0,165.0,0,0,0,0,0,11401.0
423.0,13.0,4610.0,120.0,6.0,298.0,286.0,67.0,703.0,1328.0,2031.0,1293.0,15.0,21218.0,371657.0,18.0,117.0,1751.0,89.0,219297,128749,83752,28952,106562,6478.0
39256.0,3019.0,7328.0,3400.0,4435.0,1664.0,1535.0,1405.0,332.0,15411.0,15743.0,15919.0,5166.0,221601.0,2949719.0,1255.0,5986.0,6551.0,1113.0,4055155,2745817,1327472,329427,2397996,61696.0
20071.0,876.0,7775.0,770.0,148.0,287.0,996.0,441.0,310.0,9781.0,10091.0,8482.0,129.0,81321.0,1317129.0,103.0,5913.0,3534.0,463.0,1642084,1093703,561705,161932,918106,27106.0
79786.0,3730.0,2614.0,4602.0,3309.0,1920.0,826.0,377.0,721.0,38759.0,39480.0,73180.0,307.0,574573.0,8952299.0,144.0,135.0,537.0,1785.0,7060525,5273170,2272638,256774,4530814,144152.0
12426.0,374.0,2534.0,191.0,202.0,336.0,514.0,65.0,13.0,7040.0,7053.0,18831.0,0.0,95669.0,2285574.0,369.0,41.0,1006.0,336.0,1501709,972708,522921,128262,850430,33358.0
