Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Telangana,"758,446","487,639","804,940","97,190","978,986","640,495","25,639",829,585,244,"283,012","30,422","609,362","610,191","142,477","165,307","623,664","3,654","37,524","490,820",955,"4,065","3,903","2,335","75,957","78,292","29,582","15,243","585,734","3,833,668","580,733","624,650","1,495",560.0,"1,309","23,338","605,665","1,140","99,122","339,759","4,384"
Adilabad,"13,254","11,506","13,256","1,007","12,651","13,063","1,393",63,17,46,"2,410",0,"13,215","13,278","2,997","1,720","13,244",39,"1,592","13,093",943,326,742,0,620,620,60,,"11,695","37,517","11,570","11,458",0,0.0,0,0,"12,232",0,"4,281","2,151",351
BHADRADRI KOTHAGUDEM,"16,039","14,998","12,791","1,841","16,640","13,742","1,818",56,21,35,"2,880",,"13,242","13,298","4,042","1,817","13,810",62,"1,074","10,627",963,54,3,50,"3,786","3,836",120,,"22,270","149,426","9,919","15,419",0,0.0,0,0,"16,973",8,"4,013","7,803",50
Hyderabad,"157,743","57,245","179,825","12,126","169,946","109,004","4,402",74,74,0,"67,269",,"142,840","142,914","31,870","29,149","141,876","1,662","10,768","133,026",997,"1,259",966,477,"18,621","19,098","9,489",,"54,993","325,670","119,451","92,958",0,0.0,0,296,"76,367",0,"19,631","64,518","1,133"
JAGITIAL,"15,508","13,898","12,710","4,450","20,665","10,925",397,0,0,0,"4,837",87,"15,135","15,135","6,163","4,523","16,999",60,"1,496","13,204",888,124,10,276,"1,518","1,794","2,025",,"14,039","27,864","16,007","16,187",0,0.0,0,0,"15,031",113,487,"3,139",6
JANGOAN,"7,674","6,445","14,818","1,211","46,897","11,625","1,939",26,12,14,"1,997",0,"6,053","6,079","2,815","1,762","5,982",11,320,"5,511",933,28,9,6,62,68,36,,"13,215","83,043","5,317","5,999",0,0.0,0,15,"7,206",0,"3,009","2,516",38
JAYASHANKAR BHUPALPALLY,"12,612","10,128","14,074","1,337","16,170","9,594",111,0,0,0,646,182,"5,337","5,337","2,246",474,"5,081",9,405,"4,031",961,0,1,93,138,231,44,,"8,314","14,090","5,033","8,161",0,0.0,0,0,"8,030",0,"1,076","2,198",2
JOGULAMBA GADWAL,"16,189","11,940","9,721","3,957","19,405","8,409",136,26,24,2,"3,701",,"8,921","8,947",685,"2,485","10,103",65,419,"8,901",825,48,4,0,"1,343","1,343",412,,"16,947","204,172","10,276","13,436",129,58.0,130,"2,043","11,579",24,541,"7,845",60
KAMAREDDY,"19,979","13,712","32,945","2,564","30,853","14,138",316,108,97,11,"4,469",552,"14,049","14,157","3,863","3,620","16,419",122,"1,566","10,022",868,190,5,0,"1,938","1,938",318,,"14,097","65,787","16,148","22,326",0,0.0,0,0,"13,673",200,"2,145","4,813",59
KOMARAM BHEEM,"10,899","9,176","10,238","1,232","15,763","17,124",609,90,51,39,"1,799",0,"6,215","6,305",23,"1,407","6,271",66,529,"5,731",953,39,0,16,22,38,81,0,"3,309","8,418","5,952","8,618",39,5.0,31,"1,648","8,412",0,151,448,23
