Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nagapattinam,1577058,1143558,480987,162052,931546
erode,2345983,1501390,1169465,93196,1082520
namakkal,1653075,1086778,818077,62622,770531
pudukkottai,1568989,1045229,605056,128869,833317
kanniyakumari,1809817,1472308,521128,115894,1171562
thenilgiris,743318,560927,316239,31714,395132
thoothukkudi,1694788,1280120,635986,90517,968177
chennai,4553649,3638643,1543874,164749,2837164
tiruvannamalai,2377710,1519964,925715,257658,1194091
vellore,3792603,2588830,1300973,304716,2186035
theni,1198221,812593,512843,56288,628959
perambalur,542723,346328,244878,44166,253622
thiruvallur,3404603,2473793,1112520,253949,2036099
madurai,2892222,2111338,1101531,167041,1622918
salem,3335257,2103986,1470737,144462,1716796
dindigul,2085838,1384576,924955,138839,1021975
tirunelveli,2966701,2129851,1224199,163628,1578713
ramanathapuram,1301397,906398,469698,106986,724396
dharmapuri,1825529,1066896,781488,125888,917525
tiruchirappalli,2627306,1921654,1033442,133154,1460206
ariyalur,736569,450924,265878,89561,380833
virudhunagar,1882902,1314333,838264,90705,953627
sivaganga,1281103,887004,444488,140627,694882
kancheepuram,3622532,2645422,1212642,280659,2128273
thiruvarur,1235056,895948,404613,120117,710104
viluppuram,3301096,2015572,1218498,401445,1679742
coimbatore,3684397,2725140,1549448,131535,2003228
thanjavur,2347318,1690110,808195,141802,1396995
cuddalore,2505304,1686521,803453,302829,1397745
karur,1024092,674690,488705,39024,495114
