Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
imphaleast,456113,324664,145343,49504,261265
ukhrul,183998,129829,67724,20205,96069
senapati(excl.subdivisions),0,0,0,0,0
chandel,144181,90302,53753,22485,67944
thoubal,422167,269304,133428,61890,226848
churachandpur,274142,195935,89779,32876,151487
imphalwest,517991,392626,166008,47378,304604
tamenglong,140651,85006,55979,14696,69975
bishnupur,237399,156333,76423,33514,127462
