Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nuapada,663832,396538,165224,185137,316688
debagarh,338104,243546,92776,102685,146629
kandhamal,789304,495340,161925,234963,400993
khordha,2511164,2081135,746372,218064,1562730
sundargarh,2268868,1586962,571076,397060,1304345
anugul,1361538,1015300,329188,250470,786382
kalahandi,1742159,1048202,373616,491859,899202
koraput,1514812,759615,424798,358365,736340
rayagada,1060576,549684,215507,317640,547271
baudh,487609,347288,135909,120804,234014
jajapur,1960868,1499781,448610,181428,1337047
malkangiri,689594,363564,195824,161683,333958
jharsuguda,625884,474469,200688,90158,339006
ganjam,3770371,2651280,953149,682557,2138405
jagatsinghapur,1187405,994222,319051,137655,736742
mayurbhanj,2716135,1689539,510220,911556,1360545
sonapur,0,0,0,0,0
balangir,1869972,1160407,435972,410946,1032694
cuttack,2810705,2329676,750925,285245,1778831
sambalpur,1110016,820426,374624,189858,548263
bargarh,1568612,1157883,537943,348694,699703
puri,1828431,1484821,504203,276228,1092283
dhenkanal,1275398,970512,287050,215312,786900
gajapati,616376,333902,164847,144178,311413
kendujhar,1962898,1258936,473579,402130,1096385
nayagarh,1027036,805415,244375,139621,646274
bhadrak,1620432,1279572,345120,191923,1095171
nabarangapur,1355455,635963,288072,400363,672649
baleshwar,2518532,1923287,716306,468965,1392915
kendrapara,1530335,1250288,340814,186420,1011188
