Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
mahe,42350,37039,10626,1462,30275
karaikal,203430,158602,59051,10501,133952
pondicherry,0,0,0,0,0
yanam,58900,42037,16165,1505,41239
