Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Bijnor,"92,571","39,329","73,565","75,517","51,845","15,259","1,658","31,174","23,101","8,073","30,380","25,613","30,816","61,990","1,282",0,"70,390","1,451","7,002","54,926",858,"1,847",205,56,"2,094","2,150","28,030",0,"82,540","1,252,721","50,134","78,494","83,274","80,582","77,060","78,635","73,514",0,"3,594","4,277",24
Budaun,"91,204","55,902","69,832","84,776","107,611","5,377",645,"24,034","13,148","10,886","34,113","27,917","34,113","58,147",684,,"62,476","1,167","14,376","46,045",877,"1,838","1,072",6,"1,164","1,170","4,360",,"14,773","251,523","52,485","79,526","87,099","80,891","78,782","82,010","64,244",18,253,"2,723",
Bulandshahar,"94,588","52,682","57,313","87,707","142,754","15,933","1,132","23,005","17,801","5,204","33,340","25,730","33,340","56,345",352,,"60,411","1,238","7,393","57,090",859,"1,308","1,292",82,"4,721","4,803","42,924",,"115,448","1,890,410","49,512","83,880","95,684","91,499","90,960","91,255","90,201",1,"4,156","7,376",1
C S M Nagar,"58,054","4,592","47,431","50,767",57,"1,529","2,278","2,865","2,086",779,"34,326","18,902","34,350","37,215",123,,"37,854",651,"4,112","37,239",957,77,25,12,"1,763","1,775","22,483",,"55,710","80,235","25,730","50,840","54,512","53,772","51,915","51,290","51,263",4,"8,748",709,
Chandauli,"51,957","33,042","34,290","41,702","59,994",182,147,"7,639","6,042","1,597","22,273","12,966","22,273","29,912",14,0,"42,301",840,"3,675","37,836",900,45,0,78,"2,918","2,996","5,863",0,"46,522","722,105","19,033","48,588","49,629","46,754","45,506","46,720","41,930",12,"1,857","3,705",
Chitrakoot,"22,608","17,685","19,003","19,905","13,967","2,877",254,558,349,209,"18,465","17,955","18,465","19,023",7,,"18,862",135,"4,339","18,630",955,9,3,9,"3,033","3,042","3,304",,"16,968","307,849","18,560","22,020","23,430","22,504","22,329","20,654","20,475",2,"2,171","2,911",
Deoria,"115,908","63,067","80,313","88,646","43,565","13,673",83,"8,588","6,144","2,444","56,942","50,349","56,942","65,530",235,,"70,373","1,522","9,565","58,214",915,395,518,277,"6,727","7,004","28,253",,"46,198","783,807","39,051","90,138","94,457","92,411","91,017","95,758","91,816",0,"2,005","3,283",1
Etah,"55,411","34,694","36,275","44,374","43,549","2,056",107,"13,322",7,"13,315","14,980","12,551","15,747","29,069",0,,"29,208",12,"1,702","24,814",861,6,85,0,"1,639","1,639","13,392",,"30,057","607,291","22,048","41,800","45,197","43,079","43,068","43,452","41,226",0,125,578,
Etawah,"46,613","23,988","33,213","43,544","36,575","5,182",603,"2,773","1,886",887,"25,179","18,629","27,289","30,062",534,250,"29,990",286,"4,129","29,208",870,496,179,4,"2,955","2,959","10,368",0,"104,822","880,431","29,322","40,930","40,205","38,997","39,068","42,159","42,175",24,907,"4,150",
Faizabad,"63,685","29,312","46,761","59,335","10,559","4,224","1,236","7,420","1,895","5,525","34,155","31,573","34,155","41,575","1,210",,"41,476",528,"3,455","38,899",880,328,25,210,"1,435","1,645","10,947",,"32,076","212,989","33,041","56,205","58,149","56,824","56,425","55,391","71,177",4,"5,321","5,608",1
Farrukhabad,"60,923","35,487","39,159","46,267","15,568","8,831","1,876","14,481","8,295","6,186","22,276","17,240","29,253","43,734",180,0,"42,728",403,"2,846","34,619",872,598,607,127,"1,292","1,419","14,857",35,"73,578","1,026,034","28,949","46,717","46,723","43,598","43,202","42,048","44,369",0,"10,216","5,139",
Fatehpur,"81,945","30,503","61,377","63,784","67,569","17,933","1,044","14,986","4,618","10,368","30,749","21,262","30,749","45,735",344,0,"51,136",386,"6,849","43,129",897,37,613,34,"1,121","1,155","11,599",0,"25,341","187,591","32,069","53,845","61,498","60,462","60,065","62,195","60,801",0,"2,232","4,371",11
Firozabad,"75,407","49,861","52,009","51,792","97,987","13,250","2,513","7,706","3,800","3,906","24,100","18,728","24,100","31,806",243,,"33,205",442,"4,972","25,633",871,635,"2,858",5,"1,842","1,847","16,840",,"55,535","752,805","38,316","61,049","58,738","55,759","54,211","56,090","73,750",0,785,"2,908",35
Gautam Buddha Nagar,"42,613","34,370","31,970","39,459","39,517","2,611",812,"10,006","4,101","5,905","8,779","9,528","15,324","25,330",912,"2,948","30,410",182,"3,464","26,651",858,190,372,39,"2,871","2,910","12,734",,"75,412","882,916","33,446","45,575","47,228","44,007","46,538","41,964","41,420",0,"3,513","3,839",
Ghaziabad,"85,905","74,480","66,780","83,270","45,212","1,448","1,508","13,158","3,054","10,104","13,571","1,544","21,291","34,449",778,,"59,472",97,"9,210","49,717",896,"1,832","1,248",434,"3,317","3,751","17,273",165,"21,982","270,702","48,610","77,370","83,585","80,168","83,102","84,057","83,020",7,"7,555","7,546",
Ghazipur,"86,367","58,108","71,324","80,554","277,001","5,069",27,"19,201","11,644","7,557","38,203","33,264","38,203","57,404",352,0,"63,042",498,"12,196","42,300",788,130,119,39,"4,476","4,515","7,894",0,"27,891","211,415","33,251","74,055","87,756","83,611","80,593","86,719","94,826",0,"2,948","2,187",1
Gonda,"119,770","55,365","89,483","98,424","17,255","4,027",311,"18,659","13,413","5,246","28,010","24,317","28,134","46,793","1,566",122,"65,072","1,150","8,718","43,003",888,385,"1,229",75,"4,630","4,705","21,220",,"69,388","538,007","40,868","102,365","99,512","94,154","92,560","103,145","103,137",4,"3,447","1,940",
Gorakhpur,"250,227","79,426","90,840","111,169","586,631","6,190",153,"12,262","7,491","4,771","59,237","52,840","59,237","71,499","1,859",,"89,305","1,610","3,600","63,146",820,"1,007",390,82,"8,074","8,156","20,691",,"70,589","634,882","63,047","113,349","108,080","110,124","103,438","99,983","108,241",124,"17,192","6,820",20
Hamirpur,"32,641","7,489","28,464","31,427","18,575",824,,"2,474","1,808",666,"19,926","19,462","19,926","22,400",231,,"22,750",250,"8,443","19,285",911,128,"2,105",97,"2,498","2,595","15,481",,"87,529","996,636","24,246","30,246","29,116","29,324","29,181","32,589","28,668",,"1,786","4,823",
Hapur,"32,533","24,585","23,823","28,634","29,229","1,055",173,"7,146","5,213","1,933","5,672","5,409","5,672","12,818",,,"21,279",106,"1,893","22,367",828,307,133,24,"1,515","1,539","5,136",,"33,029","123,303","18,777","31,269","34,098","32,255","31,429","33,841","28,170",320,103,70,
Hardoi,"169,952","86,255","115,499","118,968","112,991","17,312","1,752","25,691","18,557","7,134","53,742","47,308","53,742","79,433",758,,"106,002","3,450","13,174","77,463",853,"1,502",720,34,"2,560","2,594","21,458",,"66,716","1,892,699","80,136","118,218","121,727","112,803","111,428","117,692","123,296",109,"4,223","4,090",119
Hathras,"42,863","37,660","38,661","40,429","38,647","2,235",539,"21,212","5,625","15,587","19,721","17,719","19,721","40,933",73,,"40,736",369,"8,055","39,626",903,"1,270","1,232",43,"1,979","2,022","19,932",,"80,572","1,299,685","24,465","39,020","38,125","37,492","38,405","37,446","37,832",0,741,"3,576",
Jalaun,"43,192","22,894","32,410","41,043","25,117","22,261",564,"4,843","3,803","1,040","23,505","19,034","23,725","28,568",131,4,"28,479",549,"3,943","27,629",893,"1,026",848,3,"3,924","3,927","15,057",0,"81,055","896,342","29,009","40,442","41,702","42,222","42,542","40,584","38,018",3,"4,320","5,280",1
Jaunpur,"115,585","70,618","91,299","102,476","77,870","8,999",417,"38,845","22,163","16,682","53,669","48,578","53,669","92,514",804,,"89,204",505,"18,996","75,406",912,503,487,84,"8,626","8,710","14,695",,"98,953","899,703","57,492","116,464","111,198","105,719","115,788","113,786","113,082",0,"11,980","5,709",
Jhansi,"64,284","29,716","39,204","51,605","53,465","2,620",536,"3,919","2,981",938,"24,642","21,743","24,642","28,561","1,432",405,"43,729",639,"7,171","32,109",858,211,"1,641",27,"7,633","7,660","15,948",,"121,879","658,923","35,940","53,909","51,729","51,173","50,702","48,948","44,049",0,"3,840","3,333",47
Jyotiba Phule Nagar,"40,362","30,429","38,485","34,669","47,289","3,073",490,"12,275","4,656","7,619","15,891","15,178","15,891","28,166",29,,"27,996",315,"1,960","23,192",894,37,7,26,"2,556","2,582","7,061",,"27,316","535,980","25,534","39,970","40,650","36,631","34,199","35,814","35,627",0,"3,029",274,1
Kannauj,"42,535","9,964","25,465","37,554","32,861","1,877",63,"4,741",220,"4,521","17,486","14,935","17,486","22,227",1,,"23,000",230,"2,179","21,543",883,8,8,19,719,738,"21,126",,"85,137","661,405","15,114","43,100","42,213","38,612","39,396","38,688","36,720",0,"1,277",932,
Kanpur Dehat,"48,497","18,378","31,035","32,021","22,001","5,193",869,"3,837",636,"3,201","19,812","10,946","19,812","23,649",139,,"25,538",264,"2,657","24,711",875,"1,046",581,175,"1,352","1,527","12,450",,"64,993","708,176","19,806","31,905","32,954","31,785","30,771","32,129","33,440",0,277,"5,718",201
Kanpur Nagar,"117,633","60,933","88,722","113,158","55,399","34,897","1,977","4,829","2,506","2,323","30,871","27,314","30,871","35,700","3,555",,"46,679",653,"5,886","41,063",902,435,"1,309",644,"2,718","3,362","24,977",,"92,499","965,040","41,708","103,674","105,187","100,347","102,372","102,491","114,019",166,"12,033","20,351",
