Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Rajasthan,"1,736,201","1,215,896","1,054,332","566,544","1,296,109","1,339,569","48,206","23,888","8,500","15,388","324,899","31,883","1,352,917","1,376,805","102,813","64,184","1,362,923","24,775","188,673","1,194,238",948,"65,270","19,815","2,617","250,838","253,455","507,887","3,339","3,757,888","36,339,800","1,069,733","1,390,146",11,7,11,"491,526","1,343,164","6,119","273,528","860,088","29,132"
Ajmer,"74,434","51,470","46,139","25,158","68,697","57,216","3,308",435,104,331,"8,226","1,314","60,520","60,955","8,434","3,100","59,864","1,544","11,887","51,791",959,"3,828",537,96,"11,756","11,852","24,369",347,"237,734","2,226,645","55,246","62,233",0,0,0,0,"51,066",0,"27,501","93,637","1,999"
Alwar,"100,205","56,797","44,010","39,008","65,755","63,955","2,204","2,986","1,806","1,180","17,970","5,166","65,462","68,448","2,750","3,879","67,890","1,186","9,053","60,210",925,"2,889",546,156,"13,701","13,857","23,065",538,"135,856","1,285,693","58,011","68,312",0,0,0,"52,214","71,385",0,"3,450","20,315","1,159"
Banswara,"54,352","39,650","36,770","24,221","36,373","57,215","4,545",449,186,263,"4,020",700,"46,987","47,436","2,346",0,"46,798",799,"8,285","43,045","1,005","1,628","1,375",28,"7,363","7,391","22,389",5,"93,934","718,927","46,243","46,415",0,0,0,"19,442","43,017",11,"6,676","22,678","1,256"
Baran,"25,830","21,388","19,922","8,941","22,518","22,483",624,99,48,51,"1,319",255,"21,698","21,797","1,239",389,"21,533",374,"3,501","21,397",935,"1,110",229,112,"5,531","5,643","6,158",0,"64,370","685,945","21,579","22,446",0,0,0,"1,425","24,048",13,"1,516","32,770",523
Barmer,"88,629","54,034","43,517","38,868","54,796","42,876",401,"2,580",779,"1,801","4,632",120,"58,181","60,761","2,147",270,"60,175",937,"4,925","56,609",984,"2,609",744,37,"10,076","10,113","18,874",14,"215,788","1,931,467","37,149","72,459",0,0,0,"26,886","67,749",18,"3,068","6,005","1,080"
Bharatpur,"61,215","38,512","31,957","12,811","38,802","48,948","1,826","1,536",997,539,"9,960","1,927","53,072","54,608","1,339","4,404","54,599",596,"9,358","47,237",955,930,"1,309",30,"9,266","9,296","18,331",0,"67,939","695,902","40,154","47,261",0,0,0,"15,353","53,330",0,"3,492","8,274",591
Bhilwara,"53,143","45,452","33,742","17,504","43,367","40,839","1,159",115,47,68,"4,678",213,"46,532","46,647","3,774","1,371","45,916",903,"7,040","37,399",938,"1,742",315,98,"9,986","10,084","22,295",0,"207,769","1,488,321","41,624","47,312",0,0,0,"15,682","44,216",0,"10,843","11,952",770
Bikaner,"70,737","46,546","43,433","27,241","52,741","56,201","4,237",836,7,829,"5,839","1,805","53,182","54,018","5,124","2,510","54,876","1,277","5,887","44,825",974,"1,714",287,164,"9,459","9,623","15,221",96,"91,408","907,737","37,846","59,952",0,0,0,"25,591","51,033",13,"5,740","8,236",613
Bundi,"22,890","18,002","16,141","8,470","15,773","24,273",436,26,5,21,"1,045",0,"17,231","17,257",909,349,"17,096",250,"3,367","15,552",946,"1,076",167,7,"4,410","4,417","8,883",0,"72,038","734,630","16,050","16,790",0,0,0,"13,025","21,127",8,"2,560","5,812",396
Chittaurgarh,"30,462","23,964","20,133","6,862","19,339","21,950",220,243,43,200,"2,579",890,"27,083","27,326","2,402",229,"27,110",397,"4,050","23,450",951,"2,473","1,532",33,"4,106","4,139","13,454",0,"85,471","789,145","22,091","25,864",0,0,0,"11,302","26,354",0,"6,151","9,025",644
Churu,"43,523","32,395","27,427","15,146","25,115","36,141",540,738,2,736,"8,243",521,"34,139","34,877",929,450,"34,626",520,"2,881","33,709",958,"1,097","1,022",311,"6,904","7,215","13,772",0,"61,240","1,072,883","21,162","35,786",0,0,0,"20,428","37,149",0,"3,960","10,060",570
Dausa,"37,983","28,366","18,876","15,972","31,485","25,428",346,125,86,39,"12,686","4,324","31,129","31,254",340,865,"31,078",322,"3,889","29,206",933,973,277,15,"6,543","6,558","9,395",110,"49,962","445,458","21,872","31,275",0,0,0,"11,426","32,884",4,"1,986","2,087",266
Dhaulpur,"34,709","29,166","25,486","16,702","19,256","63,118","1,293",569,428,141,"1,847",0,"29,756","30,325","1,387",0,"30,133",442,"4,605","29,432",944,"1,619",251,14,"4,689","4,703","9,732",0,"38,635","240,315","28,032","29,967",0,0,0,"7,894","28,369",0,931,"16,591",879
Dungarpur,"36,796","26,366","18,939","12,725","18,309","47,371","2,826","1,443",408,"1,035","7,346",0,"31,920","33,363","1,948",0,"32,648",838,"4,378","28,089",918,"3,030",631,14,"3,977","3,991","12,584",0,"181,456","1,714,683","21,843","32,532",0,0,0,"14,998","29,829","1,492","3,722","11,232",905
Ganganagar,"35,982","29,902","24,679","11,181","31,785","35,905","1,515",466,80,386,"10,119","1,994","32,037","32,503","1,317","2,035","32,143",586,"3,683","26,093",944,"1,544",138,78,"8,061","8,139","19,421",0,"78,468","1,327,490","19,222","30,998",0,0,0,0,"32,000",0,"9,364","22,651",377
Hanumangarh,"33,844","28,687","23,832","11,859","50,428","38,596","2,766",421,102,319,"14,888","1,287","33,104","33,525","1,487","1,595","33,142",539,"4,416","30,050",969,692,239,185,"6,857","7,042","11,826",281,"74,573","711,569","22,724","32,780",0,0,0,"4,875","30,379",19,"1,382","6,614",451
Jaipur,"195,403","114,889","101,461","34,301","147,307","115,608","3,380",318,108,210,"44,841",172,"127,966","128,284","22,518","14,636","126,758","2,395","20,148","92,397",932,"6,609","3,290",302,"22,004","22,306","33,754","1,035","243,627","2,707,449","107,336","122,605",0,0,0,"20,953","112,809",17,"62,652","153,085","3,351"
Jaisalmer,"19,924","12,916","12,295","8,345","13,109","14,345",306,799,363,436,859,310,"16,727","17,526",330,0,"16,927",309,"1,071","15,723",946,"1,236",51,3,"2,796","2,799","7,095",0,"43,042","565,097","10,203","16,815",0,0,0,"13,591","16,183",659,"1,572","10,525",245
Jalor,"48,377","34,780","28,783","21,354","26,522","31,732","1,219","1,005",580,425,"26,629","1,251","43,448","44,453",109,"2,520","43,683",929,"5,310","40,333",959,"1,097",147,21,"7,765","7,786","12,721",11,"86,234","567,363","20,784","44,133",0,0,0,"17,961","41,177",0,"1,734","6,676",810
Jhalawar,"30,514","25,461","20,481","8,745","28,415","26,518",983,45,8,37,"1,595",0,"30,957","31,002","3,901",789,"30,513",718,"5,952","27,496",923,"1,732",196,75,"7,461","7,536","12,731",0,"108,727","1,297,358","29,728","30,142",0,0,0,"4,900","27,507",19,"19,186","52,487",851
Jhunjhunun,"38,028","31,447","27,403","10,551","47,817","34,361",475,32,17,15,"16,573",553,"27,665","27,697",610,"3,612","27,785",212,"1,826","23,421",950,"1,011",482,167,"5,930","6,097","14,096",9,"179,556","2,009,306","17,288","33,676",0,0,0,"6,841","33,695",0,"7,117","45,359",541
Jodhpur,"121,574","73,148","79,834","32,231","74,472","55,614","6,172","2,747",418,"2,329","5,262","3,497","72,886","75,633","12,212","2,068","74,714","1,496","9,889","63,405",962,"4,784",813,50,"12,415","12,465","23,963",202,"185,598","1,749,582","69,318","88,654",0,0,0,"34,134","70,684",3,"24,337","63,246","1,728"
Karauli,"37,472","32,075","30,415","17,609","26,218","36,344","1,079",426,425,1,"13,298","1,225","30,053","30,479",154,"2,321","30,238",399,"3,752","28,570",933,"1,230",121,8,"6,230","6,238","11,671",0,"88,473","783,713","20,514","30,186",0,0,0,"14,362","32,767",0,"2,176","9,195",704
Kota,"47,022","32,779","23,387","11,824","43,451","34,130",531,230,56,174,"10,541",0,"35,572","35,802","6,920","2,262","35,533",650,"4,474","27,641",903,535,605,112,"7,223","7,335","5,949",117,"73,444","938,122","33,253","35,437",0,0,0,"14,882","33,768",16,"10,602","54,161","1,350"
Nagaur,"70,583","54,371","44,581","26,719","34,316","57,209",832,654,176,478,"21,393",297,"57,227","57,881","1,639","4,630","57,597",584,"5,477","52,157",973,"2,542",282,70,"9,246","9,316","21,782",19,"104,373","985,132","35,915","63,871",0,0,0,"16,385","61,323","3,504","6,016","16,379",816
Pali,"46,958","31,198","28,743","16,251","35,295","35,602",757,483,68,415,"9,152",29,"39,777","40,260","3,151","1,152","39,616",786,"4,025","36,375",947,"1,159",370,40,"7,351","7,391","13,303",71,"101,365","743,316","28,022","37,540",11,7,11,"18,631","39,340",72,"8,949","23,171",774
Pratapgarh,"22,037","13,388","10,752","6,860","23,163","18,388",112,182,55,127,454,0,"17,940","18,122",69,0,"17,812",415,"3,479","16,974",961,568,14,23,"3,463","3,486","7,066",0,"49,401","296,833","16,625","17,430",0,0,0,"5,349","18,763",0,476,"5,019",364
Rajsamand,"29,022","21,583","19,785","6,419","16,053","24,073",190,900,311,589,"4,925",,"22,234","23,134",381,,"22,872",346,"2,620","16,840",959,"2,093",570,33,"2,791","2,824","10,571",,"43,828","353,832","14,067","17,857",0,0,0,"11,619","23,907",144,"3,645","5,058",506
Sawai Madhopur,"31,881","25,839","23,628","12,670","31,587","28,358","1,692",49,20,29,"11,934","1,380","32,602","32,651","1,302","1,186","32,538",610,"5,140","30,986",918,"2,136",310,32,"4,978","5,010","10,944",2,"56,954","366,708","29,261","32,072",0,0,0,"11,831","26,504",78,"1,928","16,495",315
Sikar,"54,869","45,092","37,868","15,384","51,424","37,502",541,213,117,96,"25,936","1,464","44,735","44,948","2,395","5,272","44,879",510,"4,392","40,828",958,"2,096",927,169,"8,978","9,147","22,625",246,"178,234","2,241,687","40,768","44,861",0,0,0,"15,154","44,753",0,"5,250","24,616",507
Sirohi,"28,729","19,457","17,863","12,344","14,120","20,907",436,215,184,31,"6,620",17,"24,957","25,172","1,277",596,"24,639",677,"3,853","24,347",925,"1,526",687,12,"3,598","3,610","14,271",79,"98,664","979,825","13,621","24,233",0,0,0,"13,220","24,327",0,"4,322","12,554",513
Tonk,"27,743","23,564","18,538","10,192","28,944","24,020",559,62,28,34,"4,646",903,"25,258","25,320","1,379",486,"25,070",483,"3,273","24,035",898,"1,985",143,4,"5,224","5,228","9,076",11,"92,498","670,243","22,124","24,974",0,0,0,0,"24,114",0,"6,104","14,395",435
Udaipur,"81,331","53,212","53,512","22,076","59,357","62,343",696,"2,461",438,"2,023","4,844",269,"60,880","63,341","6,594","1,208","62,122","1,746","12,787","54,616",941,"3,977","1,208",118,"10,700","10,818","26,500",146,"267,229","2,107,424","50,058","63,278",0,0,0,"31,172","67,608",29,"15,120","59,728","2,843"
