Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Telangana,"759,098","541,937","640,697","80,398","838,550","698,975","21,432",588.0,314.0,274.0,"325,090","38,574","620,665","621,253","129,054","174,556","633,667","3,403","41,286","482,137",951,"4,171","1,572","3,422","75,895","79,317","29,821","20,745","608,162","4,313,339","609,908","670,136","2,287",541.0,"1,359","8,354","629,948","2,947","90,401","280,818","2,694"
Adilabad,"13,641","12,208","11,650","1,175","12,013","13,704","1,044",89.0,47.0,42.0,"3,491",,"14,056","14,145","3,083","2,839","14,107",88,"1,493","13,880",961,261,11,3,"1,055","1,058","1,405",11,"10,416","26,193","13,376","13,595",0,0.0,0,0,"12,831",12,"2,874","2,056",341
BHADRADRI KOTHAGUDEM,"16,456","14,470","7,832","5,291","14,950","28,174",767,50.0,17.0,33.0,"4,323",530,"14,819","14,869","3,819","2,669","14,773",140,709,"11,512",948,234,28,24,"2,398","2,422",105,,"39,147","133,599","13,572","14,541",0,0.0,0,28,"16,063",26,"4,832","9,053",167
Hyderabad,"111,297","50,398","58,610","7,978","99,642","95,234","4,812",,,,"61,800",,"129,183","129,183","29,245","19,460","129,643","1,500","9,949","64,893",953,"1,142",587,407,"14,568","14,975","9,044",248,"48,937","186,203","76,355","86,673",479,0.0,0,858,"68,878",50,"18,440","64,342",507
JAGITIAL,"16,104","13,777","13,393","2,552","20,305","11,811",516,0.0,0.0,0.0,"6,061",0,"14,488","14,488","5,376","2,516","16,052",42,"1,992","13,647",947,145,1,499,"2,505","3,004","1,950",15,"4,619","65,509","15,287","15,476",239,53.0,34,127,"18,113",81,111,"3,648",37
JANGOAN,"7,744","7,352","6,995",644,"10,410","18,480","2,262",1.0,0.0,1.0,"3,980",70,"8,275","8,276","2,359","1,266","8,283",7,319,"2,382",948,7,12,81,468,549,33,,"15,653","86,149","8,288","8,580",0,0.0,0,0,"9,122",2,"1,664",636,47
JAYASHANKAR BHUPALPALLY,"10,632","9,340","6,102","1,284","8,033","13,843",93,0.0,0.0,0.0,542,0,"4,702","4,702","2,009",532,"4,989",12,345,"4,837",888,2,0,106,117,223,42,,"7,199","15,135","4,782","4,795",0,0.0,0,0,"10,385",0,"1,422","2,533",30
JOGULAMBA GADWAL,"30,411","16,872","13,012","6,380","32,758","12,245",182,7.0,7.0,0.0,684,114,"6,767","6,774","1,138",484,"8,720",68,734,"6,775",973,79,32,0,"1,257","1,257",173,,"17,722","205,791","8,646","13,627",583,41.0,105,"1,252","11,535",29,871,"9,032",93
KAMAREDDY,"42,183","23,031","37,242","2,696","42,049","19,736",213,8.0,8.0,0.0,"8,350",955,"16,549","16,557","3,552","4,395","17,956",139,950,"12,977",979,100,9,3,"1,101","1,104",613,,"29,276","40,007","18,529","23,909",32,0.0,13,"1,025","15,059",279,"2,651","3,462",68
KOMARAM BHEEM,"10,751","9,884","10,066",869,"14,681","16,205",625,82.0,39.0,43.0,"1,405",0,"5,975","6,057",153,"1,193","6,147",64,598,"5,782",924,29,1,1,84,85,42,0,"3,675","10,748","6,097","6,097",0,0.0,0,49,"9,136",3,188,280,12
Karim Nagar,"15,514","12,920","11,720",820,"14,919","21,634",373,3.0,0.0,3.0,"7,744",205,"18,033","18,036","6,481","7,022","18,211",47,"1,353","13,031",903,86,19,787,"2,966","3,753",305,335,"3,573","53,338","18,207","18,209",0,0.0,0,0,"16,638",3,"1,024","12,950",39
Khammam,"20,262","17,865","16,905","1,568","18,919","24,696","1,896",0.0,0.0,0.0,"9,978",801,"19,702","19,702","5,584","7,909","20,142",128,"2,542","19,283",939,94,45,8,"4,112","4,120","2,712",170,"54,644","359,699","19,297","19,788",3,0.0,0,85,"22,778",243,"1,985","2,484",225
MAHABUBABAD,"12,823","11,783","8,324","1,040","10,243","7,275",0,0.0,0.0,0.0,"8,937",,"11,873","11,873","1,587",,"11,867",6,190,"8,548",987,0,0,112,470,582,"1,498",,"19,480","21,438","12,778","12,783",0,0.0,0,0,"12,189",2,"1,760","10,085",7
MANCHERIAL,"12,071","10,127","30,717","4,526","45,015","38,710","1,248",13.0,13.0,0.0,"5,811",,"10,546","10,559","1,874","5,309","10,465",34,240,"4,548",951,112,0,122,500,622,826,5,"8,209","80,107","11,462","12,611",0,0.0,0,36,"12,099",521,"1,981","3,383",52
MEDCHAL MALKAJGIRI,"64,988","56,487","71,187","3,869","73,604","18,428",198,64.0,64.0,0.0,"36,123",0,"39,865","39,929",603,"26,260","40,303",86,328,"36,846","1,024",11,6,66,"1,879","1,945","1,536","6,558","20,068","58,295","72,823","78,640",410,29.0,234,223,"64,314",159,62,"2,003",22
