Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_West Bengal,"1,621,046","1,419,251","1,324,116","137,993","1,377,322","980,555","9,959","17,639",80,"17,559","248,574","3,890","1,248,560","1,266,199","253,199","198,373","1,256,148","18,940","254,284","1,021,256",951,"74,884","32,717","2,831","160,826","163,657","568,176","2,036","8,147,169","28,611,434","1,155,046","1,323,972","1,490",739,846,"6,565","1,413,104","83,993","359,037","575,298","20,931"
Alipurduar,"23,565","21,437","19,304","1,814","21,239","27,636",107,291,0,291,"3,683",37,"22,571","22,862","5,419","3,788","23,193",349,"5,009","20,169",938,"1,590",349,44,"1,719","1,763","10,177",0,"89,205","422,723","21,224","21,647",1,1,1,90,"20,972","7,112","4,065","2,872",395
Bankura,"55,864","53,410","46,688","4,953","49,756","32,969",9,147,1,146,"2,293",0,"48,986","49,133","10,855","2,216","48,608",822,"12,193","46,018",929,"1,877",503,15,"10,214","10,229","12,992",0,"677,315","2,092,693","47,967","50,033",3,1,1,18,"52,270","4,052","17,262","21,414","1,227"
Birbhum,"63,335","59,915","55,999","5,473","53,042","40,624",111,451,14,437,"5,621",0,"59,405","59,856","8,826","3,856","59,310",661,"13,938","55,273",948,"2,421","2,109",2,"8,002","8,004","25,175",0,"348,982","766,218","58,995","62,980",9,21,53,100,"61,326","10,230","12,657","22,456","1,149"
Dakshin Dinajpur,"27,234","24,299","21,926","2,656","23,329","23,197",432,153,0,153,338,,"20,950","21,103","4,939",326,"21,457",319,"5,348","20,117",950,"1,493","2,013",15,"2,429","2,444","10,598",,"156,879","694,368","19,661","21,797",1,0,1,0,"24,649",223,"4,414","3,948",311
Darjiling,"24,037","20,224","19,726",864,"30,022","12,140",233,94,1,93,"4,457",0,"26,062","26,156","6,624","3,804","26,026",477,"3,723","20,566",962,737,"1,480",13,"2,840","2,853","6,864",,"83,669","387,377","26,035","26,286",0,0,0,17,"23,587","3,377","13,705","22,034","1,036"
Haora,"71,953","64,313","66,213","5,318","67,611","34,317",303,284,0,284,"8,195","1,578","36,255","36,539","8,683","6,764","36,339",411,"7,737","33,536",961,"4,040","1,781",12,"5,569","5,581","24,798",169,"380,426","1,561,851","39,064","50,736",4,0,12,191,"61,119","16,355","19,584","17,611",568
Hugli,"75,207","66,400","63,821","2,289","65,933","35,769",306,48,0,48,"20,402",0,"58,479","58,527","13,702","18,369","58,015",692,"10,907","55,561",959,"4,356","2,037",122,"13,774","13,896","33,845",20,"524,573","1,531,766","52,956","60,756",20,16,6,0,"68,189","5,025","19,715","24,163",486
Jalpaiguri,"38,259","35,217","31,977","2,021","33,718","44,774",910,156,3,153,160,160,"26,984","27,140","7,721",0,"26,865",398,"5,971","25,579",938,"1,753","1,420",79,"3,306","3,385","19,157",0,"199,035","621,808","28,477","28,529",0,0,0,0,"33,857","9,910","1,671","2,586",343
Jhargram,"18,528","17,956","16,460",861,"16,270","16,061",95,63,14,49,822,64,"18,419","18,482","4,000",739,"18,412",279,"5,106","17,022",942,"1,185","1,015",14,"2,894","2,908","16,626",0,"113,837","502,411","17,618","18,780",1,0,0,0,"16,375","2,033","6,370","16,350",222
