Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Budaun,"120,966","58,357","73,672","36,615","101,971","56,640","1,944","15,159",856,"14,303","1,615",713,"54,277","69,436",432,445,"68,773",935,"7,559","66,977",924,"1,470",403,3,"2,275","2,278","13,483",23,"23,135","406,249","52,415","81,239","2,170","1,106",841,"4,328","85,532","4,821","1,459","2,912",135
Bulandshahar,"150,962","70,637","135,120","26,999","102,869","70,915","4,470","13,288","3,731","9,557","51,947","9,864","91,582","104,870",445,"1,190","107,823",547,"7,426","98,698",915,396,"1,443",48,"4,478","4,526","17,722",767,"65,524","1,062,309","74,799","119,584",416,185,130,153,"99,701",4,"2,887","11,145",181
C S M Nagar,"58,276","34,235","60,950","10,694","56,208","21,197",844,659,425,234,739,,"30,555","31,214",94,288,"30,985",282,"4,953","29,621",916,164,1,3,"1,989","1,992","16,140",,"23,811","372,997","28,987","46,886",113,0,26,646,"50,064",34,81,606,145
Chandauli,"69,154","47,984","61,025","11,925","60,224","35,115","1,689",540,242,298,"9,619","6,011","37,997","38,537",908,"2,923","39,986",406,"3,518","39,190",947,321,149,78,"10,821","10,899","7,414",17,"45,108","423,234","23,368","59,532",86,146,166,349,"55,847",858,"2,191","7,475",69
Chitrakoot,"31,365","25,548","30,151","11,175","31,055","16,052","1,618",964,226,738,,,"19,796","20,760",47,,"20,724",248,"3,518","19,895",939,546,88,28,"3,505","3,533","10,853",,"67,353","756,797","18,426","25,788",8,4,0,18,"27,885",70,950,"5,452",169
Deoria,"94,922","48,833","81,268","5,409","83,806","28,720",285,"2,209","1,415",794,"10,466","1,174","59,062","61,271","1,707","2,345","60,954",406,"4,934","58,030",972,93,519,36,"4,099","4,135","7,926",8,"39,619","293,465","43,204","86,497",506,96,117,"8,887","87,794",361,"4,532","2,581",55
Etah,"62,913","30,564","39,416","21,982","55,084","33,216","1,289","5,378",196,"5,182","1,908",468,"22,476","27,854",174,0,"27,580",300,"2,462","26,588",907,87,125,113,"1,605","1,718","7,445",0,"30,838","383,410","17,970","50,954",713,323,82,"1,188","50,574",0,123,"1,536",116
Etawah,"64,229","25,309","30,741","10,268","66,064","32,821",724,282,62,220,"3,863","3,268","34,689","34,971","3,594","2,103","34,708",276,"5,659","33,114",937,39,86,6,"2,715","2,721","18,989",597,"49,904","461,150","42,693","51,943",84,21,0,"13,187","43,141",992,"2,918","3,433",27
Faizabad,"79,799","37,023","52,237","9,735","55,245","41,086",593,"2,238",65,"2,173","9,061",119,"40,689","42,927","1,682","4,879","42,161",874,"3,986","31,804",934,352,32,89,"1,441","1,530","12,610",0,"49,557","398,670","31,998","61,890",199,217,265,"1,722","64,997",61,"6,134","7,319",532
Farrukhabad,"73,031","37,605","44,483","18,875","67,403","46,347",815,"7,670",31,"7,639","6,457","1,623","28,555","36,225",126,"2,472","36,318",598,"4,280","28,366",894,"1,158",280,3,792,795,"9,200",423,"48,960","396,475","30,680","53,278","1,008",629,567,"4,156","51,093",47,417,506,136
Fatehpur,"81,396","66,423","70,010","12,818","81,538","59,348","1,930","7,202","1,294","5,908","5,658","2,787","40,177","47,379",428,"1,326","47,132",498,"5,487","45,780",913,222,156,24,"1,947","1,971","8,886",244,"30,927","230,668","37,682","63,117",318,174,153,"8,062","67,407",6,"2,694","4,386",17
Firozabad,"88,385","49,318","79,735","24,252","87,612","64,188","2,976",753,285,468,"7,754",0,"39,478","40,231",267,"5,386","42,728",277,"3,584","30,927",911,111,221,88,"3,373","3,461","32,269",0,"44,384","1,164,820","43,684","79,621",287,215,141,"3,111","70,050",0,"5,741","4,248",76
Gautam Buddha Nagar,"69,345","45,777","53,346","15,737","69,155","39,428","3,345","1,882",0,"1,882","28,042","16,043","48,974","50,856","2,335","11,579","50,788",490,"9,738","36,964",905,490,565,87,"2,865","2,952","10,259",584,"65,104","509,298","63,546","56,851",0,0,0,0,"58,358",27,"2,308","7,432",5
Ghaziabad,"138,680","84,423","101,226","34,976","101,944","58,870","1,828","5,183","3,961","1,222","55,421","35,496","73,859","79,042","2,487","4,848","79,043",242,"8,670","72,337",950,378,297,51,"2,324","2,375","16,008","1,841","43,015","713,926","48,511","108,528",491,5,4,307,"103,344",77,"4,246","8,859",7
Ghazipur,"110,109","72,693","92,659","9,274","82,696","31,533",728,"1,888",854,"1,034","19,975","5,314","67,288","69,176",590,0,"74,077",582,"3,425","53,263",905,353,8,65,"9,360","9,425","8,757",,"31,908","324,943","50,309","102,174",273,139,168,"1,425","97,526",75,"1,035","4,124",163
Gonda,"117,789","58,862","97,629","31,672","78,501","62,409","2,200","12,614",263,"12,351","5,946",189,"59,139","71,753","3,839","3,945","71,161","1,158","7,252","60,395",921,432,114,3,"2,306","2,309","8,633",0,"75,233","151,525","44,752","102,001",460,106,86,813,"94,651",910,"1,811","1,240",43
Gorakhpur,"160,277","71,752","107,441","18,116","110,768","56,137",296,"1,390",686,704,"4,578","3,922","63,483","64,873","4,497","2,025","65,035",691,"7,220","57,047",919,438,322,287,"10,957","11,244","21,889",46,"46,430","683,500","76,273","127,348",754,657,624,"4,125","112,686",40,"3,942","4,343",119
Hamirpur,"26,171","15,639","22,145","1,193","23,221","20,233",70,300,109,191,88,79,"18,992","19,292",404,0,"19,128",172,"3,569","18,631",889,61,"1,261",37,"2,029","2,066","13,374",0,"73,642","600,015","17,753","21,199",0,0,0,18,"23,568",0,"1,608","13,263",40
