Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
jammu,1529957,1137134,410344,98277,1021336
punch,476834,261724,73247,88146,315441
kathua,616435,389204,142847,57584,416003
rajauri,0,0,0,0,0
badgam,753744,335649,132002,82862,538879
pulwama,560440,293958,98305,90114,372019
srinagar,1236829,748584,330547,76640,829641
kupwara,870353,439653,123836,105226,641290
anantnag,1078692,545532,176799,212883,689008
udhampur,554984,322353,152441,91230,311313
leh(ladakh),133486,93769,57124,17953,58407
doda,409935,219083,79377,72535,258023
baramula,1008038,545148,187959,116241,703839
kargil,140802,86235,28941,22931,88928
