Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
northwest,3397023,2456829,1048834,51503,2296557
north,854602,635620,271373,12504,570709
southwest,2116232,1608836,690662,41120,1384426
west,2411118,1821744,790412,34608,1585935
south,2583243,1915576,827880,49951,1705228
northeast,2087579,1453006,572498,35805,1479122
east,1631571,1260365,523323,22842,1085237
central,600842,444931,201028,11128,388630
newdelhi,152246,119038,58748,3099,90278
