Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
gandhinagar,1433319,1151056,441432,80400,914876
ahmadabad,8387996,6723249,2797208,306719,5288772
sabarkantha,2704505,1945321,903646,298184,1505666
porbandar,622075,458979,212342,32156,379029
dohad,2555676,1467820,597133,564351,1407824
patan,1469325,1059736,485609,92000,903804
rajkot,4323018,3344264,1531984,145103,2654403
panchmahals,2685202,1827572,737365,453631,1497815
surendranagar,1947537,1384079,644722,138242,1166816
bharuch,1691216,1327233,570501,100193,1021902
junagadh,2970410,2223866,1071095,160289,1751831
mahesana,2185539,1771034,723359,87662,1398906
valsad,1948284,1485200,635504,180656,1135120
kheda,2514899,2032699,742204,210507,1573397
surat,6979288,5859661,2755015,119703,4133994
jamnagar,2359395,1667832,798163,138628,1422873
narmada,649990,475061,207225,115889,327364
kachchh,2543348,1722091,860170,78457,1620668
bhavnagar,3207882,2362910,1172880,155149,1889127
vadodara,4576516,3473529,1483489,344939,2750231
thedangs,262774,193614,104837,35105,123100
amreli,1604503,1170332,574899,126068,904861
banaskantha,3640062,2413634,1162247,220395,2280285
navsari,1404639,1153599,550721,77638,777829
anand,2275466,1863842,745671,146708,1387886
