Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
malkangiri,663123,318617,190057,150973,323134
nayagarh,1005158,764338,239165,130709,637105
cuttack,2747202,2218374,732247,269321,1748060
khordha,2421503,1964298,706348,196504,1527526
kandhamal,770110,461188,163636,218223,393095
sonapur,0,0,0,0,0
rayagada,1028741,497586,219534,289029,531316
debagarh,329351,227235,89542,95277,146780
dhenkanal,1247252,921179,283775,194286,776899
kalahandi,1685221,958726,374660,449404,873733
koraput,1468346,689501,415134,336596,719246
mayurbhanj,2649025,1575271,522638,824748,1338750
kendrapara,1499736,1194129,334515,171294,998456
bargarh,1538935,1096670,515865,327047,706130
sundargarh,2208816,1500824,558827,376350,1275674
jagatsinghapur,1170350,957842,309118,129072,735600
jajapur,1915256,1426481,434488,168240,1316022
ganjam,3688144,2495194,935350,654220,2100695
nuapada,645514,361076,160584,174018,312724
kendujhar,1907635,1185984,462983,374197,1075605
bhadrak,1581471,1214509,339350,172973,1075682
baleshwar,2450721,1816817,681936,410550,1391215
puri,1784133,1417523,485639,235484,1087183
jharsuguda,610026,450405,190655,85032,336586
sambalpur,1086551,779507,361585,182629,543893
gajapati,603245,308183,166668,136949,301952
balangir,1793205,1076814,424420,377429,996687
baudh,471607,319970,131719,111791,229837
nabarangapur,1309048,575136,285055,376060,651096
anugul,1331647,964152,325261,235795,773133
