Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
east,275417,202035,107087,27618,140685
north,43159,28930,17282,6111,19742
west,133691,85690,50004,16012,66847
south,143648,99364,52130,20903,69915
