Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
bijapur,2390107,1498173,891934,168342,1338770
davanagere,2027700,1463839,744921,179923,1103317
gadag,1114204,789029,441938,73935,598418
bellary,2697720,1711810,1066179,163891,1467677
mysore,3199190,2266099,1169688,260683,1770778
shimoga,1810599,1372896,688497,127794,995081
raichur,2073039,1178842,838404,172177,1072678
kolar,1195848,871334,443726,103654,649240
dharwad,1981855,1490637,749622,92140,1141473
bangalore,11672779,9415141,4914492,557575,6253388
dakshinakannada,2192768,1823308,953298,74163,1169830
haveri,1683378,1235707,640772,124578,919515
bidar,1813626,1214619,628697,160877,1029882
gulbarga,2323440,1497129,771691,205276,1348248
tumkur,2727396,1977120,1092782,281126,1353554
kodagu,557522,434072,264530,20913,272338
chitradurga,1735112,1230124,718508,215370,806294
uttarakannada,1480844,1183570,521304,103099,858301
hassan,1804446,1326992,778462,146115,880892
koppal,1498314,995401,557373,154442,786938
chamarajanagar,1049633,646101,405783,95147,550449
belgaum,5090053,3511736,1842187,387732,2860461
mandya,1827175,1263725,731706,155776,939948
chikmagalur,1136491,870266,508194,84416,547816
udupi,1211336,990419,482096,46863,685098
bangalorerural,719127,552243,285703,45377,389122
bagalkot,2021233,1317828,742359,134112,1149026
