Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Tamil Nadu,"1,027,000","976,860","1,044,928","1,028,062","888,597","2,317,512","41,425",296.0,109.0,187.0,"512,158","35,225","901,887","902,183","196,425","205,962","901,281","5,254","113,323","502,415",938,"60,359","25,935",744,"273,139","273,883","371,647","13,680","750,493","6,740,817","907,208","906,932",0,0,0,"880,296","850,874",713,"468,176","1,673,858","4,400"
Ariyalur,"11,546","10,384","12,425","10,793","9,436","26,922",309,1.0,1.0,0.0,"4,766",75,"7,982","7,983","2,268","2,194","7,991",33,"1,402","3,515",955,782,299,31,"2,897","2,928","4,427",0,"7,305","58,395","9,845","9,846",0,0,0,"10,495","10,224",0,"4,864","22,341",74
Chennai,"87,454","86,014","87,218","88,901","86,648","169,665","3,268",,,,"50,225","8,755","97,120","97,120","27,049","22,695","97,115",819,"11,494","47,112",949,"4,324","5,648",36,"24,527","24,563","45,880","3,555","77,437","819,376","78,308","78,028",0,0,0,"70,973","71,946",266,"90,757","87,530",828
Coimbatore,"47,455","42,701","46,267","51,167","44,465","51,070","1,133",8.0,4.0,4.0,"16,008",426,"44,520","44,528","6,360","15,797","44,486",77,"3,533","22,534",964,"2,425","1,011",17,"11,336","11,353","15,958",488,"26,269","297,418","43,940","44,075",0,0,0,"38,714","37,781",8,"20,645","76,155",351
Cuddalore,"35,279","33,940","35,792","33,574","28,717","71,375",987,0.0,0.0,0.0,"17,793",397,"36,554","36,554","8,385","10,784","36,524",83,"3,415","17,469",930,700,485,33,"8,173","8,206","15,114",337,"42,630","479,176","32,550","33,122",0,0,0,"29,640","27,744",52,"16,104","54,756",19
Dharmapuri,"27,651","27,236","27,629","28,715","27,488","77,370",287,57.0,0.0,57.0,"15,968",306,"22,246","22,303","4,572","2,569","22,107",207,"3,817","15,176",902,"2,491",474,28,"6,606","6,634","12,004",266,"14,308","79,030","23,951","23,990",0,0,0,"23,210","22,863",0,"7,455","14,483",454
Dindigul,"29,760","29,297","29,871","28,975","27,012","69,652","1,477",59.0,5.0,54.0,"15,130",70,"27,873","27,932","3,454","7,150","27,830",166,"3,591","17,294",945,"1,507",428,13,"9,468","9,481","9,131","1,178","27,180","264,429","25,919","25,990",0,0,0,"23,394","23,169",10,"10,916","48,205",26
Erode,"28,970","27,586","28,562","30,113","27,030","22,028",592,1.0,0.0,1.0,"9,732",128,"27,187","27,188","4,271","11,467","27,239",181,"3,101","11,425",924,481,389,52,"9,584","9,636","10,084",699,"26,152","217,340","25,173","25,197",0,0,0,"25,317","25,096",113,"11,050","18,704",81
Kancheepuram,"48,297","44,506","46,652","47,717","45,892","68,587",567,0.0,0.0,0.0,"25,568","1,551","37,675","37,675","10,954","7,802","37,658",91,"5,298","19,248",963,"3,273",490,63,"14,002","14,065","13,089",295,"27,101","176,218","42,165","42,219",0,0,0,"47,382","42,244",45,"22,244","69,744",8
Kanniyakumari,"23,617","22,517","23,140","27,386","24,119","42,522",210,1.0,1.0,0.0,"7,305",172,"22,521","22,522","3,937","9,949","22,531",56,"1,174","8,753",952,847,361,20,"8,651","8,671","6,098",155,"16,950","133,836","23,509","23,534",0,0,0,"22,518","20,366",0,"13,507","98,209",60
