Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Junagadh,"21,822","19,602","18,378","17,934","21,938","15,049",464,28,23,5,"11,472","5,858","22,131","22,159","2,364","4,074","21,981",243,"2,595","18,596",944,205,111,2,"3,886","3,888","16,342",514,"85,003","6,06,337","21,496","20,820",5,2,0,"8,346","21,069",60,"1,303","4,822",264
Kachchh,"65,262","47,931","43,230","47,574","58,423","39,415","1,172",118,43,75,"18,095","11,700","41,979","42,097",911,"2,377","43,864",529,"3,909","34,127",898,586,26,0,"10,500","10,500","10,551","4,127","99,668","5,37,245","37,936","55,896","5,768","5,167","5,739","24,485","47,033",399,"1,381","3,450",512
Kheda,"52,304","48,036","43,323","37,434","49,207","39,101","3,394",0,0,0,"13,880","9,000","47,974","47,974","1,408",405,"47,906",321,"3,794","41,223",948,791,234,15,"19,012","19,027","26,887","10,684","41,141","3,64,327","40,998","44,840",400,127,63,"22,589","43,822",38,"3,711","12,227",456
Mahesana,"41,427","35,921","33,164","37,404","38,262","26,548",674,5,2,3,"8,425","3,629","33,860","33,865","1,145","7,057","33,720",450,"5,570","30,673",918,"1,672",243,23,"7,848","7,871","28,944",650,"2,05,431","16,42,144","28,044","34,765",30,10,9,"15,055","32,330",1,"6,586","30,678",726
Mahisagar,"25,888","22,403","23,591","20,974","26,055","27,389","3,618",50,45,5,"3,928","2,378","25,676","25,726",137,"2,639","25,643",137,"3,253","25,489",903,340,0,36,"5,751","5,787","5,554","4,679","26,988","1,94,443","10,114","21,693",164,65,169,"8,658","21,102",221,"1,864","3,306",327
Morbi,"22,875","19,191","18,894","15,350","24,702","14,050",185,79,79,0,"5,815","4,200","24,814","24,893",144,"2,732","24,873",161,"1,823","23,929",939,452,95,0,"2,488","2,488","9,240",407,"28,102","5,75,681","22,858","21,276",24,1,0,"12,568","20,728",0,541,"6,950",257
Narmada,"10,295","9,545","8,580","6,402","9,565","9,352",72,365,142,223,"6,631","1,176","7,740","8,105",372,106,"8,021",155,"2,321","7,884",930,457,14,6,"2,448","2,454","1,954",60,"13,314","1,69,359","7,697","7,675",0,0,0,"3,191","8,194","2,312",695,"2,391",264
Navsari,"18,798","16,746","16,073","13,845","16,736","12,942",155,3,3,0,"6,718","1,484","15,278","15,281",755,"3,496","15,316",93,"3,275","14,437",907,749,341,9,"4,463","4,472","6,996",213,"39,232","2,22,384","18,208","17,345",0,1,1,"7,039","17,381",64,"2,979","10,662",166
Panch Mahals,"44,886","34,519","40,176","35,127","42,849","29,617","2,477",187,184,3,"11,717","10,524","35,825","36,012",681,"1,597","35,805",426,"3,446","32,670",899,"1,320",570,32,"7,092","7,124","16,183",487,"40,262","3,71,087","27,234","34,662",419,184,139,"14,227","34,794",60,"1,473","3,266",806
Patan,"29,952","24,961","27,573","21,644","29,961","11,552",629,5,2,3,"7,090","1,528","30,727","30,732",954,"1,143","30,405",250,"2,631","29,078",939,185,110,171,"10,160","10,331","13,801","10,098","52,319","2,53,351","30,202","27,861",0,0,0,"23,912","26,831",403,"1,382","9,394",385
Porbandar,"10,047","8,217","7,947","6,964","9,362","6,207",269,20,8,12,"3,883","3,052","8,053","8,073",646,"1,704","8,073",53,482,"7,560",942,106,86,0,"1,323","1,323","2,991",36,"16,136","1,73,139","8,020","7,629",0,0,0,"5,456","9,185",9,"1,787","5,756",138
Rajkot,"68,748","52,333","58,876","44,434","66,565","33,146","1,563",204,90,114,"22,826","7,848","63,185","63,389","4,294","7,910","62,797",551,"7,754","51,610",877,"2,335","1,211",60,"7,525","7,585","31,053","1,330","98,192","16,45,515","63,844","65,099",80,30,52,"23,118","53,275","1,516","4,219","13,950","1,652"
Sabar Kantha,"33,805","29,218","28,325","26,566","31,465","26,643","9,919",686,273,413,"12,057","1,179","29,465","30,151",804,"6,434","29,982",504,"4,886","26,872",912,"1,258",200,194,"10,283","10,477","20,594",79,"61,651","7,23,983","31,369","32,456",180,184,145,"13,569","27,889",198,"2,266","11,852",592
Surat,"1,10,039","98,950","91,274","63,429","1,05,627","49,743","1,460",232,200,32,"27,651","13,172","1,02,508","1,02,740","5,579","23,093","1,02,622",752,"11,701","79,321",875,919,"1,134",40,"33,822","33,862","13,224","24,696","1,63,753","21,09,692","97,544","1,03,421",167,138,355,"48,977","98,843",55,"23,136","75,601","1,519"
Surendranagar,"32,595","28,072","28,005","21,772","32,549","24,558",905,105,19,86,"7,452","2,906","22,831","22,936",242,"2,543","22,751",269,"1,739","22,743",907,264,12,54,"8,945","8,999","13,534","2,243","43,280","4,87,504","29,825","31,376",143,47,83,"12,782","28,940",383,"2,622","10,689",372
Tapi,"11,171","10,376","13,637","8,531","24,710","14,265",125,110,89,21,"6,769",677,"8,038","8,148",676,443,"8,061",96,"1,980","8,000",928,370,28,250,"3,210","3,460","3,885",0,"37,031","4,49,003","7,750","8,130",0,0,0,"4,890","10,627",43,"2,436","2,328",226
The Dangs,"6,443","6,069","6,003","5,935","6,250","5,148",472,652,194,458,"3,454",233,"3,837","4,489",130,0,"4,444",58,"1,041","4,420",925,233,22,209,"2,030","2,239","1,006",0,"22,625","75,509","5,673","6,472",7,0,13,"2,073","5,484",167,"1,212","5,206",136
Vadodara,"66,177","52,521","45,925","47,415","59,186","32,594","1,496",97,47,50,"20,700","6,927","45,514","45,611","4,693","8,560","46,848","1,189","8,158","36,103",910,"1,324","1,736",18,"12,659","12,677","19,743","1,767","1,47,243","15,78,097","55,594","60,124",74,20,58,"24,774","59,122",229,"6,396","18,499","1,787"
Valsad,"29,220","25,148","25,547","23,293","27,749","29,330",367,178,123,55,"13,230","6,338","28,848","29,026","1,620",568,"29,204",249,"5,519","29,577",959,934,301,151,"8,236","8,387","6,008","1,329","38,010","2,77,811","27,532","31,013",31,6,28,"9,945","26,483",5,"1,889","14,452",257
