Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Gujarat,"14,05,807","10,42,555","11,15,020","12,29,569","13,06,252","7,64,502","21,503","28,056","12,451","15,605","4,65,861","2,70,447","11,33,169","11,61,225","37,770","71,868","11,64,486","17,053","1,16,775","10,70,992",901,"32,044","22,712","2,272","3,18,585","3,20,857","5,08,556","97,399","21,48,697","2,25,66,276","10,19,106","12,71,119","32,309","30,184","31,510","11,40,406","11,32,102","18,371","1,54,496","1,89,312","8,367"
Ahmedabad,"1,54,693","1,01,261","1,25,233","1,43,554","1,48,588","62,923","1,043","3,600","3,208",392,"47,746","15,979","1,39,869","1,43,469","8,901","18,558","1,43,246","1,361","14,561","1,35,385",873,"2,411","1,161",284,"40,363","40,647","67,380","5,423","5,19,985","62,44,399","1,20,588","1,39,510","2,140","1,613","1,452","1,12,491","1,19,470",641,"13,834","7,018",233
Amreli,"36,266","27,068","29,810","33,664","36,650","17,703",455,"1,169",705,464,"11,991","9,545","28,446","29,615",272,160,"29,178",256,"1,105","26,137",913,625,55,0,"7,951","7,951","20,733",279,"45,151","5,29,136","27,164","32,979",13,5,6,"33,895","33,011",24,"1,713","2,484",222
Anand,"40,395","31,733","31,367","34,294","36,559","42,597",315,87,28,59,"14,932","12,308","32,565","32,652",758,"3,582","32,396",531,"3,975","31,708",904,"1,142",162,40,"10,861","10,901","17,434","2,499","41,358","7,52,936","27,437","34,054",31,16,33,"34,713","34,334",12,"4,771","1,857",456
Aravalli,"28,060","24,452","24,128","27,539","26,809","19,837",314,68,62,6,"11,816",410,"25,831","25,899",197,441,"24,850",413,"2,096","24,274",916,"2,181",20,14,"12,133","12,147","16,275","6,348","38,019","2,64,378","21,126","23,984",0,0,0,"23,598","23,130",0,"1,402","1,671",283
Banas Kantha,"84,141","62,065","63,978","81,778","75,177","44,672","1,419","1,826",845,981,"20,805","10,427","74,659","76,485",326,"2,266","75,737","1,142","5,225","75,143",905,"1,451",278,11,"32,973","32,984","42,303","5,674","67,837","6,45,753","24,585","71,043",0,0,0,"68,316","67,299","3,700","1,566","7,499","1,898"
Bharuch,"36,005","27,741","30,077","31,588","32,118","23,891",446,156,64,92,"14,986","6,973","26,879","27,035",426,"1,269","26,858",430,"4,037","25,702",882,400,215,0,"4,832","4,832","10,363",0,"26,846","2,69,238","23,747","31,566",0,0,0,"29,678","29,848",628,"6,548","2,598",236
Bhavnagar,"58,414","46,151","49,575","49,531","60,444","24,344",788,"1,133",650,483,"23,994","17,814","49,165","50,298","1,754","1,196","56,436",815,"4,745","52,514",874,"1,849","10,218",126,"6,363","6,489","15,082","2,511","60,643","6,53,400","32,674","49,905","9,910","9,633","9,529","44,713","46,810","1,636","1,155","3,871",66
Botad,"20,307","12,456","11,207","14,890","15,831","6,947",91,537,276,261,"4,748","2,310","12,539","13,076",58,0,"14,824",193,653,"14,275",923,677,65,1,"2,297","2,298","7,143",423,"15,350","5,89,306","7,003","13,189",337,283,276,"11,956","11,051",7,"1,194","1,683",15
Chhotaudepur,"24,306","17,198","18,233","22,329","24,584","15,999",658,"1,281",85,"1,196","9,840","6,061","15,105","16,386",263,163,"17,355",426,"3,008","16,962",907,495,112,0,"4,826","4,826","5,493",39,"14,216","65,928","17,755","22,234","1,054",966,970,"19,548","18,889",110,"1,862","4,401",145
